,english,translated_from_dutch
193352,It wasn't my fault.,It wasn't my fault. It wasn't my fault. It wasn't my fault.
193634,Eat your soup before it gets cold.,Eat your soup before it gets cold. | Eat your soup before it gets cold.
193744,May I put it here?,Can I put it down here?
193745,We should always obey laws.,We always have to obey the laws.
194256,I can't drink milk.,I can't drink milk.
196963,Tom disappeared.,Tom's gone. | Tom's gone.
199055,Read this.,Read this.
199703,The cat is black.,The cat is black.
200020,I'm afraid of heights.,I have a heights fear. | I have acrophobia.
200054,Hop in.,Get in there.
200881,I'm a woman.,I'm a woman.
201009,Is she Japanese?,Is it Japanese?
201363,Help me!,Help me. | Help me! | Help me!
203216,Today is Thursday.,Today is Thursday.
203271,She is stubborn.,She's stubborn.
204054,Tom overslept.,Tom went into a coma.
206235,I'm not a doctor.,I'm not a doctor.
206742,Welcome to Tatoeba!,Welcome to Tatoeba. | Welcome to Tatoeba. | Welcome to Tatoeba!
207737,Horses are animals.,Horses are animals.
209573,Why did she do that?,Why did she do that?
209642,He's in the kitchen.,He's in the kitchen.
210112,This bird can't fly.,This bird can't fly.
210140,I have already finished reading this book.,I've already read this book.
210311,That's a lie!,What a lie!
210362,The apple doesn't fall far from the tree.,The apple doesn't fall far from the tree.
210564,Don't wait.,Don't wait.
210887,Oh no!,Oh no! | Oh no! | Oh jee!
210992,Follow that car.,Follow that car.
211002,I was at home.,I was at home.
211013,"She has about 2,000 books.","She has about 2,000 books."
211377,Is it far?,Is that far?
212376,Seriously?,Really?
212604,I like horses.,I love horses. | I love horses.
213429,Disgusting!,Amazing! | Goor! | Fish!
213650,Why do you love me?,Why do you love me?
214904,As you wish.,Like you want! | Like you want. | Like you want.
215478,I have just finished eating.,I just ate. | I just finished eating.
215598,I want to eat ice cream.,I want to eat ice cream.
215735,He's a DJ.,He's a DJ.
215944,What are you waiting for?,What are you waiting for? What are you waiting for? What are you waiting for?
216431,Hold the ball with both hands.,Hold the ball with two hands.
216537,I'm afraid of dogs.,I'm afraid of dogs. | I'm afraid of dogs.
216548,She wants to know who sent the flowers.,She wants to know who sent the flowers. | She's curious who sent the flowers.
216560,It's already eleven.,It's 11 o'clock.
216601,You look just like your older brother.,You look like your elder brother.
216827,Burj Khalifa is currently the tallest skyscraper in the world.,Khalifa Tower is currently the tallest skyscraper in the world.
217712,Are you coming?,Are you coming? | Are you coming? | Are you coming?
218072,"In Japan, the new school year begins in April.","In Japan, the new school year begins in April."
218529,It rained.,It was raining.
219095,She disappeared.,They disappeared.
219405,He also speaks French.,He also speaks French.
219409,Something happened.,Something happened.
220201,Today is Wednesday.,Today is Wednesday. | It's Wednesday today.
221956,Be patient.,Be patient.
222335,Tom was crying.,Tom was crying.
223223,Eat slowly.,Eat slowly. | Eat slowly!
225703,Tom nodded.,Tom nodded.
227491,Step back.,Step back.
227624,Call me.,Call me! | Call me.
227821,We know.,We know it.
231006,Welcome back.,Welcome back!
233097,Tom is taking a shower.,Tom takes a shower.
236777,Relax.,Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up. Hurry up.
237610,Call home!,Call home!
237953,Stop reading.,Stop reading.
242693,Speak!,Speak up!
242828,Look!,Look!
243443,Keep reading.,Read on.
245105,Horses eat grass.,Horses eat grass.
245942,Hurry home.,Bring you home. | Come home quickly.
245945,Release him.,Let him go. | Let him go!
245953,Wait here.,Wait here.
246160,See you later.,Bye-bye!
247598,Don't die.,Don't die. Don't die.
248927,Ignore Tom.,Forget Tom.
249534,Thank you.,Thank you! | Thank you. | Thank you. | Thank you.
250870,Did you kill Tom?,Did you kill Tom? Did you kill Tom? Did you kill Tom? Did you kill Tom? Did you kill Tom? Did you kill Tom?
252009,I have to go.,I have to go.
253023,I'm ready.,I'm done.
253352,We understand.,We understand it.
255544,How beautiful!,What a beauty!
255547,How lovely!,What a pleasure!
255548,Keep it.,Hold on.
255550,Take it.,Take it.
255553,How strange!,How strange! | How strange!
255648,Call us.,Call us.
255649,Be nice.,Be nice. | Be nice! | Be good.
255980,I'm old.,I'm old.
258643,Ask Tom.,Ask Tom. | Ask Tom.
258645,Be still.,Be quiet.
260956,Get Tom.,Grab Tom.
260962,Grab Tom.,Take Tom.
260972,Show me.,Show me. | Show me!
262588,Tom lied.,Tom was lying.
262589,Tom lost.,Tom has lost.
262590,Tom moved.,Tom's moved. | Tom moved.
262592,Tom quit.,Tom stopped. | Tom stopped.
262593,Tom smiled.,Tom smiled. | Tom grinned.
262594,Tom waved.,Tom whistled.
262595,Tom yawned.,Tom screamed. | Tom screamed.
262596,Who died?,Who died? | Who died? | Who died? | Who died? | Who died?
262597,Tom died.,Tom has died. | Tom has died.
262599,Who won?,Who won? | Who won?
262600,Tom won.,Tom won.
262601,I won!,I won!
263575,Let's start.,Let's get started. | Let's get started.
272344,Thanks.,Thank you! | Thank you. | Thank you. | Thank you.
273911,Mars has two moons.,Mars has two moons.
274083,Who?,Who?
275599,Tom's sick.,Tom's sick.
275672,We overslept.,We were defeated.
275762,Tom laughed.,Tom laughed.
275773,Tom graduated.,Tom graduated.
275796,Tom clapped.,Tom was clapping.
275966,They refused.,They refused.
275969,They lied.,They lied.
276076,Tell Tom.,Tell Tom.
276084,Take mine.,Take mine.
276098,Stop lying.,Stop lying.
276208,Look closely.,Look carefully.
276325,I'm home.,I'm home.
276394,I see.,Ah. | I get it. | Ah yes.
276430,Get dressed.,Clothes.
278550,The book is on the table.,The book is on the table. | The book is on the table.
281462,I'm shy.,I'm shy.
281721,Who came?,Who came? | Who had come?
284852,This is mine.,This is mine.
289331,Are you sleeping?,Do you sleep?
290072,I have cancer.,I have cancer.
290098,I have time.,I have time.
290250,We surrender.,We give up.
290587,I will go.,I'll go.
295187,Good morning.,Good morning! | Good morning.
309577,This is my computer.,This is my computer.
320300,I have two cats.,I have two cats.
321617,I don't want to work under these conditions.,I don't want to work under these conditions.
326155,Where is the hotel?,Where is the hotel?
344918,I have a red bicycle.,I have a red bicycle.
355479,Do you have a dictionary?,Do you have a dictionary? | Do you have a dictionary?
383445,Cats are smart.,Cats are smart.
470851,There are islands in the sea.,There are islands in the sea.
490066,Are they brothers?,Are they brothers?
500071,I don't want to eat.,I don't want to eat.
501589,Where are we?,Where are we? | Where are we?
545600,Probably.,Probably.
563303,Where?,Where?
604326,Turtles don't have teeth.,Sharks don't have teeth.
