,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
89857,275743,Are you all right?,Allez-vous bien? | Ça va bien? | Tu vas bien? | Te sens-tu bien? | Vous sentez-vous bien? | Tout va bien?,Geht es dir gut? | Geht's dir gut? | Geht es Ihnen gut?,ඔයා හොඳින්ද? | ඔයා හොඳින්ද? | ඔයා හොඳින්ද?,Zůstaň v pořádku? | Zůstaň v pořádku? | Zůstaň v pořádku?,හරිද? හරිද?,ඔයාට අවුලක් නැද්ද?,سب کچھ ٹھیک ہے؟,Jste v pořádku? | Jste v pořádku? | Jste legalní? | Jste legalní?
90203,276105,Is anybody here?,Il y a quelqu'un? | Il y a quelqu'un?,ഇവിടെ ആരെങ്കിലും ഉണ്ടോ?,誰かいますか? | 誰かいますか?,C'è qualcuno qui? | C'è qualcuno qua?,誰かいる? | 誰かいるの?,有人吗?,Czy ktoś tu jest? | Jest tu kto?,Máte tady někoho?
90204,276106,Is somebody there?,Je to někdo? | Je to někdo? | Je to někdo?,Je tu někdo? | Je tu kdo? | Je tu někdo?,ഇവിടെ ആരെങ്കിലും ഉണ്ടോ?,C'è qualcuno lì? | C'è qualcuno là?,誰かいるの? | 誰かいる?,那边有人吗?,Jest tu kto?,Je tu někdo? | Je tu někdo tam?
90373,276298,Is anybody home?,Kdo je to? | Není to někdo? | Není to někdo v domě?,Je někdo zu Hause?,Je někdo doma? | Je někdo doma? | Je někdo doma? | Je někdo tady?,Je někdo doma?,誰か家にいますか.,ගෙදර කවුරුත් ඉන්නවද?,Jest někdo w domu?,| Alguém está em casa?
90434,276369,Who knows?,කවුද දන්නේ?,Wer weiß?,කවුද දන්නේ?,Chi lo sa? | Chi sa?,I don't know who I am. I don't know who I am.,කවුද දන්නේ?,Kto wie? | Kto zna?,Quem sabe?
90652,276629,No one helped me.,Personne ne m'a aidé. | Personne ne m'aida.,Niemand hat mir geholfen. | Niemand half mir.,"""எவராலும் உதவி செய்ய இயலாது.",Nessuno mi ha aiutato.,No one gave me my hand伝いを。,කිසිම කෙනකේ මට උදව් කරන්නෙ නෑ.,Nikt mi nie pomógł.,Ninguém ajudou. | Ninguém me ajudou.
90948,276955,It's too expensive.,C'est trop cher. | C'est trop cher!,Es ist zu teuer. | Das ist zu teuer!,| It's too expensive! | It's too expensive!,Je příliš drahé. | Je příliš drahé! | Je příliš drahé! | Je příliš drahé! | Je příliš drahé! | Je příliš drahé!,priceが高すぎです。 | それは高すぎます。 | 価格が高すぎる! | 高すぎる!,この太貴了。 | 太貴了吧!,To za drogo! | To jest za drogie!,Je to moc drahé. | Je to příliš drahé. | Je to moc drahé!
90985,276998,Ignorance is bliss.,"L'ignorance, c'est la félicité.","如果我不懂,我就不会感到难过。 | 无知是幸福。","குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக, குறிப்பாக.",Nevědomost je radost. | Nevědomost je beatitudine. | Nevědomost je radost.,"I don't know, I don't know, I don't know.",無知就是幸福。,"Czego oczy nie widzą, tego sercu nie żal.",A ignorância é uma bênção.
91027,277046,Knowledge is power.,Le savoir est une force. | Le savoir c'est le pouvoir. | La connaissance est la puissance.,Wissen ist Macht. | Wissen ist Macht!,അറിവ് ശക്തിയാണ്.,| Sapere è potere. | Sapere è potere.,"""Knowledge is powerful"".",知识就是力量。 | 知识就是力量。,Wiedza do potęgi.,| Saber é poder. | Saber é poder.
91406,277466,Let me in.,මට ආපහු එන්න දෙන්න.,ఇక్కడ నన్ను Lass.,මට ඇතුලට එන්න දෙන්න. මට ඇතුලට එන්න දෙන්න. මට ඇතුලට එන්න දෙන්න.,Fammi entrare. | Lasciami entrare. | Mi lasci entrare.,中に入れよ。 | 中に入れ。 | 私も参加させてください。 | 私も入れてください。 | 中に入れください。,මට ඇතුලට එන්න දෙන්න.,Wpuść mnie do środka. | Wpuść mnie.,මට ඇතුලට එන්න දෙන්න.
91640,277720,Stop talking.,Arrête de parler.,Buď klidná. Buď klidná. Buď klidná. Buď klidná. Buď klidná. Buď klidná.,කට වහපන් කට වහපන් කට වහපන් කට වහපන්,Basta parlare.,Stop talking. | おしゃべりをやめなさい.,කතා කරන්න එපා.,Skończ gadać.,| Para de falar. | Para de falar.
91688,277773,Breakfast is ready.,Le petit-déjeuner est prêt.,Das Frühstück ist fertig. | Das Frühstück ist bereitet.,ארוחת הבוקר מוכנה.,La colazione è pronta.,"朝御飯ができています。 | 朝ごはん,できたよ。 | 朝食の準備ができました。",කෑම ලෑස්තියි.,Śniadanie gotowe. | Śniadanie jest gotowe.,O café da manhã está pronto.
92046,278174,Birds sing.,♫♫ ♫,പക്ഷികള് പാടുന്നു.,பறவைகள் שרות. | பறவைகள் שרות. | பறவை מזמרות.,Gli uccelli cantano.,鳥は歌います. | 鳥がる. | 鳥は鳴く.,鳥兒 Sing.,Ptaki śpiewają.,パッサロス・カンタム | Os pássaros cantam.
92080,278213,Birds fly.,Les oiseaux volent.,කුරුල්ලො පියාඹනවා.,ציפורים עפות.,Gli uccelli volano.,鳥は飛ぶ.,鳥類飛行.,Ptaki latają.,パッサロス・ヴォアム | Os pássaros voam.
92087,278220,Birds lay eggs.,മുട്ടയിടുന്ന പക്ഷികള്.,Die Vögel legen Eier. | Vögel legen Eier.,பாலின விகிதம்.,Gli uccelli depongono uova.,The birds lay eggs.,鳥下蛋.,Ptaki znoszą jajka. | Ptaki składają jaja.,Os pássaros põem ovos.
92373,278535,It's my brother's.,To je celui de mon frère.,Es gehört meinem Bruder. | Er gehört meinem Bruder. | Sie gehört meinem Bruder.,यह मेरे भाई का है. यह मेरे भाई का है. यह मेरे भाई का है.,È di mio fratello.,弟よ。,It is my brother's.,എന് റെ സഹോദരനെ കളിയാക്കുക.,| Esse é de meu frère.
92441,278606,Don't give up!,പാസ് ഉപേക്ഷിക്കരുത്!,よし! | よし!,(நபியே!) நீர் பார்த்தீராக! நீர் பார்த்தீராக!,Ne arrenderti! | Non arrendetevi! | Non si arrenda!,I don't give up. | あきらめるな. | 諦めちゃ駄目だ. | 諦めてはいけません.,අතහරින්න එපා!,Don't give up! | Don't give up!,നിയോ ഡിസിസ്റ്റ!
92944,279153,Turn off the light.,Éteins la lumière. | Éteignez la lumière!,Mach das Licht aus!,ஒளியை மூடிக் கொள்க. | תכבה את האור.,Spegni la luce. | Spegnete la luce. | Spenga la luce.,明かりを消して. | 電気を消しなさい.,關燈.,Zgaś światło. | Wyłącz światło.,Desliga a luz. | Desliga a luz.
93063,279284,Answer the phone.,Répondez au téléphone! | Réponds au téléphone.,ഹേയ് ടെലഫോണ്!,කෝල් එක ගන්න.,Rispondi al telefono. | Rispondete al telefono. | Risponda al telefono.,電話にでなさい. | 電話に出てください.,接电话.,Odbierz telefon.,Atenda o telefone. | Atende o telefone. | Atende o telemóvel.
93811,280125,My head aches.,J'ai mal à la tête.,Ich habe Kopfweh. | Ich habe Kopfschmerzen.,මට කණගාටුයි כואב לי הראש. | הראש כואב לי.,ഹോ മാൾ ഡി ടെസ്റ്റ.,I have a headache. | 頭が痛いです。 | 頭が痛い。 | 頭がする。 | 頭が痛いです。 | 頭が痛い。 | 頭が痛いなな。,我头痛。 | 我头痛。 | 我的头痛。,Głowa mnie boli.,| A minha cabeça doi. | A minha cabeça doi.
93842,280162,Cool off!,Calme-toi! | Détends-toi!,Reg dich ab!,දැන්ම!,Calmati! Rilassati! | Si calmi! | Si rilassi! | Calmatevi! | Rilassatevi!,頭を冷やせ.,සන්සුන් වෙන්න!,Uspokój się!,Acalme-se! | Acalme-se.
94051,280393,Are you lost?,Êtes-vous perdu? | Êtes-vous perdus? | Êtes-vous perdues? | Es-tu perdu? | Vous êtes perdu? | Es-tu perdue? | Êtes-vous perdue? | Tu es perdue?,Haben Sie sich verlaufen? | Hast du dich verlaufen? | Habt ihr euch verlaufen? | Haben Sie sich verirrt? | Habt ihr euch verirrt?,පාරට යනවද?,Ti sei perso? | Vi siete persi?,道に迷っているんですか. | 道に迷ったんですか.,您迷路了吗? | 您迷路了吗?,Zgubił się pan?,ඔයා අතරමං වෙලාද? | O senhor está perdido? | You are losts? | You are losts?
94219,280576,Are you single?,Es-tu seul? | Êtes-vous célibataire?,Bist du Junggeselle? | Bist du Single?,Ty jsi volný? | Ty jsi volný? | Ty jsi volný? | Ty jsi volný?,Sei single? | Siete single? | È single?,独身ですか.,ඔයා තනියමද?,ඔයා තනිකඩද?,Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Je v pořádku? | Je v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku? | Jsi v pořádku?
94881,281301,Have you decided to go to Japan?,As-tu décidé d'aller au Japon?,"നീ തീരുമാനിച്ചോ, nach Japan zu gehen?",جاپان میں سفر کرنے کا فیصلہ کیا؟,「Hai deciso di andare in Japan? | Ha deciso di andare in Japan? | Avete deciso di andare in Japan? | Tu hai deciso di andare in Japan? | Lei ha deciso di andare in Japan? | Voi avete deciso di andare in Japan?,日本に行くことに決めましたか。,你决定去日本了吗?,Zdecydowałeś się na wyjazd do Japonii?,You decided ir para o Japan? | You decided ir ao Japan?
95165,281606,Japan is a rich country.,Le Japon est un pays riche pays.,ജപ്പാന് ഒരു രാജ്യമാണ്.,ජපානය තමයි පොහොසත් රට.,ജപ്പാന് ഒരു ധനിക രാജ്യമാണ്.,Japan is rich国です.,日本是个富有的国家。,جاپان jest bogatym państwem.,ഒ ജാപ്പനീസ് é um país rico.
95175,281616,Welcome to Japan.,ජපානයේ සාදරයෙන් පිළිගන්නවා.,جاپان میں خوش آمدید.,| Welcome to Japan. | Welcome to Japan. | Welcome to Japan.,Benvenuto in Japan. | Benvenuta in Japan. | Benvenuti in Japan. | Benvenute in Japan.,日本へようこそ。,Japan Welcome You. | Welcome to Japan.,Witamy w Japonii.,Bem-vindo ao Japan. | Bem-vindos ao Japan.
95690,282197,Years passed.,Des années ont passé.,Jahre vergingen.,අවුරුදු חלפו.,Gli anni passarono.,It's been a year.,多少年过去了。,മിജły lata.,^ “Passaram os anos. | Anos se passaram.
95715,282225,I am eighteen years old.,J'ai dix-huit ans.,Ich bin 18 Jahre alt. | Ich bin achtzehn Jahre alt. | Ich bin 18.,இவருக்கு 18 வயது.,| Ho 18 anni. | Ho 18 anni.,I am 18 years old. | I am 18 years old.,我十八岁。,Mam 18 lat. | Mam osiemnaście lat.,Já tenho 18 anos. | Tenho dezoito anos.
95938,282462,My back still hurts.,Mon dos me fait encore mal.,Mein Rücken tut immer noch weh. | Mein Rücken schmerzt immer noch. | Ich habe noch immer Rückenschmerzen.,הגב තවමත් כואב לי.,Mi fa ancora పురుషుడు la schiena.,背中がまだ痛みます。,私の背はまだ痛い。,Moje plecy pořád bolą.,Minhas costas ainda doem. | Ainda estou com dor nas costas.
96815,283413,Guess what he told me.,ദേവീന് സെ ക്യുയില് മയിറ്റ്.,"Rate mal, was er mir erzählt hat. | Ratet mal, was er mir erzählt hat. | Raten Sie mal, was er mir erzählt hat.",彼が私に言ったことは、彼が私に言ったことだった。,इन्दुविना cosa mi ha detto. | इन्दुविना cosa mi ha detto. | इन्दुविनी cosa mi ha detto.,What did he say? | What did he say to me?,I don't know what he told me.,"Zgadnij, co mi to řekl?",アディヴィンハ・オ・クエ・エレ・エレ・ミー・ディズ | Adivinhe o que ele me disse.
97008,283629,I like him.,Je l'apprécie. | Je l'aime bien. | Je l'aime.,Ich mag ihn.,Já ho miluju. | Já ho miluju. | On mi líbí se.,Mi piace. | Lui mi piace.,彼が好きです。,我喜欢他。,ലൂബിയെ പോ.,Eu gosto dele.
98404,285184,Grab him.,Attrape-le. | Attrapez-le. | Mettez-lui la main dessus!,Greif ihn dir!,അവനെ പിടിക്ക്.,Afferralo | Afferratelo | Lo afferri.,捕まえろ.,අල්ලගන්න ඔහුව.,ലില് സ് പോ.,| Agarrem-no. | Agarrem-no.
99624,286516,Forget him.,Oublie-le. | Oubliez-le.,Zapomněl jsi ho.,Zapomeň na něj. | Zapomeň na něj.,வார்ப்புரு:Dimenticatelo. | Lo dimentichi. | Dimenticati di lui. | Dimenticatevi di lui. | Si dimentichi di lui. | Scordati di lui. | Si scordi di lui. | Scordatevi di lui.,එයාගේ දේවල් අමතකなさい.,එයාව අමතක කරන්න.,Zapomnij o nim.,Esqueça-o.
100128,287067,He has long legs.,Il a de longues jambes.,Er hat lange Beine.,Ma długie nogi.,| Ha le gambe lunghe.,He has a long leg. | 彼の足は長い.,他的腿很长。,Na ma długie nogi.,Ele tem pernas longas.
101076,288121,He has a dog.,Il a un chien.,Er hat einen Hund.,יש לו כלב.,Ha un cane. | Lui ha un cane.,He has a dog.,他有一只狗。,Na ma psa. | Ma psa.,Ele tem um cachorro.
101119,288166,He tries.,Il essaye.,Er versucht es.,Snaží se.,| Lui prova.,He tried. | 彼がやってみるんだ.,他来试试。,On próbuje. | On się stara.,Ele tenta.
101596,288669,He is a DJ.,Jest DJ.,Er ist ein DJ. | Er ist DJ.,』 | イエス・ドゥイ・ドゥイ | イエス・ドゥイ・ドゥイ。,È un DJ. | Lui è un DJ.,彼はDJです。,他是一个DJ。,Jest DJ-em.,Je to DJ.
101885,288982,How old is he?,എന്ത് പ്രായം?,Wie alt ist er?,בן כמה అతను?,Quanti anni ha? | Lui quanti anni ha?,How old is he? How old is he? How old is he?,అతను多大了?,മാലാഖയുടെ അടുത്തുണ്ടോ?,Quantos anos ele tem? | Kok é a idade dele?
102029,289132,He is always with me.,Il est toujours avec moi.,Er ist immer bei mir. | Er ist immer an meiner Seite.,Vždycky je se mnou. | Vždycky je se mnou. | Vždycky je vedle mě.,Je vždy se mnou. | Lui je vždy se mnou.,He always私といっしょです.,He's always with me.,Na legraci vždycky ze mną.,Eleఎల్లప్పుడూనాతోఉంది
102666,289812,He doesn't like coffee.,Il n'aime pas le café.,Er mag keinen Kaffee.,అతను కాఫీ వద్దు.,Non gli piace il caffè. | A lui non piace il caffè.,He doesn't like coffee. | Coffeeが苦手なのよ.,他不喜歡喝咖啡。,Na ne lubi kawy.,Ele não gosta de café.
102873,290025,He likes playing soccer.,我喜欢踢脚。,Er spielt gerne Fußball.,他喜欢踢足球.,A lui喜欢踢足球。,He loves to play soccer. | He loves to play soccer.,他喜欢踢足球。,On lubi grać w piłkę nożną.,他喜欢踢足球。
103154,290321,He accelerated.,Il a accéléré.,Er hat beschleunigt. | Er hat Gas gegeben.,అతను האיץ.,హా akcelero.,He speeded up.,他提速了。,Przyspieszył.,Ele acelerou.
104354,291622,He eats a lot.,Il mange beaucoup.,Er isst viel. | Der verputzt schon war!,అతను చాలా אוכל.,Lui mangia molto.,彼はたくさん食べる。,他吃得很多。,Na hodně je.,Ele చాలా వస్తాయి.
104393,291665,He decided to quit smoking.,Il décida d'arrêter de fumer.,"Er entschied sich, mit dem Rauchen aufhören. | Er beschloss, mit dem Rauchen aufhören.",他决定戒烟。,Ha deciso di smettere di fumare. | Decise di smettere di fumare.,He decided to quit smoking. | He decided to quit smoking.,他决定戒烟了。,Zdecydował się rzucić palenie.,Ele decidiu parar de fumar.
104582,291872,He played tennis.,Il a joué au tennis.,Er spielte Tennis.,ඔහුשיחק טניס.,Ha giocato a tennis. | Lui ha giocato a tennis.,ඔහුテニスをした.,他打网球。,Na grał w tenisie.,Ele jogou tênis.
104778,292088,He's very ill.,Il est très malade. | Il est fort malade.,Er ist sehr krank.,وہ بہت חולה.,È molto malato.,他很具合坏。,他很生病。,Na jest bardzo chory.,Ele está muito doente.
105129,292468,He became a pianist.,ピアニストになった。 | 変なピアニスト。,Er wurde Pianist.,అతను פסנתרן మారింది.,| Lui è diventato un pianista. | Diventò un pianista. | Lui diventò un pianista. | Divenne un pianista. | Lui divenne un pianista.,He became a pianist.,He became a pianist.,Został pianistą.,Ele se tornou pianista. | Ele virou um pianista.
105267,292619,He can also speak French.,Il parle aussi français. | Il parle aussi en français. | Il parle aussi le français. | Il parle aussi français. | Il parle aussi français.,Er spricht auch Französisch.,フランス語も話せる。,Sa parlare anche il français. | Lui sa parlare anche il français. | Parla anche il français.,He also speaks French.,他也会说法语。 | 法语他也会说。,On umie też mówić po francusku.,| フランス語も話します。 | フランス語も話します。 | フランス語も話します。
106651,294141,He was afraid of his wife.,Měl strach de sa femme. | On redoutait son épouse.,Er fürchtete sich vor seiner Frau.,එයා බිරිදට බයයි.,| Lui aveva paura di sua moglie.,ඔහු奥さんが බයかった.,他怕他的妻子。,Bał się żony.,එයා එයාගේ බිරිදට බයෙන් හිටියේ.
107427,294993,He knows a lot of people.,Il connaît beaucoup de gens. | Il connaît beaucoup de monde.,Er kennt viele Leute.,Zná spoustu lidí. | Zná spoustu lidí.,Egli చాలా మంది తెలుసు.,He has a wide face.,他认识很多人。,Na zna bardzo wielu ludzi.,He knows many people. | He knows many people.
107699,295297,He's strong.,Je to pevnost. | Je mocný.,Er ist stark.,അവന് ശക്തനാണ്.,| Lui è forte.,ඔහු ශක්තිමත්.,他很強壯。,Na hedvábném vtipu.,Ele é forte.
107748,295346,He is a teacher.,Jest nauczycielem. | Jest instytutorem.,Er ist Lehrer.,ඔහු හුරතල්.,Je to učitel. | Lui è un insegnante.,He is a teacher. | He is a teacher.,He is a teacher.He is a teacher.He is a teacher.,Jest učitelem.,他是教授。
107795,295395,He fell backward.,Il tomba en arrière. | Il tomba à la renverse.,Er fiel rückwärts zu Boden.,| | | | | | | |,Je caduto all'indietro. | Lui è caduto all'indietro. | Cadde all'indietro. | Lui cadde all'indietro.,He 仰向けに倒れた.,他向后跌倒了。,Upadł do tyłu.,Ele caiu para trás.
108019,295648,He's stronger than you.,Je silnější než ty. | Je silnější než ty.,Er ist stärker als du. | Er ist stärker als ihr. | Er ist stärker als Sie.,وہ آپ سے زیادہ طاقتور ہے.,Je silnější než ty. | Je silnější než ty. | Je silnější než ty. | Je silnější než ty. | Je silnější než ty. | Je silnější než ty. | Je silnější než ona. | Je silnější než ona. | Je silnější než ona.,ඔහු ඔයාට වඩා ශක්තිමත්.,He is stronger than you.,Jest silnější od tebe.,Je to silnější než ty. | Je to silnější než ty.
108606,296292,He works in a factory.,他在一家工厂工作。,Er arbeitet in einer Fabrik.,Pracuje w fabryce. | Pracuje w fabryce.,Lavora in una fabbrica. | Lui lavora in una fabbrica.,He works in a factory.,他在一家工厂工作。,Pracuje w fabryce.,Ele trabalha numa fábrica. | Ele trabalha em uma fábrica.
108608,296294,He is happy.,Il est heureux.,Er ist glücklich.,वह (अल्लाह का) बन्दा है,È felice.,彼は幸せだ。 | 彼は幸せだ。,他很高兴。,Jest šťastný.,Je šťastná. | Je šťastná.
109160,296902,He died yesterday.,例如:It is deceased hier. | Il a clamecé hier. | Il est canné hier. | Il a crevé hier. | Il est mort hier.,Er ist gestern verstorben. | Er ist gestern abgekratzt. | Er ist gestern gestorben. | Er starb gestern.,彼は昨日死んだ。,Je mrtvý včera. | Lui è morto ieri. | È schiattato ieri. | Lui è schiattato ieri.,ඔහු ඊයේ මැරුණා.,He died yesterday. | He died yesterday. | He died yesterday. | He died yesterday.,Wczoraj zmarł. | Zmarł wczoraj.,එයා ඊයේ මැරුණා.
109766,297564,He lied to me.,Já lhát. | Já lhát.,Er hat mich angelogen.,అతను שיקר לי.,Mi ha mentito. | Mi ha detto una bugia.,He lied to me.,他对我撒谎。,Okłamał mnie.,Ele mentiu para mim.
110193,298043,He speaks English better than I do.,Il parle mieux l'anglais que moi. | Il parle l'anglais mieux que moi.,Er spricht besser Englisch als ich. | Er spricht Englisch besser als ich.,他英语说得比我好。,Parla l'inglese meglio di me. | Lui parla l'inglese meglio di me.,He speaks English better than me.| He speaks English better than me.| He speaks English better than me.,他的英文比我好。,Mówi po angielsku lepiej niż ja.,Ele fala inglês melhor do que eu.
110575,298463,He tried to kill himself.,Il a tenté de se suicider.,Snažil se zabít. Snažil se spáchat sebevraždu. Snažil se zabít sám sebe.,അവന് ניסה להתאבד.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:,එයා සියදිවි නසාගන්න හැදුවා.,එයා සියදිවි නසාගන්න හැදුවා.,Snažil se zabić.,Ele tentou suicidar-se. | Ele tentou se matar.
110579,298467,He committed suicide.,അവന് ആത്മഹത്യ ചെയ്തു.,Er beging Selbstmord.,| 彼は自分自身を知ることを失った。,——————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————,ඔහු සියදිවි නසාගත්තා.,එයා සියදිවි නසාගත්තා.,On committedł samobójstwo.,Ele cometeu suicídio. | Ele suicidou-se.
111763,299788,He is eating.,| Il est en train de manger. | Il mange.,| スピスト。,അവന് אוכל.,Sta mangiando. | Lui sta mangiando.,彼は食事中だ. | 彼は食べています.,他正在吃饭。,جی پر.,Je na cestě. Je na cestě. Je na cestě.
111790,299819,Is he sleeping?,Est-il en train de dormir? | Dort-il? | Il dort? | Est-ce qu'il dort?,Schläft er?,| 彼は眠っているか?,స్టా dormendo?,He is sleeping? He is sleeping? He is sleeping?,එයා නිදාගෙනද ඉන්නේ?,Czy on śpi?,Ele está dormindo?
111946,299984,He told the truth.,Il dit la vérité. | Il disait la vérité. | Il a dit la vérité.,Er sagte die Wahrheit. | Er hat die Wahrheit gesagt.,彼は真実を語った | 彼は真実を話した。,”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“,He spoke the truth. | He was telling the truth.,එයා කිව්වා ඇත්ත කතාව.,Powiedział prawdę.,Ele disse a truth.
113611,301814,He's talking on the telephone.,Il parle au téléphone.,Er telefoniert.,అతను ఫోన్ משוחחח.,Sta parlando al telefono. | Lui sta parlando al telefono.,He's talking on the phone.,他正在打电话。,फोन से बातचीत करते समय.,Ele está ao telefone. | Ele está falando no telefone.
114148,302395,He is not stupid.,ഞാനൊരു വിഡ്ഢി അല്ല.,Er ist nicht dumm.,| 彼は愚かではありません。 | 彼は愚かではありません。,Není to hloupý. | Lui není hloupý.,وہ馬鹿 نہیں ہے.,He is not stupid. | He is not stupid.,On nie jest głupi. | On nie jest durniem.,| Ele não é burro. | Ele não é bobo.
114157,302406,Is he tall?,Est-il grand?,er groß ఈజ్?,ඌ උසද?,| Lui è alto?,他背高吗?,他长得高吗?,Czy on jest wysoki?,Ele é alto? | É alto?
114194,302443,He is a friendly person.,C'est une personne sympathique.,Er ist ein freundlicher Mensch.,అతను אדם ידידותי.,Je to sympatická osoba. | Je to přátelská osoba. | Lui je přátelská osoba.,He's a good friend. | 親しみやすい人だ. | フレンドリーな方よ.,他是一个友善的人.,Na jest przyjazną osobą.,Ele é uma pessoa amigável.
115351,303714,He likes adventure.,Il aime l'aventure.,Er liebt das Abenteuer.,అతను הרפתקאות ప్రేమిస్తున్న.,Gli piace l'avventura. | A lui piace l'avventura.,He likes adventureです.,他喜欢冒险。,Lubi przygodę. | Lubi przygodę.,Ele gosta de aventura.
115573,303959,He is asleep.,Il est endormi.,Er schläft.,അവന് ഉറങ്ങുകയാണ്.,Sta dormendo. | Lui sta dormendo.,ඔහු නිදාගෙන ඉන්නේ.,他睡着了。,Na śpi. | Śpi.,Ele está dormindo.
115912,304339,He's an excellent brain surgeon.,Nejsi vynikající chirurg mozku.,Er ist ein großartiger Hirnchirurg.,د افغانستان د اسلامي جمهوریت جمهور رئیس محمد اشرف غني په مشرۍ د اقتصاد عالي شورا غونډه وکړه,È un excellent chirurgo cerebrale. | Lui è un excellent chirurgo cerebrale.,He is an excellent brain surgeon.,He is an excellent brain surgeon.,ഗംഭീരമായ ശസ്ത്രക്രിയയെ പറ്റി.,Je to vynikající neurocirurgião.
116868,305382,They are actors.,Oni jsou herci.,Sie sind Schauspieler. | Das sind Schauspieler.,Jsou to herci.,Sono attori. | Loro sono attori.,They are actors.,他们是演员。,Oni są aktorami.,Eles são atores. | São atores.
116995,305514,They don't always obey their parents.,അവര് എപ്പോഴും അച്ഛനമ്മമാര് ക്ക് കൊടുക്കാറില്ല.,Sie gehorchen nicht immer ihren Eltern. | Ihre Eltern gehorchen sie nicht immer. | Sie sind ihren Eltern nicht immer gehorsam.,彼らはいつも両親の声に耳を傾けない。| 彼らはいつも両親に近づかない。,| | | | | | | | | | | | | | | | | | | | | | | | |,They are always 従うとは限らない.,They don't always 服从父母. | They don't always 服从父母.,Oni nie zawsze słuchają swoich rodziców.,| Eles nem sempre obedecem os pais. | Eles nem sempre obedecem a sus pais.
117401,305951,They hated Tom.,Ils haïssaient Tom.,Sie hatsten Tom. | Sie konnten Tom nicht leiden.,അവര് שנאו את ടോം.,Odiavano Tom. | Loro odiavano Tom.,He hated Tom.,അവര് ക്ക്湯姆 ഇഷ്ടമല്ല.,Oni nienawidzili Toma.,| Eles odiavam o Tom. | Eles odiavam o Tom.
118204,306813,They went to Chicago by car.,他们开车去了芝加哥。,Sie fuhren mit dem Auto nach Chicago. | Sie sind mit dem Auto nach Chicago gefahren.,അവര് נסעו במכונית לשיקאגו.,”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“,They went by car to Chicago.,他們坐車去芝加哥。,Pojechali do Chicago samochodem.,Eles foram de carro para Chicago. | Foram para Chicago de carro.
118642,307284,Are they Japanese?,Sont-elles japonaises? | Sont-ils japonais?,Sind sie Japaner?,അവര്פנים ആണോ?,Sono giapponesi? | Loro Sono giapponesi?,They are Japanese? | 日本人? | あの人たちは日本人なの?,അവര് ജപ്പാന് കാരാണോ?,Czy są Japończykami? | Czy są Japonkami?,彼らは日本人ですか? | Elas são japoneseses?
