,index,english,translated_from_finnish
75037,259288,I'm healthy.,Jsem terve.
75155,259413,I'm afraid of earthquakes.,Minä pelkään maanjäristyksiä.
75470,259747,I love reading books.,Já miluju číst knihy. | Rakastan číst knihy. | Já miluju číst knihy. | Rakastan číst knihy.
75593,259880,I do not have a cat.,Minulla ei ole kissaa.
76817,261221,I love her.,Rakastan häntä. | Já milujen häntä.
77052,261477,I'm poor.,Olen köyhä.
77065,261490,I've never climbed Mt. Fuji.,En ole niekada kiivennyt Fuji-vuorelle.
77275,261721,I'm busy.,വേഗത്തില് വരൂ.
77387,261849,I run every day.,Juoksen joka päivä.
77726,262220,I live with my parents.,| Asun vanhempieni kanssa. | Asun vanhempieni luona. | Mä asun mun vanhempien luona.
77743,262240,I like apples.,^ a b c d e f g | 神話の魔術師。
77810,262315,I broke my arm.,Mursin käteni. | Minun käteni murtui.
77834,262339,"I think so, too.",Jákin olen sitä mieltä. | Jákin luulen niin. | Niin minustakin.
77908,262424,Please help me.,ഓട്ടീസ്കോ?
78717,263406,Poets write poems.,Runoja is writing runoja.
79144,263886,Time flies.,Aika rientää.
79970,264824,Respect yourself.,| Kunnioita itseäsi. | Kunnioittakaa itseänne.
80319,265233,What actually happened?,| What itse asiassa happened?
80482,265406,I wish I had a car.,Olisipa minulla auto. | Voi kunpa minulla olisi auto.
80569,265500,Drive carefully.,| Aja varovaisesti. | Aja varovaisesti.
80570,265501,Do you know how to drive a car?,Osaatko ajaa autoa? | どうやってautolla ajetaan?
81054,266051,Can I help?,Saanko help? | Voinko help?
81063,266065,Help me.,Auta minua. | Auttakaa minua.
81369,266400,Practice makes perfect.,Harjoitus dělá mestarin.
81701,266790,Get out!,Ulos täältä! | Häivy!
82881,268087,Get down!,මාහාන්!
83562,268828,Unbelievable!,Uskomatonta!
84767,270147,Are you kidding?,Is this joku vitsi? | Et oo tosissas.
86352,271901,Try hard.,Try hard. | Yrittäkää kovasti.
86481,272043,Keep quiet.,Pysy hiljaa.
87954,273621,See above.,Katso yllä!
88018,273694,Everything went smoothly.,හැමදේම සිද්ද වෙනවා.
88107,273786,I have no idea.,Ei hajuakaan. | Ei aavistustakaan. | En kyllä tiedä yhtään.
88478,274210,Open the window.,विंडो खोलें. | विंडो खोलें. | विंडो खोलें. | विंडो खोलें.
88496,274237,Close the window.,windows. | windows. | windows. | windows.
89422,275276,I am exhausted.,Jsem uupunut. | Olen ihan poikki. | Olen ihan loppu. | Olen rättiväsynyt.
89857,275743,Are you all right?,Jsi v pořádku? | Je všechno v pořádku? | Je všechno v pořádku? | Je všechno v pořádku? | Je všechno ihan hyvin?
90203,276105,Is anybody here?,Je tu někdo? | Je tu někdo ketään? | Je tu někdo? | Je tu někdo?
90204,276106,Is somebody there?,Je tam někdo?
90373,276298,Is anybody home?,ගෙදරට යනවද?
90434,276369,Who knows?,Kuka tietää?
90652,276629,No one helped me.,Kukaan ei auttanut నాకు.
90948,276955,It's too expensive.,太贵了! 太贵了! 太贵了! 太贵了!
90985,276998,Ignorance is bliss.,Tieto lisää tuskaa. | Tietämättömyys on autuus.
91027,277046,Knowledge is power.,Tieto on valtaa.
91406,277466,Let me in.,විනාඩියක් ඇතුලට යන්න.
91640,277720,Stop talking.,Lopeta puhuminen.
91688,277773,Breakfast is ready.,Aamiainen on valmis.
92046,278174,Birds sing.,Linnut laulavat.
92080,278213,Birds fly.,Linnut lentävät.
92087,278220,Birds lay eggs.,Linnut munivat.
92373,278535,It's my brother's.,Se na veljeni.
92441,278606,Don't give up!,හෙලෝ! | Et saa antaa periksi.
92944,279153,Turn off the light.,| Laita valot pois päältä.
93063,279284,Answer the phone.,Vastaa puhelimeen.
93811,280125,My head aches.,මුන් සියේ කිපි වල.
93842,280162,Cool off!,റൌഹൂയിറ്റൂ!
94051,280393,Are you lost?,ඔයා eksynyt ද?
94219,280576,Are you single?,ඔයාද sinkku? | Oletko poikamies? | Ook sä sinkku? | Oletko sinä sinkku?
94881,281301,Have you decided to go to Japan?,നിങ്ങള് ജപ്പാന് പോകാന് തീരുമാനിച്ചോ?
95165,281606,Japan is a rich country.,リカス・マアの日本人。
95175,281616,Welcome to Japan.,සාදරයෙන් පිළිගන්නවා ජපානයන්.
95690,282197,Years passed.,| Vuosia kului.
95715,282225,I am eighteen years old.,Olen kahdeksantoistavuotias. | Olen kahdeksantoista.
95938,282462,My back still hurts.,Selkääni sattuu yhä.
96815,283413,Guess what he told me.,Arvaa mitä hän kertoi minulle. | Arvaa mitä hän kertoi minulle.
97008,283629,I like him.,^ a b c d e f g | ^ a b c d e g | ^ a b c d e g | ^ a c d e g | ^ a b c d e g | ^ a c d e g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g | ^ a g
98404,285184,Grab him.,එයාව අල්ලගන්න.
99624,286516,Forget him.,അവനെ പിടിക്ക്!
100128,287067,He has long legs.,Hänellä on pitkät jalat.
101076,288121,He has a dog.,| Silla on dog. | Silla on dog.
101119,288166,He tries.,Hän versuchen.
101596,288669,He is a DJ.,Он на DJ.
101885,288982,How old is he?,Minkä ikäinen hän on? | How old hän on?
102029,289132,He is always with me.,Hän on aina kanssani.
102666,289812,He doesn't like coffee.,| Hän ei pidä kahvista. | 彼はコーヒーを飲んでいる。
102873,290025,He likes playing soccer.,Hän pitää fotboll pelaamisesta.
103154,290321,He accelerated.,Hän kiihdytti.
104354,291622,He eats a lot.,Hän syö paljon.
104393,291665,He decided to quit smoking.,Hän päätti lopettaa tupakoinnin.
104582,291872,He played tennis.,Hän pelasi tennistä.
104778,292088,He's very ill.,Hän on tosi sairas.
105129,292468,He became a pianist.,Hänesta tuli pianisti.
105267,292619,He can also speak French.,| Hän osaa myös puhua ranskaa.
106651,294141,He was afraid of his wife.,Hän pelkäsi vaimoaan.
107427,294993,He knows a lot of people.,Má hodně lidí.
107699,295297,He's strong.,Hän on strong.
107748,295346,He is a teacher.,Hän on teacher. | Se on ope. | Hän on ope.
107795,295395,He fell backward.,Hän kaatui taaksepäin.
108019,295648,He's stronger than you.,එයා ඔයාව vahvempi මත තියාගන්නවා.
108606,296292,He works in a factory.,එයා වැඩකරනවා. එයා වැඩකරනවා.
108608,296294,He is happy.,Hän on onnellinen.
109160,296902,He died yesterday.,他昨天睡着了。
109766,297564,He lied to me.,Hän valehteli minulle.
110193,298043,He speaks English better than I do.,他比我更说英语了。
110575,298463,He tried to kill himself.,Hän yritti tappaa himself.
110579,298467,He committed suicide.,Hän teki itsemurhan.
111763,299788,He is eating.,| Hän syö parhaillaan. | Hän syö parhaillaan.
111790,299819,Is he sleeping?,| Nukkuuko hän? | Nukkuukse? | Is he nukkumassa?
111946,299984,He told the truth.,Hän sanoi totuuden.
113611,301814,He's talking on the telephone.,Hän puhuu puhelimessa.
114148,302395,He is not stupid.,Hän ei ole tyhmä.
114157,302406,Is he tall?,එයා දිගද?
114194,302443,He is a friendly person.,"ഹലോ, ചേട്ടാ."
115351,303714,He likes adventure.,Hän pitää seikkailusta.
115573,303959,He is asleep.,ഹാൻ nukkuu.
115912,304339,He's an excellent brain surgeon.,Hän na erinominen aivochirurgie.
116868,305382,They are actors.,එයා රූගත කලා.
116995,305514,They don't always obey their parents.,එයා හැමතිස්සෙම ගෙදරට එන්නෙ නෑ.
117401,305951,They hated Tom.,അവന് ടോമിയയെ വഷളിച്ചു.
118204,306813,They went to Chicago by car.,එයා චිකාගෝ වල ඕටෝලා වලට ගියා.
118642,307284,Are they Japanese?,ഇവന് ജപ്പാന് കാര് ആണോ?
119825,308580,She opened the door.,Hän avasi trouba.
121111,309976,She tried.,Hän yritti.
121341,310214,She is eight.,8 വര് ഷമായി.
121613,310506,When was she born?,Milloin hän syntyi? | Milloin hän on syntynyt?
122819,311795,She is very intelligent.,එයා ඇත්තටම බුද්ධිමත්.
122851,311828,She loves Tom.,Hän rakastaa Tomia.
122914,311898,She smiled.,Hän hymyili.
123110,312110,She can speak French.,Hän osaa ranskaa. | Hän osaa puhua ranskaa.
123125,312125,Does she speak French?,Puhuuko hän ranskaa?
123168,312168,She is my girlfriend.,| Se on mun tyttöystävä.
123555,312575,She worked hard.,Hän teki kovasti töitä.
123811,312850,She went home.,Hän meni kotiin.
124038,313091,She almost drowned.,එයා කම්මැලි වුනා.
124133,313193,She cried.,Hän itki.
124299,313373,Does she know you?,Tunteeko hän sinut?
125133,314287,She sat next to me.,Hän istui viereeni.
126464,315731,Who is she?,Kuka hän న?
126944,316246,She married him.,Hän nai hänet.
127156,316478,She wanted to help them.,Chtěl jim pomoct.
127208,316540,She looks sad.,Hän näyttää surulliselta.
127209,316541,She looked sad.,"Zdálo se, že je to surulliselta."
127559,316925,She walks.,| Se kävelee.
128303,317756,Don't be sad.,Neboj se. - Jistě.
128371,317830,Are you tired?,നിങ്ങള് ക്ഷീണിച്ചോ?
130313,319990,I know.,| Minä tiedän.
130613,320329,That's weird.,| Sepä outoa. | Sepä omituista. | Sepä kummallista.
130674,320395,Study!,Opiskele!
131189,320948,I'm breast-feeding my baby.,ഇമെതാൻ ലാസ്റ്റാനി.
131519,321324,It's not my fault.,Se ei ole minun vikani.
131613,321441,Tell me the truth.,Sano minulle totuus. | Kerro minulle totuus.
131614,321442,Leave it to me.,Jätä se minun huolekseni. | Já hoidan sen! | Anna kun minä hoidan sen!
131654,321497,Do you love me?,क्या तुम मुझे चिल्लाते हो? क्या तुम मुझे चिल्लाते हो? क्या तुम मुझे चिल्लाते हो? क्या तुम मुझे चिल्लाते हो? क्या तुम मुझे चिल्लाते हो? क्या तुम मुझे चिल्लाते हो?
131743,321599,I have three cameras.,Mám tři kameraa.
131805,321673,I'm so happy.,Olen niin onnellinen.
131829,321700,I have to go now.,Musím jít teď. | Teď minun musí odejít. | Musím jít teď. | Musím jít teď. | Musím jít teď. | Musím odejít teď. | Musím odejít teď.
131945,321846,I have a dictionary.,| Mulla on sanakirja. | Mulla on sanakirja.
131948,321849,I have two cars.,Mám dvě autoa.
131954,321857,I looked around me.,Katselin ympärilleni.
131964,321870,I want to sleep.,Haluan nukkua.
132036,321954,I have a cold.,Olen vilustunut. | Minulla on nuha.
132064,321985,"Me, too.",Niin minäkin. | Minäkin. | Minä samuti.
132082,322004,When can we eat?,Miloin mě voimme jíst?
132232,322178,Many thanks.,Thank you very much! | Suurkiitokset! | Thank you very much.
132630,322631,Fill it up.,"Tankki täyteen, díky!"
132811,322841,Is it free?,ایا دا وړیا ده؟ | څه پیسې ورکول کیږي؟ | څه پیسې ورکول کیږي؟ | ایا دا وړیا ده؟
133456,323576,Wood burns.,Puu palaa.
133584,323728,My eyes are sore.,வார்ப்புரு:Silmäni ovat kipeät. | Minulla on silmät kipeät. | Silmiani aristaa.
133619,323770,Keep your eyes open.,Pidä silmäsi auki. | Ole varovainen. | Olehan varovainen.
133631,323789,Don't shut your eyes.,අනේ බලන්න.
134223,324442,Ghosts exist.,Haamuja on olemassa. | Kummituksia on olemassa.
134290,324520,Let's play.,| Soitetaan. | Pelataan.
134514,324760,Don't eat too much.,ඔච්චර කන්න එපා.
134619,324880,The leaves fell.,Ne noviny putosivat. | Lehdet putosivat.
134720,324997,Please come.,Ole kiltti ja tule. | Tulethan?
135109,325429,Stand up!,අපි නැගිටින්න. අපි නැගිටින්න. අපි නැගිටින්න.
135175,325503,The dragon is an imaginary creature.,Lohikäärme auf imaginatusolento.
135200,325529,Do you like to travel?,ایا تاسو د سفر کولو څخه خوښ یاست؟ | که چیرې تاسو سفر کوئ؟ | که چیرې تاسو سفر کوئ؟
135422,325769,The food is cold.,Essen auf coldä.
135739,326126,History repeats itself.,Historie toistaa sama sebe.
137296,327777,I bought a red tie.,Ostin punaisen solmion.
138103,328604,Fuck you!,හයිස්ට විටූ!
139102,329612,Which country are you from?,ඔයා කොහෙන්ද ආවේ?
139173,329684,This newspaper is free.,دا lehti on وړیا. | دا sanomalehti on وړیا. | دا on ilmaisjakelulehti.
139202,329713,Good morning!,おめでとうございます! | Huomenta!
139323,333156,Good evening.,Dobre iltaa. | Iltaa.
139329,335138,I am Chinese.,| Mä oon kiinalainen.
139401,341634,I have many friends.,Mám hodně ystäviä.
139413,347331,Who is he?,Kuka hän న?
139463,348091,Come in.,| Tulkaa sisään.
139472,348596,I'm pregnant.,Olen raskaana.
139476,349064,I don't know.,குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:
139564,354379,I like cats.,Pidän kissoista. | MäØRn kissoista. | Minä pidän kissoista.
139593,355041,"Happy birthday, Muiriel!","සුභ උපන්දිනයක්, මෝරියල්!"
139615,356200,Who are you?,कौन है आप? कौन है आप? कौन है आप?
139643,357919,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","Norėčiau rašyti sadoittain lauseita Tatoebaan, bet minulla on muuta tekemistä."
139655,358152,Nobody is perfect.,Kukaan ei ole täydellinen.
139668,360558,See you later!,(பிபிபிசி) தி இந்து: தி இந்து: தி இந்து: தி இந்து!
139676,361350,Happy New Year!,நல்வாழ்த்துக்கள்! நல்வாழ்த்துக்கள்! நல்வாழ்த்துக்கள்!
139679,361576,Achoo!,Atsii!
139696,362737,I play the violin.,Minä soitan viulua.
139767,367935,I am a vegetarian.,Olen kasvissyöjä.
139815,370580,My wife is a doctor.,Vaimoni na lékaři.
139824,370607,He raised his hand.,| Hän nosti kättaan. | Hän nosti kättaan.
139846,370687,I love Arabic.,රාකාස්ටන් ආරාබියා.
139848,370703,Where are you from?,"""உங்களது தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையாரின் தந்தையா"
139850,370708,Where do you live?,क्या है? क्या है?
139910,371410,He is sick.,例如:He on sairas. | Hän voi pahoin. | Hän on kipeä. | Hän on kipeänä. | Hän on sairaana.
139919,371429,There's a monster under my bed.,Sänkyni alla on hirviö. | Mun sängyn alla on hirviö.
139995,372015,What do you want to eat?,Что ты хочешь есть? | Что ты хочешь есть?
140020,372352,What is your blood type?,ستاسو په رښتینې ډلې څه شی دی؟
140040,372460,Cats don't like water.,Kissat eivät pidä vedesta.
140062,373215,Are you serious?,Ideal vakavissaan? | Ar tikrai? | Ar tikrai? | Ar tikrai? | Ar tikrai?
140063,373216,Really?,क्या आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं? | आप जानते हैं?
140102,373320,How are you?,क्या है? | कैसे चलता है? | तुम्हारे पास क्या है? | कैसे हो सकता है? | कैसे हो सकता है? | कैसे हो सकता है? | कैसे हो सकता है? | कैसे हो सकता है? | कैसे हो सकता है? | तुम्हारे पास क्या है?
140104,373330,Hello!,හෙයි! හෙයි! Moi! terve! Heippa! Moikka! Moro! Haloo? Morjesta!
140144,374827,Thank you!,Thank you! | Kiitoksia!
140199,376610,I do not understand.,En ymmärrä. | Minä en ymmärrä.
140200,376611,I don't understand.,En ymmärrä. | Minä en ymmärrä.
140288,378270,Do you speak English?,ایا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟ | آیا تاسو په انګلستان کې یاست؟
140299,378502,I have a dog.,බල්ලෙක්ට කරදරයක්.
140341,379143,Do you want to go?,Tahdotko mennä? | Haluatko mennä?
140552,386704,I am a man.,Já olen mies. | Olen mies.
140559,386729,Do you like music?,ایا موسیقۍ خوښوي؟ | ایا تاسو موسیقۍ خوښوي؟ | ایا موسیقۍ خوښوي؟ | ایا تاسو موسیقۍ خوښوي؟
140564,386734,He likes oranges.,Hän pitää appelsiineista.
140579,386766,Tomorrow is Christmas.,Na Vánoce v Huomennu.
140606,387411,It's a little cold today.,Dnes on vähän kylmä. | Dnes on melko kylmä. | Dnes ei ole kauhean cold.
140621,387427,Let's begin.,Aloitetaan.
140622,387428,Let's start!,Aloitetaan!
140631,387437,I have a high fever.,Mám on korkea heate. | Mám on kova heate. | Mám on paljon heatetta.
140864,388374,She hated her husband.,Hän vihasi aviomiestään.
141043,388834,He likes watching TV.,Hän pitää TV katselusta.
141078,388869,We are men.,My jsme muži.
141085,388890,What's she doing?,What does he do? | What does he do on tekemässä?
141096,388978,He can read well.,එයාට හොඳට කියවන්න පුලුවන්.
141316,391906,He loves traveling.,Hän rakastaa matkustamista. | Hän rakastaa reissaamista.
141375,392296,Finally!,Lopultakin!
141425,393357,Please.,Olkaa kiltti. | Olkaa niin kiltti. | Ole kiltti. | Ole niin kiltti. | Jookos? | Jooko? | Joohan?
141456,393812,"All animals are equal, but some animals are more equal than others.","Eläimet ovat tasavertaisia, bet toiset ovat tasavertaisempia nei toiset."
141549,394633,He loves her.,එයා එයාට ආදරෙයි.
141641,395036,I can't stand him.,| En voi sietää häntä. | En kestä häntä.
141651,395051,I know those girls.,Tunnen nuo Girls.
141811,395934,Great!,Upeaa! | Upeeta!
141972,397714,I am tired.,Minua väsyttää. | Minua väsyttää! | Mua väsyttää!
142052,398513,I'm just kidding.,Minä vain pilailen.
142132,399205,He's smart.,例如:
142143,399354,Are you alone?,നീ ഒറ്റയ്ക്കാണോ?
142218,400184,What do you want to drink?,මොනාද කලු වෙන්න ඕනේ?
142220,400191,What would you like to eat?,Was möchten Sie nicht essen? | Was möchten Sie nicht essen? | Was möchten Sie nicht essen? | Was möchten Sie essen?
142259,400395,Speaking English isn't easy.,ඉංග් රීසි කතාminen ei ole helppoa.
142573,403063,Do you understand?,മനസ്സിലായോ?
142683,404046,I'm at home.,Olen kotona. | Minä olen kotona.
142692,404096,I'm hungry!,Já olen nälkäinen. | Minulla on nälkä. | Minulla on nälkä! | Mullon nälkä! | Mulla on nälkä!
142693,404098,Do you understand what I'm saying?,நான் என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்? | என்ன பேசுகிறேன் என்பதைப் புரிந்து கொள்கிறேன்?
142767,405518,"You can do it, can't you?",നിനക്കത് ഇഷ്ടമല്ലേ?
142782,405764,He's eating an apple.,| Hän syö yhden omenan. | Hän syö omenan.
142783,405766,She's eating an apple.,Hän syö omenaa.
142784,405767,They're eating apples.,On syövät omenoita.
142785,405769,We're eating apples.,Já syömme omenoita.
142860,406604,Tom is my friend.,Tom na minun ystäväni.
142915,407574,I missed you.,Kaipasin jus. | Aš buvau jums nemalonus.
143005,408293,What's your name?,कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम? | कौन है तुम्हारा नाम?
143134,410244,She is beautiful.,Hän on kaunis.
143186,410529,She likes oranges.,Hän pitää appelsiineista.
143204,410597,Wait a moment.,Odota Hetki. | Odota vähän.
143227,410779,Am I wrong?,Ar esu neteisingas? | Ar esu kilęs? | Erehdynkö? | Ar esu neteisingas?
143228,410780,We need your help.,എനിക്ക് സഹായം വേണം.
143316,411238,I can't remember his name.,இவரது பெயர் | | | | | | | |
143324,411285,I'll pay.,Já hoidan laskun. | Já tarjoan. | Já maksan.
143344,411667,You're right.,Olet oikeassa.
143440,412026,I was a student at that time.,Byla jsem do té doby studentkou.
143498,413058,Are you married?,Ar esate naimisissa? | Ooksä naimisis?
143529,413611,No problem!,හේ hätää! | Ilman muuta!
143534,413731,"One, two, three, four, five, six, seven, eight, nine, ten.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 62, 63, 64, 65, 66, 67, 68, 69, 70, 69, 70, 71, 72, 73, 74, 75, 84, 85, 86, 87, 89, 90, 91, 92, 93, 94, 95, 96, 97, 97, 98, 96, 97, 98, 97, 98, 98, 99, 102, 103, 104, 105"
143539,413767,Come home.,Tule kotiin.
143548,413820,"Good evening, how are you?","සුභ සන්ධ් යාවක්, මොනාද වෙන්නේ?"
143549,413821,What's this?,What's this on? | What's this on?
143557,413831,I live near here.,Asun täällä lähellä.
143781,416367,Where are you going?,"""நீங்கள் எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்? எங்கு செல்கிறீர்கள்?"
143902,417801,My eyes hurt.,| Minun silmiini sattuu.
143905,417891,I have a sore throat.,Minulla on kurkku kipeä. | Mun kurkku on kipee.
143935,418475,You idiot!,നായിന്റെ മോനെ!
144218,424848,I know her.,Tunnen hänet.
144290,425148,We often play chess.,Já pelaamme často shakkia.
144443,426950,Good night!,සුභ රාත් රියක්!
144560,428402,What time is it?,Co se děje?
144791,430925,She is dead.,Hän on kuollut.
144819,431539,I'm bored.,tylsää న Minulla.
144848,432340,I was a teacher.,Já jsem byl učitel.
144962,433423,What did you say?,क्या कहा था? | क्या कहा था? | क्या कहा था? | क्या कहा था? | क्या कहा था?
144965,433457,God exists.,अल्लाह का अस्तित्व है।
144967,433468,I understand.,Ymmärrän.
144968,433472,I got it.,Ymmärsin.
144975,433491,Go away.,Häivy! | Ala jo painella! | Ala painella!
144976,433492,Of course.,| Totta kai.
144982,433502,Don't move.,ඉක්මනට! Liikkumatta!
144984,433504,Excuse me.,"Promiňte, že häiritsen. | Promiňte, mohu vás obtěžovat. | Promiňte."
144986,433510,Wonderful!,Upeaa! | hienoa! | Mahtavaa! | Loistavaa!
144987,433511,Fantastic!,Fantastista! | hienoa!
144993,433518,Go away!,கர்ப்பர்: கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்! கர்ப்பர்!
145014,433594,Try it again.,තව පාරක් උත්සහ කරන්න. තව පාරක් උත්සහ කරන්න. තව පාරක් උත්සහ කරන්න.
145027,433613,I have no money.,Minulla ei ole rahaa.
145028,433614,I don't have any money.,Nemám peníze. | Nemám žádné peníze. | Nemám na matti kukkarossa. | Nemám pennin hyrrää. | Nemám latinské latinky. | Nemám úplně rahaton.
145061,433669,Do you have a fever?,Máš horečku?
145065,433675,I'm serious.,Olen tosissani.
145067,433680,That's enough.,ඔහ්! ඔහ්!
145070,433689,Did you call?,നിനക്കെന്താ പ്രശ്നം?
145093,433730,Of course!,Tietenkin! | Tietysti! | Totta kai! | Kaikin mokomin! | No tietty!
145099,433745,Don't worry about it.,ඒ ගැන වද වෙන්න එපා!
145100,433754,Follow him.,Seuraa häntä.
145112,433809,I'm very hungry.,Mám na kova nälkä.
145121,433849,Speak clearly.,Puhu selvästi.
145123,433859,I've had enough.,ඔහ්! ඔහ්!
145124,433863,I'm full.,Jsem plná.
145218,434224,Anything else?,Mitään muuta؟
145227,434242,Are you hungry?,| | | | | | | | | | | |
145232,434258,Are you thirsty?,Ar jums jano? | Ar teillä jano?
145302,434410,Can you help me?,Voitko hilft mir? | Voitteko hilft mir?
145324,434458,Come with me.,| Tule mukaani.
145430,434680,Enough!,Riittää! | Nyt riittää!
145562,434964,He likes to swim.,Hän pitää uimisesta.
145620,435084,Help!,අපු! | අපු! | ඔටුටාකා!
145653,435199,Did something happen?,Tapahtuiko something? | Sattuiko something?
145671,435279,Whose turn is it?,Kenen vuoro on? | Kenen vuoro?
145685,435409,It's too big.,Se on liian iso.
145711,435575,Calm down.,இத்தகைய விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்: விலங்குகள்
145735,435647,He can also speak Russian.,එයාට කතා කරන්නත් පුළුවන්.
145751,435750,That's a good question.,Tuo on hyvä kysymys.
145754,435754,Has something happened?,Czy coś się stało? | Czy coś się stało?
145763,435772,Life is fun.,Жизнь на удовольствие.
145785,436096,Fuck off!,」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」 」
145852,436243,How old are you?,எவ்வாறு முதிர்ச்சியடைந்தது? | எவ்வாறு முதிர்ச்சியடைந்தது? | எவ்வாறு முதிர்ச்சியடைந்தது? | எவ்வாறு முதிர்ச்சியடைந்தது?
145866,436275,I am tall.,Olen pitkä.
145869,436281,I agree.,Olen samaa mieltä.
145935,436423,I am ready.,Olen valmis.
145944,436445,I am too short.,Jsem příliš krátký.
145987,436541,I don't know what to say.,"Já vím, co řeknu. | Já vím, co řeknu."
146366,438930,Where are my glasses?,Missä lasini ovat?
146367,438940,We are happy.,We are happyia. | Me we are happyia.
146452,441955,It was a terrible day.,| Se oli kauhee päivä. | Se oli kauhee päivä.
146472,442064,Who drew it?,Kuka piirsi sen?
146478,442109,Prices went up.,ഹിനറ്റ് നൂസിവറ്റ്.
146484,442130,That's a good idea.,Tuo on hyvä ajatus. | Sepä vasta hyvä idea. | Hyvä ajatus!
146503,442957,Please open the bottle.,Voisitko avata pullon?
146505,442964,That's not fair.,Tuo ei ole reilua. | Se ei ole reilua. | Se on epäreilua.
