,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
51020,69205,Do you get along with your boss?,Rozumíš-tu bien avec ton patron?,നിന് റെ ഷെഫിന്റെ കൂടെ നിനക്കൊന്നും അറിയില്ലേ?,Do you have relations תקינים with your המנהל?,Vai d'accordo con il tuo capo?,You are a boss and well doingいけていますか.,你跟老板合得来吗?,Czy dobrze ci się układa z twoim szefem?
51214,69421,Have you ever seen a whale?,As-tu déjà vu une baleine?,Už jsi někdy viděla Wala?,(பிபிபிசி) (பிபிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (பிசி) (,Hai mai visto una balena? | Avete mai visto una balena?,Have you ever seen whales? | Have you ever seen whales?,你见过鲸鱼吗?,Czy kiedykolwiek Widziałeś wieloryba?
51225,69436,Do you like black cats?,Aimez-vous les chats noirs? | Aimes-tu les chats noirs?,Mögen Sie schwarze Katzen? | Magst du schwarze Katzen?,Do you love black cats? | Do you love black cats? | Do you love black cats?,Vi piacciono i gatti neri? | A voi piacciono i gatti neri? | Le piacciono i gatti neri? | A lei piacciono i gatti neri? | Ti piacciono i gatti neri? | A te piacciono i gatti neri?,Do you like black cats? | Do you like black cats? | Do you like black cats?,你喜欢黑色的猫吗?,Lubisz czarne koty? | Lubicie czarne koty?
51284,69506,You have a good memory.,Tu as une bonne mémoire.,Máš dobrou památku. Máš dobrou památku. Máš dobrou památku. Máš dobrou památku.,Máš dobrou paměť.,Ha una buona memoria. | Hai una buona memoria. | Tu hai una buona memoria. | Lei ha una buona memoria.,ඔයාට මතකයි.,あなたの記憶力很好. | あなたの記憶力很好.,Máš dobrou paměť.
51296,69521,Are you a student?,Es-tu étudiant? | Êtes-vous étudiant? | T'es étudiant? | Êtes-vous étudiante? | Es-tu étudiante?,Bist du Student? | Sind Sie Student? | Bist du Schüler? | Bist du eine Studentin?,Jsi studentka? | ty סטודנטית? | ty studentka?,Jsi studentka? | Jsi studentka? | Jsi studentka? | Jsi studentka? | Jsi studentka? | Je studentka? | Lei je studentka? | Je studentka? | Lei je studentka?,学生さん? | 学生さん?,你是学生吗? | 你是学生吗?,Jsi studentem?
51362,69611,You have everything.,You avez tout. | Tu as tout.,Ty máš všechno. | Ty máš všechno. | Ty máš všechno.,Máš všechno. - Máš všechno.,है tutto. | तु है tutto. | Avete tutto. | Voi avete tutto. | Ha tutto. | Lei ha tutto.,You have whatever.,ඔයාලා ඔක්කොම ඉන්නවා.,Masz wszystko. | Macie wszystko.
51370,69619,Do you want anything to eat?,Veux-tu quoi que ce soit à manger? | Voulez-vous quoi que ce soit à manger? | Veux-tu manger quelque chose? | Voulez-vous manger quelque chose?,Möchtest du etwas essen? | Möchten Sie etwas essen? | Möchtest du etwas zu essen?,תרצו לאכול משהו? | האם אתם רוצים לאכול משהו? | האם אתם רוצים לאכול משהו? | אתם רוצים לאכול משהו? | אתם רוצים לאכול משהו? | אתם רוצים לאכול משהו?,എന്തെങ്കിലും കഴിക്കണോ?,| 何か食べたい? | 何か食べたいものある?,你想要吃什么东西? | 你想吃点什么? | 你想吃点什么? | 你想吃什么东西?,Chceš něco dělat?
51485,69763,You're still young.,Ty jsi ještě mladá. | Ty jsi ještě mladá. | Ty jsi ještě mladá.,Du bist noch jung. | Sie sind noch jung.,Jsi ještě mladá.,Sei ancora giovane. | Siete ancora giovani.,まだ若いなぁ。 | お前はまだ「青い」な。 | あなたはまだ若い。,You are still very young. | You are still young. | You are still young. | You are still young.,Ty jsi pořád mladá.
52019,70408,Where is your room?,Où est ta chambre? | Où est votre chambre?,Wo ist dein Zimmer? | Wo ist Ihr Zimmer? | Wo ist euer Zimmer?,Kde je tvůj pokoj? | Kde je tvůj pokoj?,Dov'è la tua stanza? | Dov'è la vostra stanza? | Dov'è la sua stanza? | Dov'è la tua camera? | Dov'è la sua camera? | Dov'è la sua camera? | Dov'è la vostra camera? | Dov'è la Vostra camera?,Where is your room?,あなたの部屋はどこですか? | あなたの部屋はどこですか?,Kde je tvůj pokoj?
52198,70623,What is your name?,Comment est-ce que tu t'appelles? | Comment tu t'appelles? | Comment vous appelez-vous? | Comment t'appelles-tu? | Quel est votre nom? | Quel est ton nom? | Comment t'appelles-tu?,Wie heißen Sie? Wie ist Ihr Name? Wie heißt du? Wie ist dein Name? Was ist dein Name?,| あなたの名前は?,Jak se jmenuješ? Jak se jmenuješ? Jak se jmenuješ? Jak se jmenuješ? Jak se jmenuješ?,Your name is? | Your name is? | Your name is? | Your name is? | Your name is? | Your name is?,你叫什么名字? | 你叫什么名字? | 请问您贵姓 | 你的名字叫什么? | 你叫什么?,Jak się pan nazywa? | Jak masz imię? | Jak się nazywasz?
52496,70960,How old is your father?,Quel âge a votre père? | Quel âge a ton père?,Wie alt ist dein Vater?,あなたの父は何人? | あなたの父は何人?,ඔයාගෙ තාත්තට අවුරුදු කීයක් තියෙනවද?,| あなたのお父さんはおいくつですか。 | きみのお父さんて何歳? | あなたがたのお父さんは何歳ですか?,ඔයාගේ තාත්තා几岁ද?,Ile lat ma twój ojciec?
52528,71000,How old is your grandfather?,Quel âge a ton grand-père? | Quel âge a votre grand-père?,Wie alt ist dein Großvater?,Jaký je tvůj dědeček? | Jaký je tvůj otec? | Jaký je tvůj dědeček? | Jaký je tvůj dědeček?,Quanti anni ha tuo nonno?,നിനക്കെന്താ വയസ്സ്?,ඔයා Grandpa多大了?,നിന് റെ മുത്തച്ഛന് എവിടെ?
52742,71256,Are you students?,Êtes-vous étudiants? | Êtes-vous étudiantes?,Sie waren Schüler? | Sind Sie Schüler? | Sie waren Schüler?,Jste studenti?,Studenti z Siete? | Voi siete studenti? | Studenti z Siete? | Voi siete studentesse?,学生の方? | 学生の方?,あなたは学生ですか? | あなたは学生ですか?,Czy jesteście uczniami? | Czy jesteście uczniami?
53190,71751,I know him.,Je le connais.,Ich kenne ihn.,Já ho znám.,| Lo conosco.,あたしは彼を知っています。 | 彼のことは知ってますよ.,I recognize他. | I recognize他.,Znam പോ.
53489,72055,He looks suspicious.,Zdá se podezřelý. Zdá se podezřelý. Zdá se méfiantní.,Er sieht verdächtig aus.,Vypadá podezřelý.,| Sembra sospetto.,It smells like shit. | He's suspicious.,他看上去很可疑。,Vypadá to jako podezření.
53510,72076,Now I remember.,Now je me souviens. | Now je me rappelle.,දැන් මට මතකයි.,Teď נזכרתי. | Teď já vzpomínám.,Ora ricordo.,ああ思い出したぞ.,දැන් මට මතක් වෙනවා.,Teraz już pamiętam. | Teraz sobie przypominam.
54778,73398,Ten years is a long time.,"Deset let, to je dlouho.",Zehn Jahre sind eine lange Zeit.,අවුරුදු දහයක් කියන්නේ දිග කාලයක්.,Dieci anni sono molto tempo.,10年って、長いなぁ。 10年って、長いなぁ。,十年很长的时间。,Dziesięć lat do długo.
54812,73434,It's ten o'clock sharp.,Il est juste dix heures.,Es ist genau zehn Uhr.,precisely.,Sono le dieci in punto.,10時きっかりです.,現在は10時正。,Jest punkt dziesiąta.
55379,138919,Welcome.,Bienvenue! | Bienvenue! | Bienvenue. | Soyez le bienvenu!,සාදරයෙන් පිළිගන්නවා!,ようこそ! | Welcome!,Benvenuto! | Benvenuta! | Benvenuti! | Benvenute! | Ben arrivato!,ようこそ! | いらっしゃい。 | こんにちは。 | いらっしゃいませ。 | よく来てくれた。 | ようこそ。,欢迎! | 欢迎光临!,こんにちは。 | こんにちは。
55509,237639,You speak fluent English.,Tu parles l'Anglais couramment.,Du sprichst fließend Englisch.,په جرمني کې د بهرنيو اسنادو رسمي کول,Tu parli l'inglese fluentemente. | Voi parlate l'inglese fluentemente. | Lei parla l'inglese fluentemente.,君は流暢な英語を話す。,你英语说得很流利。,Mówisz biegle po angielsku. | Mówisz płynną angielszczyzną.
55555,237692,I'll make you happy.,Je vais te rendre heureux. | Je te rendrai heureuse. | Je te rendrai heureux. | Je vous rendrai heureux. | Je vous rendrai heureux. | Je vous rendrai heureuse.,Já tě udělám šťastným. | Já vás udělám šťastným. | Já vás udělám šťastným.,මම ඔයාව සතුටින් තියන්නම්. මම ඔයාව සතුටින් තියන්නම්.,Udělám ti radost. | Udělám ti radost. | Udělám ti radost. | Udělám ti radost. | Udělám ti radost. | Udělám ti radost. | Udělám ti radost. | Udělám ti radost.,I'll make you happy. | I'll make you happy. | I'll make you happy. | I'll make you happy.,මම ඔයාව සතුටින් තියන්නම්.,"Sprawię, że będziesz szczęśliwa."
55560,237698,I believe in you.,Je crois en toi. | Je crois en vous.,Ich glaube an dich.,මම ඔයාව විශ්වාස කරනවා.,Credo in te.,I believe in your strength. | I believe in you. | I believe in you. | I believe in you. | I believe in you. | I believe in you.,මම ඔයාව විශ්වාස කරනවා.,Wierzę ci.
56637,238862,It's Monday.,Nous sommes lundi.,Es ist Montag.,"இது ஒரு நாள், ஒரு நாள், ஒரு நாள், ஒரு நாள், ஒரு நாள்.",തിങ്കളാഴ്ച.,月曜日です。 | 今日は月曜ですね。,今天是星期一。,Jest Monday.
57023,239285,Can you find it?,Peux-tu la trouver? | Peux-tu le trouver?,Kannst du danach suchen?,Can you find it? | Do you have a chance of finding it? | Can you find it? | Can you find it? | Can you find it? | Can you find it?,Riesci a trovarlo? | Finderlo?,හොයාගන්න පුලුවන්ද?,ඔයාට ඒක හොයාගන්න පුලුවන්ද?,Czy możesz znaleźć?
57151,239431,Good luck.,Bonne chance! | Bonne chance. | Bonne continuation!,Viel Glück. | Viel Glück!,הצלחה,සුබ පැතුම්.,元気でね。 | がんばってくださいね。 | 頑張れよ。 | 頑張れ! | 頑張れ。 | 頑張れ。 | 頑張れね。,සුභ පැතුම්.,Powodzenia.
57294,239578,Where do you live now?,ഓ habites-tu maintenant?,Wo wohnen Sie jetzt? | Wo wohnst du jetzt?,""""" Та хаана амьдардаг вэ? | """" Та хаана амьдардаг вэ? | """" Та хаана амьдардаг вэ?",Dove abiti adesso? | Dove abiti ora? | Dove vivi ora? | Dove vivi adesso?,Where do you live now? | Where do you live now? | Where do you live now?,ඔයා දැන් කොහෙද ඉන්නෙ?,Kde teď bydlíš?
57582,239892,Is he breathing?,ശ്വാസം വിടുകയാണോ?,තේරුනාද?,האם הוא נושם?,Sta respirando? | Lui sta respirando?,呼吸は? | 彼は息をしていますか.,అతను శ్వాస లేదు?,ഒഡ്ദിക്ക?
57834,240166,Look back!,Regarde derrière! | Regarde derrière toi!,Schau nach hinten!,آپ کے پیچھے!,Guarda dietro! | Guardate dietro! | Guardi dietro!,පිටිපස්සෙන් බලන්න.,പിന്നോട്ട് നോക്ക്!,Spójrz wstecz!
58614,241077,Let's go!,Allons-y! | Allons! | Na cestě!,යමු යමු යමු යමු යමු යමු යමු යමු යමු යමු යමු,चलो! चलो! चलो! चलो! चलो! चलो! चलो! चलो! चलो! चलो!,Andiamo!,さあ、行くぞ。 | 行こう!,අපි පටන් ගමු!,Chodźmy!
58720,241200,I give up.,J'abandonne. | Je donne ma langue au chat.,Ich gebe auf. | Ich geb’s auf.,| I מרים ידיים.,リヌンシオ | Ci rinuncio.,降参します. | お手上げだ. | 参りました.,我放弃。,Poddaję się.
59166,241675,I'm on a diet.,Je suis au régime.,Ich bin auf Diät.,මම בדיאטה.,سونو ایک رژیم.,I'm on a diet. | I'm on a diet. | Now diet中なの. | ダイエット中です。,節食.,Jestem na diecie.
60039,242641,That's enough for today.,Je to dost pro dnešek. | Je to všechno pro dnešek. | Je to dost pro dnešek.,Für heute reicht es. | Das ist genug für heute. | Genug für heute.,இது இன்றைய தினம் மிகப்பெரிய நாளாகும்.,Je to dost za dnešní den.,Today is the end of the day. | Today is the end of the day. | Today is the end of the day. | Today is the end of the day. | Today is the end of the day. | Today is the end of the day. | Today is the end of the day.,We're here today.,Na dziś wystarczy. | Starczy na dziś. | Dość na dziś.
60111,242732,It is very cold today.,今天天气很冷。,Es ist heute sehr kalt.,ウィンドウ | ウィンドウ ウィンドウ,Fa molto freddo oggi.,| 今日はとても寒いね。,今天超级冷。,Dnes jest bardzo zimno.
60183,242809,It's cold today.,ഇന്ന് തണുപ്പുണ്ട്.,Heute ist es kalt. | Es ist kalt heute!,קר היום.,Dnes je zima. | Dnes je zima. | Fa freddo oggi!,今日は寒いです。,今天很冷。,Dzisiaj jest zimno. | Zimno dziś.
60207,242836,It is Monday today.,ഇന്ന് തിങ്കളാഴ്ചയാണ്.,Heute ist Montag.,రోజు రోజు రెండు.,| 今日は月曜日です。,It's Monday. | It's Monday. | It's Monday.,Today is Monday. | 今兒週一.,Dzisiaj jest poniedziałek. | Dziś jest poniedziałek.
60247,242881,It's hot today.,Il fait chaud aujourd'hui.,今天很热 今天很热 今天很暖 今天很暖 今天很暖,వేడి రోజు.,Fa caldo oggi. | Oggi fa caldo.,今日は暑いです。 | 今日は暑いです。 | 今日は暑いです。,今天天气很热。,Dnes jest gorąco.
60906,243599,Sugar dissolves in water.,Cukr smíchaný ve vodě. | Cukr se rozpustí ve vodě.,Zucker löst sich in Wasser.,סוכר נמס במים.,Lo zucchero si dissolve nell'acqua. | Lo zucchero si scioglie nell'acqua.,The sugar is dissolved in water.,糖溶于水。,Cukier rozpuszcza się w wodzie.
61013,243711,The worst is over.,Le pire est passé. | Le pire est déjà passé.,Das Schlimmste haben wir hinter uns. | Das Schlimmste ist überstanden.,Najgorsze – przeszło. | Najgorsze – za nami.,最悪は過去だ | 最悪は終わりだ。,The worst of the situation is already over.,The worst has already passed.,Najgorsze już minęło. | Najgorsze za nami. | Najgorsze minęło.
61782,244539,Yesterday was my birthday.,Byla to moje oslava. | Byla to moje výročí. | Byla to moje výročí.,Gestern war mein Geburtstag. | Ich hatte gestern Geburtstag.,ඊයේ මගේ උපන්දිනේ. | ඊයේ මගේ උපන්දිනේ. | ඊයේ මගේ උපන්දිනේ. |,Ieri era il mio పుట్టినరోజు.,It was my birthday yesterday. | It was my birthday yesterday.,昨天是我的生日。,Wczoraj byly moje narozeniny.
62564,245411,Are you working?,Travaillez-vous? | Es-tu en train de travailler? | Êtes-vous en train de travailler?,Workest du? | Arbeiten Sie?,Ty pracuješ? | Ty pracuješ? | Ty pracuješ?,Skončíš v práci? | Skončíš v práci? | Stát lavorando?,I'm working for you.,ඔයා වැඩ කරනවද?,Pracuje pan?
62605,245454,I'm looking for a job.,Je cherche du travail. | Je cherche un travail. | Je cherche un emploi.,Ich suche eine Arbeitsstelle. | Ich bin auf der Suche nach einer Arbeitsstelle. | Ich suche einen Job. | Ich suche Arbeit.,Hledám práci.,我正在寻找一份工作。,i'm looking for a job.,我在找工作。,Hledám práci.
63020,245897,Children need loving.,കുട്ടികള് ക്ക് സ്നേഹം ആവശ്യമുണ്ട്.,Kinder brauchen Liebe.,കുട്ടികള് ക്ക് സ്നേഹം വേണം.,I bambini hanno bisogno di essere amati.,Children need to be loved. | 子供には愛が必要だ。,Děti potřebují péči.,Dzieci potrzebują miłości.
63402,246314,"Stop, or I'll shoot.",Ne bougez pas ou je tire. | Ne bouge pas ou je tire.,"Zůstaň stát, nebo zastřelím! Zůstaň stát, nebo zastřelím! Zůstaň stát, nebo zastřelím! Zůstaň stát, nebo zastřelím! Zůstaň stát, nebo zastřelím!","Zastav, nebo já budu děsná! Zastav, nebo já budu děsná! Zastav, nebo já budu děsná! Zastav, nebo já budu děsná!",Fermati o sparerò. | Si fermi o sparerò. | Fermatevi o sparerò.,止まらないと撃つぞ.,"නවත්තන්න, නැත්තම් මම වෙඩි තියන්නම්.",Stój albo strzelę.
64414,247442,Welcome to our home.,Vítejte v našem domě.,Willkommen bei uns zu Hause! | Willkommen in unserem Hause!,Vítejte v našem domě. | Vítejte v našem domě. | Vítejte v našem domě. | Vítejte v našem domě. | Vítejte v našem domě.,"欢迎来到我们家,欢迎来到我们家,欢迎来到我们家,欢迎来到我们家。",私たちの家へようこそ。 | ようこそ、我が家へ。 | 私たちのうちへようこそ!,සාදරයෙන් පිළිගන්නවා අපේ ගෙදරට.,Witamy w naszym domu!
64711,247763,We try.,Na esej.,Wir versuchen es.,我々は努力する | 我々は努力する。,අපි බලමු. අපි බලමු. අපි බලමු.,私たちは、試す。 | 私たちは努力しております。,我们来试试。,Próbujemy.
64879,247937,We played soccer yesterday.,നമ്മളിവിടെ നിന്ന് രക്ഷപ്പെട്ടു.,Wir haben gestern Fußball gespielt. | Gestern haben wir Fußball gespielt.,שיחקנו כדורגל wczoraj. | wczoraj שיחקנו כדורגל.,Včera jsme hráli fotbal.,We きのうサッカーをしました.,我们昨天踢了足球。,Wczoraj graliśmy w piłkę nożną.
65001,248069,We painted the house green.,Nous avons peint la maison en vert. | Nous peignîmes la maison en vert.,Wir haben das Haus grün angestrichen.,צבענו את הבית בירוק.,"""ഹമ്മൊസ് pitturato la casa di verde.""",We painted that houseみどり色に。,We把屋子漆成绿色.,Pomalowaliśmy dom na zielono.
66839,250101,Please tell me your name.,"S'il vous plaît, pouvez-vous me give your name?",Prosím nennen Sie mir Ihren Namen. | Bitte sagen Sie mir Ihren Namen. | Bitte sag mir deinen Namen.,"Řekni mi prosím, co máš. Řekni mi prosím, co máš, prosím. Řekni mi prosím, co máš.",Per piacere dimmi il tuo nome. | Per piacere mi dica il suo nome. | Per favore dimmi il tuo nome. | Per favore mi dica il suo nome.,名前を教えてください。 | お名前を教えてください。,請告訴我你的名字. | 请告诉我你的名字.,Můžete prosić o pańską godność?
66866,250135,Follow me.,സൂയിസ്-മോയ്.,Folge mir.,"குறிப்பாக, குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக: குறிப்பாக:",Seguimi. | Mi segua. | Seguitemi.,私について来. | ついてきて。,请跟我来。 | 跟我走。,Chodź za mną. | Chodźcie za mną.
67038,250327,Do you remember me?,Tu te rappelles de moi? | Tu te souviens de moi? | Vous souvenez-vous de moi? | Te souviens-tu de moi? | Vous vous souvenez de moi?,Pamatuješ si na mě? Pamatuješ si na mě ještě? Pamatuješ si na mě noch? Pamatuješ si na mě noch?,你还记得我吗? | Remember me? | You still remember me?,मुझे याद करो? | आप मुझे याद करते हैं? | आप मुझे याद करते हैं? | आप मुझे याद करते हैं? | तुम मुझे याद करते हैं? | Voi vi मुझे याद करते हैं? | Lei si मुझे याद करते हैं?,මට මතකද?,ඔයාට මාව මතකද?,Pamiętasz mnie? | Czy pamiętasz mnie?
67322,250648,My legs still hurt.,My jambes me font toujours mal. | J'ai encore mal aux jambes.,Moje nohy schmerzen immer noch. | Meine Beine tun immer noch weh. | Mir tun noch immer die Beine weh.,കാലיים עדיין כואבות לי.,Mi fanno ancora male le gambe. | A me fanno ancora male le gambe.,脚がまだ痛む.,我的腿还是很痛。,Ciągle boli mnie noga.
67352,250680,He is my brother.,Jsi můj bratr.,Er ist mein Bruder. | Das ist mein Bruder.,| あああ、あああ、あああ、あああ。,È mio fratello.,彼は私の兄です。 | 彼は私の弟です。,他是我兄弟。,Na smích s mým bratem.
67692,251060,Answer me.,In: Répondez-moi. | Réponds-moi.,മറുപടി തരൂ.,”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”“”,Rispondimi. | Rispondetemi. | Mi risponda.,I want you to answer my question.,මට උත්තර දෙන්න.,Odpowiedz mi.
68451,251884,Where's my book?,Où est mon livre? | Où se trouve mon livre?,Kde je můj Buch?,Где я читаю? | Где я читаю? | Где читаю?,Dov'è il mio libro?,මගේ පොත කොහේද?,මගේ书在哪裏?,Gdzie jest moja książka?
68790,252254,I played soccer yesterday.,J'ai joué au foot hier. | Hier j'ai joué au foot.,Ich habe gestern Fußball gespielt.,Včera שיחקתי fotbal. | שיחקתי včera fotbal.,Ho giocato a calcio ieri. | Aš ho giocato a calcio ieri.,I did soccer yesterday.,我昨天踢了足球。,Grałem wczoraj w piłkę nożną.
68808,252272,I have a car.,J'ai une voiture. | Je dispose d'une voiture.,Ich habe ein Auto.,මට කාර් එකක් තියෙනවා.,Ho una macchina. | Ho un'auto. | Ho un'automobile.,"I have a car. | I,車を所持しています. | 車がある。",我有一辆车。,අම්මේ කාර් එක.
68816,252280,I like castles.,J'aime les châteaux.,Ich mag Schlösser.,Líbí se mi létání. | Líbí se mi létání. | Líbí se mi potíže. | Líbí se mi potíže.,Mi piacciono i castelli. | A me piacciono i castelli.,I like the castle.,我喜欢城堡。,Lubię zamki.
68823,252287,I am a student.,Ich bin Student. | Ich bin Student.,Ich bin ein Student. | Ich bin Student. | Ich bin Studentin.,学生 | 学生。,Sono uno studente.,私は学生です. | 学生です.,| 我是学生。,Jestem studentką. | Jestem uczniem. | Jestem uczennicą. | Jestem studentem.
69426,252983,I don't drink much wine.,Je ne bois pas beaucoup de vin.,Ich trinke nicht viel Wein.,我不喝太多酒。,Non bevo molto vino. | Io non bevo molto vino.,I don't want to drink wine.,මම මොනාද බොන්නේ?,Nie piję dużo wina.
70203,253848,I have a computer.,J'ai un ordinateur. | Je possède un ordinateur. | Je dispose d'un ordinateur.,Ich habe einen Computer.,నేను కంప్యూటర్.,Ho un computer. | Io ho un computer.,I have a computer. | パソコンは持ってます.,我有一台电脑。,మాం కంప్యూటర్.
70649,254335,I don't know how to spell the word.,Je ne sais pas pas pas comment épeler ce mot.,"Ich weiß nicht, wie man das Wort buchstabiert.",私はこの単語をどのようにしてないか分からない。| 私はこの単語をどのようにしてないか分からない。,Ne tak pojď si psát la parola. | Já ne tak pojď si psát la parola.,I don't know that word's つづりが。 | That word'sスペルがわからない。,我不知道这个单词怎么拼写。,Nie wiem jak przeliterować do słowa.
71093,254847,I'm glad to hear that.,"Je suis heureux d'entendre cela. | C'est bien. | Je me réjouis d'entendre cela. | Je suis ravi d'entendre cela. | C'est bien pour toi. | C'est bien pour vous. | Je me réjouis beaucoup d'entendre cela. | C'est bien, non? | Je suis vraiment heureux d'entendre cela. | Je suis heureux d'entendre cela. | Je suis heureux d'entendre cela. | Je suis heureux d'entendre cela. | Je suis soulagé d'entendre cela. | Je suis ravi d'entendre cela. | Je suis ravi d'entendre cela. | Je suis ravi d'entendre cela. | Je suis heureux d'entendre cela! | Je suis heureux d'entendre cela! | Je suis heureux d'entendre cela! | Je suis heureux d","Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším! | Těší mě, že to slyším! | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším. | Těší mě, že to slyším! | Těší mě,",私はそれを聞くことを嬉しく思います。,Dobře. | Buon per te. | Sono felice di sentirlo. | Sono felice di sentirla. | Buon per te! | Buon per voi! | Buon per lei! | Io sono felice di sentirlo.,I'm glad to hear that.,I heard this very happy. | I High興 Listening to This Message.,Cieszą mnie te wieści.
71253,255034,I like chocolate.,J'aime le chocolat. | J'adore le chocolat.,Ich mag Schokolade.,私はチョコレートが好きです。| 私はチョコレートが好きです。,Mi piace la cioccolata. | A me piace la cioccolata.,私はチョコレートが好きです。 | チョコが好きだ。,I like chocolate.,Lubię czekoladę. | Kocham czekoladę.
71273,255055,I hid under the table.,Je me suis caché sous la table. | Je me cachai sous la table. | Je me suis cachée sous la table.,Ich habe mich unter dem Tisch versteckt.,| הסתתרתי מתחת לשולחן.,我隐藏在桌上我隐藏在桌上我隐藏在桌上我隐藏在桌上我隐藏在桌上我隐藏在桌上我隐藏在桌上我隐藏在桌上,I hid under the table.,I hide under the table.,Schowałem się pod stołem.
71297,255080,I like tennis.,J'aime le tennis.,Ich mag Tennis.,මම ටෙනිස්ට ආදරෙයි.,Mi piace il tennis. | A me piace il tennis.,私はテニスが好きです。 | テニスが好きです。,I like tennis. | I like tennis運動.,Lubię tenis.
71529,255340,I'd like to live in New York.,Chtěla bych žít v New Yorku.,Ich würde gerne in New York leben.,میں نیویارک میں رہنے کے لئے چاہتے تھے.,Vorrei vivere a New York. | Io vorrei vivere a New York. | Vorrei abitare a New York. | Io vorrei abitare a New York. | Mi piacerebbe abitare a New York. | A me piacerebbe abitare a New York. | Mi piacerebbe vivere a New York. | A me piacerebbe vivere a New York.,I want to live in New York.,Chci bydlet v New Yorku.,Chciałbym mieszkać w Nowym Jorku. | Chciałabym mieszkać w Nowym Jorku.
71804,255644,I'm happy to see you again.,"Jsem spokojený s tím, že vás přezkoumáváte.","Ich freue mich, dich wiedersehen. | Es freut mich, dich wiedersehen. | Ich freue mich, Sie wiedersehen!",Rád tě zase vidím.,Jsem šťastná z rivederti. | Já jsem šťastná z rivederti. | Já jsem šťastná z rivedervi. | Já jsem šťastná z rivedervi. | Já jsem šťastná z rivedervi. | Já jsem šťastná z rivederla. | Já jsem šťastná z rivederla.,I'm glad to meet you again. | I'm glad to meet you again. | I'm glad to meet you again. | I'm glad to meet you again. | I'm glad to meet you again.,عالي興能మరియుచూడండి,"Těší mě, že tě vidím znovu."
71867,255717,I gave Mary a book.,ഞാന് മാരിയെ ഒരു പുസ്തകം കൊടുത്തു.,Ich gab Maria ein Buch.,נתתי למרי ספר.,| Diedi un libro a Mary. | Diedi un libro a Mary.,I picked up a book on Mary.,I gave Mary a book.,Dałem Mary książkę.
72048,255926,I like to eat apples.,J'aime manger des pommes.,Ich esse gerne Äpfel.,"我喜欢吃苹果树,我喜欢吃苹果,我喜欢吃苹果",Mi piace mangiare le mele.,I like to eat リンゴ.,我喜欢吃苹果。,Lubię jeść jabłka.
72156,256043,I bought a book.,J'ai acheté un livre.,Ich habe ein Buch gekauft. | Ich kaufte mir ein Buch.,קניתי ספר.,"我买书了,我买书了,我买书了。",I bought a book. | I bought a book.,I bought a book. | I bought a book.,Kupiłem książkę.
72280,256178,I can swim.,Je sais nager.,Ich kann schwimmen.,Já vím plavat. | Já vím plavat. | Já můžu plavat.,මට පුළුවන් පීනන්න. | Riesco a nuotare. | So nuotare. | Io so nuotare. | Io riesco a nuotare. | Io posso nuotare.,I can swim. | I can swim.,මම පීනන්නම්.,Umiem pływać. | Mogę pływać.
72329,256236,I study English.,J'étudie l'anglais.,Ich studiere Englisch.,私は英語を学んでいます。 | 私は英語を学んでいます。,Studio English. | Io studio English. | Studio l'inglese. | Io studio l'inglese.,I am studying English.,我学英语。,Studiuję język angielski.
72890,256891,I like fish.,J'aime le poisson.,Ich mag Fisch gerne. | Ich esse gerne Fisch.,私は魚が好きです. | 私は魚が好きです.,Mi piace il pesce. | A me piace il pesce.,I like fish.,我喜欢鱼。,Lubię ryby.
72970,256982,I'm going to the bank.,ഞാന് ബാങ്കില് പോകാം.,Ich gehe zur Bank.,ഞാന് ബാങ്കിലേക്ക് പോവുകയാണ്.,Sto andando in banca. | Io sto andando in banca.,I will go to the bank. | 銀行に行ってくるよ.,我要去银行了。,ഞാന് ബാങ്കില് പോകാം.
