,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
46318,64141,Boil some water.,burn a little water.,Cook a bit of water.,Who is water.,Cook a little water.,Cook a bit of water.,Drink a little water.,Drink a little water.,Wash the water a little.,Provide water.,Put a little water.,Drink a little water.,Drink a little water.,Drink a little water.
46407,64241,Your dog is very big.,Your dog is very fat.,Your dog is very big.,Your dog is really big.,Your dog is very big.,Your dog is very big.,Your dog is very big.,Your dog is very big.,Your dog in the house is big.,Your dog is very big.,Your dog is very big.,Your dog is very big.,The dog is big.,Your dog is great.
46423,64257,Take care of yourself.,Take care of yourself.,Take care of yourself well.,Try to manage.,Take care of yourself.,Be careful about you.,Take care of yourself well.,Take care of yourself.,Be careful with your body.,Take care of yourself.,Follow yourself.,be careful.,Take care of yourself.,Take care of yourself.
46488,64332,You are drunk!,You are drunk!,You are drunk!,You are humble!,You are drunk!,You are kissed!,You are drunk!,You are drunk!,You are drunk!,You are drunk!,You are drunk.,You are dirty!,You are drunk!,You are drunk!
46621,64491,Behave yourself.,The Rules.,Bear yourself.,and behave.,behave well.,Take yourself.,Be good behavior.,Bear well.,Be good behavior.,Bear yourself.,Bear yourself well.,and compare.,Come to yourself.,behave well.
46626,64496,Watch yourself.,Be careful for yourself.,Take care of yourself.,Be cautious.,Be careful about yourself.,Be careful about you.,Keep on yourself.,and reflect.,Your behavior is bad.,Be careful of yourself.,Follow yourself.,Be careful.,Be careful of yourself.,Follow yourself.
46634,64505,Sit wherever you like.,Wherever you love to sit.,You can sit wherever you want.,Sitting where you want.,Sitting where you want.,Sitting where you want.,Go wherever you want.,Sitting where you want.,Sitting wherever you want.,Sitting wherever you want.,Sitting where you want.,Sitting where you want.,Sitting where you want.,Sitting where you want.
46736,64620,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.,I want money.
46799,64693,Welcome home.,Welcome home.,Welcome to home.,Welcome to home.,Welcome to home.,Welcome to home.,Welcome to.,Welcome to home.,Go to home.,Welcome to Home.,Welcome to home.,Welcome to home.,Welcome to home.,Welcome to home.
46848,64760,Do you want something to drink?,Do you want to drink something?,Do you want to drink something?,Do you want something to drink?,Do you want to drink something?,Do you want to drink something?,Want to drink something?,Do you want something to drink?,What about drinking?,Do you want something to drink?,Drink something?,Would you like to drink something?,Do you want something to drink?,Want to drink something?
46985,64918,"Good morning, Mike.",Good morning Mike.,Good morning Mike.,Tomorrow is Mike.,Hello to Mike.,Good morning Mike.,Good morning Mike.,Good Morning Mike.,Good morning Mike.,Good day Mike.,Good morning Mike.,Good morning Mike.,Good morning Mike.,Good Morning Mike.
47116,65060,My uncle gave me a book.,My uncle gave me a book.,My uncle gave me a book.,Annie gave me a book.,My uncle gave me a book.,My uncle gave me a book.,My grandfather gave me a book.,My uncle gave me a book.,My uncle gave me a book.,My grandfather gave me a book.,My grandfather gave me a book.,My uncle gave me a book.,My uncle gave me a book.,My grandfather gave me a book.
47531,65501,My family goes skiing every winter.,My family goes to ski every winter.,My family is skiing every winter.,My family goes to ski every winter.,My family goes skiing every winter.,My family runs ski every winter.,My family skies every winter.,My family is going to ski every winter.,I go to winter ski with my family every year.,My family runs to the plates every winter.,My family goes out to ski every winter.,My family is going to ski every winter.,My family goes to ski every winter.,My family rides on the skies every winter.
47918,65909,It's too late now.,It is too late now.,It is now too late.,It is too late now.,It is too late now.,It is now too late.,Now it is too late.,It is too late now.,It is too late.,Now it is too late.,Now it is too late.,It is very late now.,It is too late now.,Now it is too late.
47926,65918,I am coming.,I came.,I am coming.,I am coming.,I arrive.,I come immediately.,I am already coming.,I am coming.,Now I will go.,I come.,I go.,I am going.,I am coming.,now.
48043,66043,When did you get back from London?,When did you come back from London?,When did you come back from London?,When did you return from London?,When did you come back from London?,When did you return from London?,When did you return to London?,When did you return from London?,When did you return from London?,When did you come back from London?,When did you return from London?,When did you return from London?,When did you return from London?,When did you return from London?
48608,66664,Jesus wept.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus is crying.,Jesus was saddened.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus was crying.,Jesus was crying.
48699,66762,Happy Easter!,Happy Easter.,Great past!,Happy Christmas!,Happy Easter!,Happy Easter!,Happy and Happy Birthday!,Good afternoon!,Congratulations to Easter.,Happy Christmas!,Happy Easter!,Happy Easter.,Happy Easter.,Welcome to the Great!
48916,66989,What's that?,What is that?,What is that?,What is it?,What is that that?,What is that?,What is it?,What is this?,What is?,What is it?,What is it?,What is that?,What is it?,What is it?
49048,67124,Is that a bat?,Is that a puppy?,Is it a mouse?,Is that a leopard?,Is it a mouse?,Is this a flower mouse?,Is it a scratch?,Is it a pipeline?,Is that a puppy?,Is it an untouched?,Is it a flying mouse?,Is this a murciélago?,Is it a wound?,Is it said?
49050,67126,That is mine.,That is mine.,That is of me.,It is mine.,It is my.,This is mine.,It is mine.,That is mine.,That is me.,This is mine.,This is mine.,That is mine.,He is mine.,It is mine.
49262,67345,Alice smiled.,Alice laughed.,Alice smiled.,Lisa smiled.,Alice smiles.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.,Alice smiled.
50014,68134,Do you know if he has a girlfriend?,Do you know he has a girlfriend?,Do you know he has a girlfriend?,Do you know she has a girlfriend?,Do you know if he has a girlfriend?,Do you know if he has a firm girlfriend?,Do you know if he has a friend?,Do you know if you have a girl?,Do you know if he has her?,Do you know if he has a girlfriend?,Do you know he has a girl?,Do you know if he has a girlfriend?,Do you know if she has a girlfriend?,You don’t know if he has a girl?
50417,68547,The house is haunted.,This house is a ghost.,It flows into that house.,The house is ghosted.,The house is hunted.,It smells in the house.,The house is hunted by winds.,The house is infested by spirits.,There is a ghost in that house.,This house is overwhelmed.,Ghosts live in this house.,The house is delighted.,The house peril.,There are ghosts in the house.
50430,68563,Look at that smoke.,Look at the smoke.,You have to see that smoke.,Look at the smoke.,Look at the smoke.,Look at that smoke.,Look at the smoke.,Look at that smoke.,Look at that smoke.,Look at the smoke.,Look at that smoke.,Look at that smoke.,Look at the smoke.,Look at the smoke.
50752,68908,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,What do you know tomorrow?,Are you free tomorrow?,Do you have time tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you free tomorrow?,Are you vacant tomorrow?,Are you free tomorrow?
50779,68937,I admire you.,I appreciate you.,I admire you.,I admire you.,I admire you.,I admire you.,I admire you.,I admire you.,I admire you.,I admire you.,I love you.,I admire you.,I admire you.,I admire you.
50789,68948,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?,Are you busy?
50795,68954,Are you studying?,Are you learning?,Are you studying?,Are you studying?,Are you studying?,Are you studying?,Are you studying?,Are you studying?,Are you studying?,Are you studying?,You are doing?,Do you study?,Are you working?,Are you learning?
50871,69044,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,You know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?,Do you know where he lives?
51020,69205,Do you get along with your boss?,Can you meet the boss?,Do you have a good relationship with your boss?,Will you deal with your boss?,Do you understand your boss?,Do you understand your boss well?,Do you have a good relationship with your manager?,Do you agree with your boss?,Do you work well with your boss?,Do you feel good with your boss?,Are you in good relationship with your boss?,Do you feel good with your boss?,Do you go with your boss?,Are you in good relationship with your boss?
51214,69421,Have you ever seen a whale?,Have you ever seen whales?,Have you seen a whale?,Have you ever seen light?,Have you ever seen a whale?,Have you ever seen a wolf?,Have you ever seen a whale?,Have you ever seen a whale?,Have you ever seen whales?,Have you ever seen a bigger?,Have you ever seen a whale?,Have you ever seen a whale?,Have you ever seen a whale?,Have you ever seen a whale?
51225,69436,Do you like black cats?,Do you like black cats?,Do you love black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?,Do you like black cats?
51284,69506,You have a good memory.,Your memory is good.,You have a good memory.,You have a good memory.,You have a good memory.,You have a good memory.,You have good memory.,He has a good memory.,You have good memory.,You have good memory.,You have a good memory.,You have good memory.,You have a good memory.,You have a good memory.
51296,69521,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,Are you a student?,You are a student?
51362,69611,You have everything.,You all have.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.,You have everything.
51370,69619,Do you want anything to eat?,Do you want to eat anything?,Do you want something to eat?,Do you want to eat something?,Do you want anything to eat?,Do you want to eat something?,Want something to eat?,Do you want something to eat?,Do you want something to eat?,Do you want something to eat?,Do you want to eat something?,Do you want something to eat?,Do you want something to eat?,Do you want to eat something?
51485,69763,You're still young.,You are still young.,You are still young.,You are still young.,You are still young.,You are still young.,You are still young.,You are still young.,He is still too young.,You are still young.,You are still young.,You are still young.,You are still young.,You are still young.
51748,70090,Have you read this article?,Have you ever read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?,Have you read this article?
52019,70408,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?,Where is your room?
52198,70623,What is your name?,What is your name?,What is your name?,What is your name?,How do you call yourself?,What is your name?,What is your name?,How do I call you?,What is your name?,What is your name?,How are you called?,What is your name?,What is your name?,How to call you?
52496,70960,How old is your father?,How old is your father?,How old is your father?,What age is your father?,What age is your father?,How old is your father?,How old is your father?,How old is your father?,How old is your father?,How old is your father?,How old is your father?,What age is your father?,How old is your father?,How old is your father?
52528,71000,How old is your grandfather?,How big is your grandfather?,How old is your grandfather?,How old is your grandfather?,What age is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is your grandfather?,How old is my grandfather?,How old is your grandfather?
52742,71256,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are you students?,Are they students?,Are you a student?,Are you students?
53190,71751,I know him.,I recognize him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know him.,I know it.,I know him.,I know him.
53489,72055,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He seems suspicious.,He smells.,He looks suspicious.,He looks suspicious.,He looks suspicious.,He seems suspicious.,He looks suspicious.
53510,72076,Now I remember.,I remember it now.,Now I know it again.,Now I remember.,Now I remember.,Now I remember.,I remembered now.,Now I remember.,"Oh, I remember you.",Now I remember.,Now I remember.,Now I remember.,I remember now.,I mentioned now.
54778,73398,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.,Ten years is long.,Ten years are a long time.,Ten years is a long time.,Ten years are a long time.,Ten years is a good time.,Ten years is long.,Ten years is a long term.,Ten years is a long time.,Ten years is a long time.,Ten years is a long time.
54812,73434,It's ten o'clock sharp.,It is now 10h.,It is exactly ten hours.,It is exactly ten.,It is just ten hours.,It is exactly ten hours.,at 10 exactly.,The ten are at the point.,It is 10h.,It is point 10.,Now just ten hours.,It is 10 in point.,The hour is 10.,It is 10 years now.
55379,138919,Welcome.,Welcome to.,Welcome to!,Welcome to!,Welcome to!,Welcome to!,Welcome to!,Welcome to!,Welcome to!,Welcome to.,Welcome to!,Welcome to.,Welcome to!,Welcome to please!
55509,237639,You speak fluent English.,You speak English very well.,You speak fluent English.,You speak smoothly English.,You speak English regularly.,You speak fluently English.,You are speaking English clean.,You speak English fluently.,You speak fluent English.,You speak fluently in English.,You speak English freely.,You speak English fluently.,You speak fluent English.,You are free to speak English.
55555,237692,I'll make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.,I will make you happy.
55560,237698,I believe in you.,I believe you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.,I believe in your strength.,I believe you.,I believe in you.,I believe in you.,I believe in you.,I believe in you.
56637,238862,It's Monday.,Today is Monday.,It is Monday.,It is Monday.,We are Monday.,It is Monday.,It is Monday.,It is Monday.,It is Monday.,It is Monday.,Today is Monday.,It is Monday.,Today is Monday.,Today is Monday.
57023,239285,Can you find it?,Can you find it?,Can you find it?,Can you find it?,Can you find it?,Can you search for it?,Can you find it?,Can you find it?,Can you find it?,Can you find it?,Can you find him?,Can you find it?,Can you find it?,Can you find him?
57151,239431,Good luck.,I wish you good luck.,A lot of luck.,Good luck on the journey.,Good luck!,Good luck.,and success.,Good luck.,You are well.,Happiness.,Happiness!,Good luck.,Good luck.,The Success.
57294,239578,Where do you live now?,Where are you living now?,Where are you living now?,Where do you live now?,Where are you living now?,Where are you living now?,Where are you living now?,Where are you dressing now?,Where are you living now?,Where are you living now?,Where are you living now?,Where do you live now?,Where are you living now?,Where are you living now?
57582,239892,Is he breathing?,Is he breathing?,Is he breathing?,Does he breathe?,Is he breathing?,Does he breathe?,Is he breathing?,Are you breathing?,What is breathing?,He breathes?,He breathes?,and breathing?,Does he breathe?,He is breathing?
57834,240166,Look back!,Look back!,Look behind you!,Remember to!,Look at the back!,Look at the back!,Behind you!,Look back!,Look at the back.,Look back!,Look at it!,Look backward!,Look at the back!,Look at it!
57839,240171,Shadow him.,Follow him.,Follow him.,Shadow him.,Fill it!,Follow him.,Give him a shadow.,The pedestrian.,Take it back.,Follow him.,Follow him.,follow it.,Look at him.,Follow him.
58614,241077,Let's go!,Go to go.,Let us go!,Let us go!,Let us go!,Let us go!,to advance!,Let us go!,Go to go.,Let us go!,Go to.,and go.,Let us go!,Go to!
58720,241200,I give up.,I give up.,I give it.,I give up.,I give up.,I give up.,I give up.,I renounced.,I will descend.,I give up.,I give up.,I rise.,I give up.,I will give up.
59166,241675,I'm on a diet.,I am eating.,I am on the diet.,I am in diet.,I am in the regime.,I am on a diet.,I am a diet.,I am in diet.,I have a food restriction.,I am on the diet.,I am on the diet.,I am in regime.,I am in the diet.,I am on the diet.
60039,242641,That's enough for today.,Let us come here today.,That is enough for today.,This is enough for this day.,Enough for today.,This is enough for today.,enough for today.,It is enough for today.,Today is over.,Today is enough.,Enough for today.,It is enough for today.,It is enough for today.,Today is enough.
60111,242732,It is very cold today.,Super cold today.,It is cold today.,It is very cold today.,It is very cold today.,It is very cold today.,Very cold today.,It is very cold today.,It is very cold today.,It is very cold today.,It is very cold today.,It is very cold today.,The weather is very cold today.,Today is very cold.
60183,242809,It's cold today.,It is cold today.,Today it is cold.,Today is cold.,It is cold today.,Today it is cold.,Cold today.,It is cold today.,Today is cold.,Today is cold.,Today is cold.,It is cold today.,The weather is cold today.,Today is cold.
60207,242836,It is Monday today.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,It is Monday today.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.,Today is Monday.
60247,242881,It's hot today.,The weather is hot today.,It is warm today.,Today is hot.,It is hot today.,It is hot today.,Hot today.,It is hot today.,Today is hot.,Today is hot.,Today is hot.,It is hot today.,The weather is hot today.,Today is urgent.
60906,243599,Sugar dissolves in water.,Sugar dissolves in water.,Sugar is dissolved in water.,Sugar is dissolved in water.,The sugar flourishes in the water.,Sugar is dissolved in water.,Sugar is dissolved in water.,Sugar is dissolved in the water.,Sugar dissolves in water.,Sugar is dissolved in water.,Sugar is dissolved in water.,Sugar is dissolved in water.,Sugar is dissolved in water.,Sugar is dissolved in water.
61013,243711,The worst is over.,The worst has passed.,The worst is over.,The worst is over.,The worst has passed.,The worst is behind us.,The worst is the past.,The worst has passed.,The worst situation has already ended.,The worst has passed.,The worst behind.,The worst ended.,The worst ended.,The worst is behind.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,It was my party yesterday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.,I had my birthday yesterday.,Yesterday was my birthday.,Yesterday was my birthday.,Yesterday was my birthday.
62564,245411,Are you working?,Are you going to work?,Are you working?,Do you work?,Are you working?,Are you working?,Are you working?,Are you working?,Are you working?,Do you work?,Are you working?,Are you working?,Are you working?,Are you working?
62605,245454,I'm looking for a job.,I am looking for a job.,I am looking for a job.,I am looking for work.,I am looking for work.,I am looking for a job.,I am looking for a job.,I am looking for a job.,I am looking for a job.,I am looking for work.,I am looking for a job.,I am looking for a job.,I am looking for a job.,I am looking for a job.
62830,245694,Some children are playing on the grass.,Some children play on the grass.,Some children are playing on the grass.,A few kids play with the hole.,Some children are playing on the grass.,A couple of children play on the grotto.,Some children play on the grass.,Some children are playing on the grass.,Children play with the grass.,Children play on the grass.,Some children play on the grass.,Some kids are playing in the food.,Some children play on the grass.,Some children play on the grass.
63020,245897,Children need loving.,Children need care.,Children need love.,Children need love.,Children need love.,Children need love.,Children need love.,Children need to be loved.,Children need to be loved by people.,Children need love.,Children need love.,Children need love.,Children need to be loved.,Children need love.
63402,246314,"Stop, or I'll shoot.","Stop, otherwise I will shoot.",Stop or I shoot.,Stop or shoot.,Do not move or I shoot.,Stay standing or I shoot.,"Stop, or I shoot.",Stop or I will disappear.,"If you do not stop, you will shoot.",Stay or shoot.,Stop and I will shoot.,High or shot.,"Stop, or I will shoot.",I’m going to shoot.
64414,247442,Welcome to our home.,Welcome to our home.,Welcome to us.,Welcome to our home.,Welcome to our house.,Welcome to us at home!,Welcome to our home.,Welcome to our house.,Welcome to our house.,Welcome to our home!,Welcome to our house.,Welcome to our home.,Welcome to our home.,Welcome to our Lord.
64711,247763,We try.,Let us try.,We are trying.,We are trying.,We are trying.,We try it.,We are trying.,We are trying.,We will try.,We will try.,We are trying.,We are looking for it.,We are trying.,We will try.
64879,247937,We played soccer yesterday.,We played football yesterday.,We played football yesterday.,I played football yesterday.,We played football yesterday.,We played football yesterday.,I played football yesterday.,We played football yesterday.,We played football yesterday.,We played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.
65001,248069,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house green.,We painted the house in green.,We made the house green.,We painted the house green.,We painted the green house.,We painted the house in color.,We painted the house in green.,We painted the house with green color.,We painted the green house.,We painted the house green.,We painted the house in green.
66839,250101,Please tell me your name.,Please tell me your name.,Please tell me your name.,What is your name?,"Please, can you give me your name?",Please tell me your name.,Please tell me your name.,I am pleased to tell you your name.,Please tell me your name.,Can we ask for your dignity?,Please tell me what your name is.,Please tell me your name.,Please tell me my name.,Tell me your name.
66866,250135,Follow me.,Please come with me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Follow me.,Come about me.,Go after me.,Go after me.,Follow me.,Look at me.,Go after me.
67038,250327,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember who I am?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?,Do you remember me?
67322,250648,My legs still hurt.,My legs still hurt.,My legs still hurt.,My legs are still painful.,My legs always hurt me.,My legs still hurt.,My legs still hurt.,My legs still hurt.,The legs still hurt.,I always hurt my leg.,My legs still hurt.,My legs still hurt.,My legs still hurt.,My legs still hurt.
67352,250680,He is my brother.,He is my brother.,He is my brother.,He is my brother.,It is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.,He is my brother.
67647,251010,My watch has been stolen.,My table was stolen.,My clock was stolen.,My clock was stolen.,I was stolen my clock.,My clock was stolen.,My clock was stolen.,My clock was stolen.,My clock was stolen.,My clock was stolen.,I have stolen my clock.,My clock was stolen.,My clock was stolen.,I have a clock stolen.
67692,251060,Answer me.,Answer to me.,Give the answer.,Answer to me.,Reply to me.,Reply to me.,Answer to me.,Reply to me.,Answer my question.,Reply to me.,Answer to me.,answer to me.,Reply to me.,Give me an answer.
68451,251884,Where's my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where to write?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?,Where is my book?
68790,252254,I played soccer yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.,I played football yesterday.
68808,252272,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.,I have a car.
68816,252280,I like castles.,I like the castle.,I love castles.,I like the forests.,I like the castles.,I like castles.,I love the castles.,I like the castles.,I like the castle.,I love the castles.,I like the castles.,I like the castles.,I like the castles.,I love the castles.
68823,252287,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.,I am a student.
69304,252832,I do not understand you.,I do not understand you.,I don’t understand you.,I don’t understand you.,I don’t understand you.,I don’t understand you.,I don’t understand you.,I don’t understand you.,I don’t know what you say.,I don’t understand you.,I don’t understand you.,I don’t understand you.,I do not understand you.,I don’t understand you.
69426,252983,I don't drink much wine.,I don’t drink much.,I don’t drink much wine.,I don’t drink a lot of wine.,I don’t drink a lot of wine.,I don’t drink a lot of wine.,I don’t drink much wine.,I don’t drink much wine.,I don’t drink a lot of wine.,I don’t drink much wine.,I don’t drink a lot of wine.,I don’t drink much wine.,I don’t drink a lot of wine.,I don’t drink much wine.
69502,253071,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have friends in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.,I have a friend in England.
70203,253848,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.,I have a computer.
70649,254335,I don't know how to spell the word.,I don’t know how this word is written.,I don’t know how to play the word.,I don’t know how to meet this word.,I don’t know how to spell this word.,I don’t know how to write the word.,I don’t know how to put this word.,I don’t know how the word is written.,I do not understand the continuation of that word.,I don’t know how to translate this word.,I don’t know how this word is written.,I don’t know how to delete the word.,I don’t know how to put the word.,I don’t know how this word is written.
71093,254847,I'm glad to hear that.,I heard this very pleased.,I like to hear that.,It is nice to hear.,I am glad to hear this.,I am glad to hear that.,I am glad to hear this.,It is OK.,"It was good, right?",I am pleased with this news.,I am glad to hear it.,I am glad to hear it.,I am glad to hear this.,I am glad to hear it.
71253,255034,I like chocolate.,I like chocolate.,I love chocolate.,I like chocolate.,I like chocolate.,I like chocolate.,I love chocolate.,I like chocolate.,I like chocolate.,I love chocolate.,I love chocolate.,I like chocolate.,I like chocolate.,I love chocolate.
71273,255055,I hid under the table.,I am hiding under the table.,I hid under the table.,I was hiding under the table.,I was hiding under the table.,I hid under the table.,I was hiding under the table.,I was hiding under the table.,I was hiding under the table.,I am hiding under the table.,I was hiding under the table.,I was hiding under the table.,I was hiding under the table.,I was hiding under the table.
71297,255080,I like tennis.,I like tennis.,I love tennis.,I like tennis.,I love tennis.,I like tennis.,I love tennis.,I like tennis.,I like tennis.,I love tennis.,I like tennis.,I like tennis.,I love tennis.,I love tennis.
71529,255340,I'd like to live in New York.,I want to live in New York.,I would like to live in New York.,I like to live in New York.,I would like to live in New York.,I would like to live in New York.,I wanted to live in New York.,I want to live in New York.,I want to live in New York.,I would like to live in New York.,I would like to live in New York.,I would like to live in New York.,I want to live in New York.,I would like to live in New York.
71804,255644,I'm happy to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,I am glad to see you again.,Glad to see you again.,I am glad to see you again.,I am happy to see you again.,I am glad to see you again.
71867,255717,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave a book to Mary.,I gave Mary a book.,I gave Mary a book.,I gave a book to Mary.,I gave a book to Mary.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.,I gave Mary a book.
72048,255926,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I like to eat apples.,I love apple meals.,I like to eat apples.
72156,256043,I bought a book.,I bought a book.,I bought a book.,I bought the book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.,I bought a book.
72280,256178,I can swim.,I will swim.,I can swim.,I can swim.,I can swim.,I can swim.,I know how to swim.,I can swim.,I can swim.,I can swim.,I know how to swim.,to swim.,I can swim.,I know how to swim.
72329,256236,I study English.,I learn English.,I study English.,I am studying English.,I study English.,I study English.,I am learning English.,Study in English.,I am studying English.,I study English.,I learn English.,The English Study.,I work in English.,I am studying English.
72890,256891,I like fish.,I like fish.,I love fish.,I like fish.,I love the fish.,I like fish.,I love fish.,I like the fish.,I love fish.,I love fish.,I love fish.,I like the fish.,I love fish.,I love fish.
72970,256982,I'm going to the bank.,I am going to the bank.,I go to the bank.,I am going to the bank.,I go to the bank.,I go to the bank.,I go to the bank.,I am going to the bank.,I go to the bank.,I go to the bank.,I go to the bank.,I go to the bank.,I am going to the bank.,I go to the bank.
73077,257112,I like your car.,I like your car.,I like your car.,I love your car.,I love your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like your car.,I like the car.,I like your car.
73078,257113,I need your help.,I need your help.,I need your help.,I need your help.,I need you to help me.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.,I need your help.
73156,257204,I'm married.,I was married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.,I am married.
73213,257266,I have lost my key.,I lost the key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost my key.,I lost the key.,I lost my key.,I lost my key.,I lost the key.,I lost my key.,I lost my key.
73281,257340,I'll join you later.,I will come for a while.,I will join you later.,I will follow you later.,I will join you later.,I will come to you later.,I will join you later.,I will reach you later.,I will join you later.,I will join you later.,I will join you later.,I will meet with you later.,I will join you later.,I will join you later.
73426,257499,I'm on vacation.,I am on vacation.,I am on vacation.,I am on vacation.,I am on vacation.,I have holidays.,I am free.,I am on vacation.,I am taking a vacation now.,I am on vacation.,I am on vacation.,I am on vacation.,I am on vacation.,I am on holidays.
