,index,english,translated_from_chinese,translated_from_dutch
95715,282225,I am eighteen years old.,I am eighteen.,I am eighteen years old.
95938,282462,My back still hurts.,My back is still paining.,My back still hurt.
96815,283413,Guess what he told me.,Find out what he told me.,Tell me what he told me.
97008,283629,I like him.,I like him.,I like him.
98404,285184,Grab him.,Catch him.,Grip him.
99624,286516,Forget him.,Forget him.,Forget him.
100128,287067,He has long legs.,His legs are long.,He has long legs.
101076,288121,He has a dog.,He has a dog.,He has a dog.
101119,288166,He tries.,He comes to try.,He is trying.
101596,288669,He is a DJ.,He is a DJ.,He is a DJ.
101885,288982,How old is he?,How big is he?,How old is he?
102029,289132,He is always with me.,He has always been with me.,He is always with me.
102666,289812,He doesn't like coffee.,He doesn’t like to drink coffee.,He doesn’t like coffee.
102873,290025,He likes playing soccer.,He likes to play football.,He likes football.
103154,290321,He accelerated.,He has accelerated.,He accelerated.
104354,291622,He eats a lot.,He eats a lot.,He eats a lot.
104393,291665,He decided to quit smoking.,He decided to quit smoking.,He decided to quit smoking.He decided to quit smoking.
104582,291872,He played tennis.,He played tennis.,He played tennis.
104778,292088,He's very ill.,He is sick.,He is very sick.
105129,292468,He became a pianist.,He became a pianist.,He became a pianist.
105267,292619,He can also speak French.,"He also speaks French, he also speaks French.",He also speaks French.
106651,294141,He was afraid of his wife.,He was afraid of his wife.,He was afraid of his wife. he was afraid of his wife.
107427,294993,He knows a lot of people.,He knows many.,He knows a lot of people.
107699,295297,He's strong.,He is strong.,He is strong.
107748,295346,He is a teacher.,He is a teacher. he is a teacher. he is a teacher. he is a teacher.,"He is a teacher, he is a teacher."
107795,295395,He fell backward.,He fell backward.,"He fell backward, he fell backward."
108019,295648,He's stronger than you.,He is stronger than you.,He is stronger than you.
108606,296292,He works in a factory.,He works in a factory.,He works in a factory.
108608,296294,He is happy.,He is happy.,He is happy.
109160,296902,He died yesterday.,He died yesterday. he died yesterday. he died yesterday. he died yesterday. he died yesterday.,He died yesterday.
109766,297564,He lied to me.,He lies to me.,He lie to me.
110193,298043,He speaks English better than I do.,His English is better than me.,He speaks English better than me.
110575,298463,He tried to kill himself.,He tried to commit suicide.,He tried to commit suicide.
110579,298467,He committed suicide.,He committed suicide.,He committed suicide.
111763,299788,He is eating.,He is eating.,"He is eating, he is eating."
111790,299819,Is he sleeping?,Is he sleeping?,He is sleeping?
111946,299984,He told the truth.,He told the truth.,"He told the truth, he told the truth."
113611,301814,He's talking on the telephone.,He is calling.,"He is on the phone, he is on the phone."
114148,302395,He is not stupid.,"He’s not stupid, he’s not stupid.","He is not fool, he is not fool."
114157,302406,Is he tall?,Does he look high?,Is he long? is he big?
114194,302443,He is a friendly person.,He is a friendly man.,He is a friendly person.
115351,303714,He likes adventure.,He likes to risk.,He loves adventure.
115573,303959,He is asleep.,He was sleeping.,He is sleeping.
115912,304339,He's an excellent brain surgeon.,He is an excellent brain surgeon.,He is an excellent brain surgeon.
116868,305382,They are actors.,They are actors.,They are actors.
116995,305514,They don't always obey their parents.,They are not always obedient to their parents; they are not always obedient to their parents.,They do not always obey their parents.
117401,305951,They hated Tom.,They hate Tom.,They hate Tom.
118204,306813,They went to Chicago by car.,They were on a car to Chicago.,They went to Chicago by car.
118642,307284,Are they Japanese?,Are they Japanese?,Are they Japanese?
119825,308580,She opened the door.,She opened the door.,She opened the door. She opened the door. She opened the door.
121111,309976,She tried.,She tried it.,"She tried it, she tried it, she tried it."
121341,310214,She is eight.,"She is eight years old, she is eight years old.","She is eight years old, she is eight years old."
121613,310506,When was she born?,When was she born? when was she born?,When was she born?
122819,311795,She is very intelligent.,She is smart.,She is very intelligent.
122851,311828,She loves Tom.,She loves Tom.,She loves Tom.
122914,311898,She smiled.,She laughed.,She laughed.
123110,312110,She can speak French.,She will speak French.,She can speak French.
123125,312125,Does she speak French?,Would she speak French? - She speaks French?,Does he speak French?
123168,312168,She is my girlfriend.,She is my girlfriend.,She is my girlfriend.
123555,312575,She worked hard.,She worked hard.,"She worked hard, she worked hard."
123811,312850,She went home.,She came home.,She went home.
124038,313091,She almost drowned.,She almost drowned.,She was almost drowned.
124133,313193,She cried.,She was crying.,She was crying.
124299,313373,Does she know you?,She knows you? she knows you?,Does she know you?
125133,314287,She sat next to me.,She sat next to me.,"She was next to me, she was next to me, she was next to me."
126464,315731,Who is she?,Who is she?,Who is she?
126944,316246,She married him.,She married him.,"She was married to him, and she married him."
127156,316478,She wanted to help them.,"In the past, she wanted to help them, she wanted to help them.",She wanted to help them.
127208,316540,She looks sad.,She looks sad.,She looks sad.
127209,316541,She looked sad.,She looks sad.,She looked sad.
127559,316925,She walks.,She is walking.,She walks.
128303,317756,Don't be sad.,"Don’t be sad, don’t be sad.",Do not be sad.
128371,317830,Are you tired?,Do you feel tired? do you feel tired? do you feel tired? do you feel tired? do you feel tired?,Are you tired? <unk> Are you tired? <unk> Are you tired? <unk> Are you tired? <unk> Are you tired?
130313,319990,I know.,I know.,I know it.
130613,320329,That's weird.,Strange is.,"It’s strange, it’s strange."
130674,320395,Study!,Learn to!,Study to!
131189,320948,I'm breast-feeding my baby.,I feed my child’s breast milk.,I give my baby breastfeeding.
131519,321324,It's not my fault.,Not my fault.,It’s not my fault! it’s not my fault.
131613,321441,Tell me the truth.,Tell me the truth.,Tell me the truth.
131614,321442,Leave it to me.,Let me get.,"Let it go to me, let it go to me, let it go to me."
131654,321497,Do you love me?,Do you love me? do you love me?,Do you love me? do you love me?
131743,321599,I have three cameras.,I have three cameras.,I have three cameras.
131805,321673,I'm so happy.,I’m so happy. – I’m so happy.,"I am so happy, I am so happy."
131829,321700,I have to go now.,"I have to go, I have to go.",I have to go now.
131945,321846,I have a dictionary.,"I have a dictionary, I have a dictionary, I have a dictionary.",I have a dictionary.
131948,321849,I have two cars.,I have two cars.,I have two cars.
131954,321857,I looked around me.,I looked around.,"I looked around me, I looked around me."
131964,321870,I want to sleep.,"I want to sleep, I want to sleep, I want to sleep.",I want to sleep.
132036,321954,I have a cold.,I was cold.,I am cold.
132064,321985,"Me, too.",I too.,"I too, I too!"
132082,322004,When can we eat?,When can we eat?,When can we eat?
132232,322178,Many thanks.,Very much thanks!,Thank you very much. thank you very much. thank you very much.
132630,322631,Fill it up.,fill it.,fill it up.
132811,322841,Is it free?,Is this free?,Is it free?
133456,323576,Wood burns.,The wood can burn.,The wood burns.
133584,323728,My eyes are sore.,My eyes are painful.,My eyes hurt.
133619,323770,Keep your eyes open.,Open your eyes.,"Keep your eyes open, keep your eyes open."
133631,323789,Don't shut your eyes.,Do not close your eyes.,"Do not close your eyes, do not close your eyes."
134223,324442,Ghosts exist.,Ghosts exist.,Spirits exist.
134290,324520,Let's play.,Let us play.,"Let us play, let us play."
134514,324760,Don't eat too much.,Do not eat too much.,Do not eat too much.
134619,324880,The leaves fell.,The leaves fell.,The leaves fell.
134720,324997,Please come.,Please come.,Please come.
135109,325429,Stand up!,stand up!,Stay up!
135175,325503,The dragon is an imaginary creature.,The dragon is a creature imagined by man.,The dragon is a fantasy beast.
135200,325529,Do you like to travel?,Do you like traveling?,Do you like to travel? do you like to travel?
135422,325769,The food is cold.,"The food is cold, the food is cold.",The food is cold.
135739,326126,History repeats itself.,History will repeat itself.,History is repeating.
137296,327777,I bought a red tie.,I bought a red tape.,I bought a red strop. I bought a red strop.
138103,328604,Fuck you!,"Go to death, go to death, go to death!",Get the clothes! - Get the clothes! - Get the clothes! - Get the clothes! - Get the clothes!
139102,329612,Which country are you from?,Which country do you come from?Which country do you come from?,From which country do you come?
139173,329684,This newspaper is free.,The newspaper is free.,This newspaper is free.
139202,329713,Good morning!,Good Morning! it is early!,Good Morning!
139323,333156,Good evening.,"Good night, good night!",Good night.
139329,335138,I am Chinese.,"I am a Chinese, I am a Chinese.","I am Chinese, I am Chinese."
139401,341634,I have many friends.,I have a lot of friends.I have a lot of friends.,I have a lot of friends.
139413,347331,Who is he?,Who is he?,Who is he?
139463,348091,Come in.,"Come in, come in, come in, come in, come in.",Come in! Come in! Come in!
139472,348596,I'm pregnant.,I am pregnant.,"I am pregnant, I am waiting."
139476,349064,I don't know.,"I don’t know, I don’t know, I don’t know, I don’t know.",I don't know it. <unk> I know a lot. <unk> No idea.
139564,354379,I like cats.,I like cats.,I love cats.
139593,355041,"Happy birthday, Muiriel!",Happy Birthday Muiriel!,"Happy Birthday Muiriel!♰ Congratulations with your birthday, Muiriel!♰ Happy Birthday, Muiriel!"
139615,356200,Who are you?,Who are you? - Who are you? - Who are you?,"Who are you, who are you, who are you, who are you, who are you?"
139643,357919,"I would love to write hundreds of sentences on Tatoeba, but I've got things to do.","I really wanted to write a lot of sentences in Tatoeba, but I have something else to do.","I would like to add hundreds of sentences to Tatoeba, but I have things to do."
139655,358152,Nobody is perfect.,"No one is perfect, no one is perfect.",No one is perfect.
139668,360558,See you later!,Goodbye!,To the reflection!
139676,361350,Happy New Year!,"Happy New Year, Happy New Year, Happy New Year!",Happy New Year!
139679,361576,Achoo!,The Aden!,The Hatsjie!
139696,362737,I play the violin.,I took a violin.,I play violin.
139767,367935,I am a vegetarian.,I am a vegetarian.I am a vegetarian.,I am a vegetarian.
139815,370580,My wife is a doctor.,My wife is a doctor.My wife is a doctor.,My wife is a doctor.
139824,370607,He raised his hand.,He raised his hand.,He raised his finger.
139846,370687,I love Arabic.,I like Arabic.,I love Arabic.
139848,370703,Where are you from?,"Where are you, where are you, where are you, where are you, where are you, where are you, where are you, where are you?",Where do you come from? - Where do you come from? - Where do you come from? - Where do you come from?
139850,370708,Where do you live?,Where do you live? where do you live? where do you live? where do you live? where do you live? where do you live?,Where are you? where are you? where are you? where are you? where are you? where are you?
139910,371410,He is sick.,He was sick.,He is sick.
139919,371429,There's a monster under my bed.,There is a monster under my bed.,There is a monster under my bed.
139995,372015,What do you want to eat?,What do you want to eat?,What do you want to eat? what do you want to eat?
140020,372352,What is your blood type?,What is your blood type?,What is your blood group? what is your blood group? what is your blood group?
140040,372460,Cats don't like water.,Cats hate water.,Cats don’t like water.
140062,373215,Are you serious?,Are you serious? are you serious? are you serious?,Do you really think that? do you think that seriously?
140063,373216,Really?,Are you sure that it is true?,"This is true, this is true, this is true, this is true, this is true, this is true, this is true, this is true, this is true, this is true, this is true."
140102,373320,How are you?,"Hello, Hello, Hello, Hello, Hello, Hello, Hello!",How is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you? how is it with you?
140104,373330,Hello!,Hi Hi Hi Hi Hi Hi!,"Hi, Hi, Hi, Hi, Hi, Hi, Hi, Hi, Hi, Hi, Hi!"
140144,374827,Thank you!,Thank you! thank you! thank you! thank you! thank you! thank you! thank you!,Thank you very much. Thank you very much. Thank you very much. Thank you very much. Thank you very much.
140199,376610,I do not understand.,"I don’t understand, I don’t understand.",I don’t understand it.
140200,376611,I don't understand.,"I don’t understand, I don’t understand, I don’t understand.",I don’t understand it. I don’t understand it. I don’t understand it.
140288,378270,Do you speak English?,Would you speak English? Would you speak English? Would you speak English?,Do you speak English? do you speak English? do you speak English?
140299,378502,I have a dog.,I have a dog.,I have a dog.
140341,379143,Do you want to go?,Are you going to go?,Do you want to go? do you want to go? do you want to go? do you want to go?
140552,386704,I am a man.,I am a man.,I am a man.
140559,386729,Do you like music?,Do you like music? do you like music?,Do you like music?
140564,386734,He likes oranges.,He likes orange.,"He loves apples, he loves apples."
140579,386766,Tomorrow is Christmas.,Tomorrow is Christmas.,Tomorrow is Christmas.
140606,387411,It's a little cold today.,A little cold today.,It’s fresh today. it’s a little cold today.
140621,387427,Let's begin.,Let us start.,Let us begin.
140622,387428,Let's start!,Let us start.,Let us begin.
140631,387437,I have a high fever.,I burned very well.,I have high fever.
140864,388374,She hated her husband.,She hates her husband.,She hated her husband.
141043,388834,He likes watching TV.,He likes watching television.,"He loves watching TV, he loves watching TV."
141078,388869,We are men.,We are men.,"We are men, we are men."
141085,388890,What's she doing?,What is she doing?,What is she doing?
141096,388978,He can read well.,He can read well.,He can read well.
141316,391906,He loves traveling.,He loves traveling.,He loves traveling.
141375,392296,Finally!,The end! the end!,Finally!
141425,393357,Please.,Please to.,Please Please Please Please Please Please Please Please Please Please Please Please Please Please Please
141456,393812,"All animals are equal, but some animals are more equal than others.","All animals are equal, but some animals are more equal than other animals.","All animals are equal, but some animals are more similar than others."
141549,394633,He loves her.,He loves her.,He loves her.
141641,395036,I can't stand him.,I can’t tolerate him.,I can’t stand him.
141651,395051,I know those girls.,I know those girls.,I know those girls.
141811,395934,Great!,It’s great! it’s great! it’s great!,Great! <unk> Cool! <unk> Briljant! <unk> Fantastic! <unk> Good! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic! <unk> Fantastic!
141972,397714,I am tired.,"I’m tired, I’m tired, I’m tired.",I am tired.
142052,398513,I'm just kidding.,I joke.,"I just do a joke, but I like it."
142132,399205,He's smart.,He is smart.,"He is intelligent, he is intelligent."
142143,399354,Are you alone?,Are you alone?,Are you alone? are you alone?
142218,400184,What do you want to drink?,What to drink?,What do you want to drink? - What do you want to drink?
142220,400191,What would you like to eat?,What do you want to eat? what do you want to eat? what do you want to eat?,What do you want to eat? what do you want to eat?
142259,400395,Speaking English isn't easy.,"Speaking English is not easy, and speak English is not easy.","Speaking English is not easy, and speaking English is not easy."
142573,403063,Do you understand?,Do you understand it? do you understand it? do you understand it?,Do you understand? do you understand? do you understand? do you understand? do you understand?
142683,404046,I'm at home.,"I am at home, I am at home.",I am home.
142692,404096,I'm hungry!,I am hungry! I am hungry!,I am hungry.
142693,404098,Do you understand what I'm saying?,Do you understand what I mean? - Do you understand what I mean?,Do you keep what I say?
142767,405518,"You can do it, can't you?","You can do it, right?","You can do it, right?"
142782,405764,He's eating an apple.,He is eating an apple and he is eating an apple.,"He is eating an apple, he is eating an apple."
142783,405766,She's eating an apple.,She is eating an apple.,She eats an apple.
142784,405767,They're eating apples.,They are eating apples.,"They’re eating apples, they’re eating apples."
142785,405769,We're eating apples.,"We are eating apples, we are eating apples, we are eating apples.","We eat apples, we eat apples, we eat apples."
142860,406604,Tom is my friend.,Tom is my friend.,Tom is my friend.
142915,407574,I missed you.,"I miss you, I miss you.","I missed you, I missed you, I missed you, I missed you, I missed you, I missed you."
143005,408293,What's your name?,What is your name? ♰ What is your name? ♰ What is your name? ♰ What is your name?,What is your name? what is your name? what is your name? what is your name?
143134,410244,She is beautiful.,She is beautiful.,She is beautiful.
143186,410529,She likes oranges.,"She loves orange, she loves orange.",She likes apples.
143204,410597,Wait a moment.,Please wait a while.,Wait for a while. Wait for a while. Wait for a while.
143227,410779,Am I wrong?,Is I wrong?,Is I wrong? is I wrong?
143228,410780,We need your help.,We need your help.,"We need your help, we need your help, we need your help."
143316,411238,I can't remember his name.,I don’t remember his name.,"I can't remember his name, I can't remember his name."
143324,411285,I'll pay.,I come to pay.,I pay.
143344,411667,You're right.,"You are right, you are right, you are right, you are right, you are right.","You are right, you are right."
143440,412026,I was a student at that time.,I was a student then.,Then I was a student.
143498,413058,Are you married?,Are you a family?,Are you married? are you married?
143529,413611,No problem!,No problem!,No problem! no problem! no problem!
143534,413731,"One, two, three, four, five, six, seven, eight, nine, ten.","1, 2, 3, 4, 5, 6, 7, 8, 9 and 10.","One, two, three, four, five, six, seven, eight, nine, ten."
143539,413767,Come home.,Go home.,Come to home.
143548,413820,"Good evening, how are you?","Good night, is it okay?","Good night, how do you do it? - Good night, what do you do?"
143549,413821,What's this?,What is this? <unk> What is this? <unk> What is this? <unk> What is this? <unk> What is this?,What is this?
143557,413831,I live near here.,I live near this.,I live here nearby.
143781,416367,Where are you going?,Where are you going? where are you going? where are you going? where are you going? where are you going? where are you going? where are you going? where are you going?,Where are you going?
143902,417801,My eyes hurt.,"My eyes are painful, my eyes are painful, my eyes are painful.",I have pain in my eyes.
143905,417891,I have a sore throat.,I have throat pain.,"I have a pain in my throat, I have a pain in my throat."
143935,418475,You idiot!,The fool!,"You are a fool, you are a fool, you are a fool, you are a fool."
144218,424848,I know her.,I know her.,I know her.
144290,425148,We often play chess.,We often play chess.,We often play chess.
144443,426950,Good night!,Good night!,Good night! good night! good night!
144560,428402,What time is it?,What is it now? what is it now? what is it now? what is it now? what is it now? what is it now?,How late is it?
144791,430925,She is dead.,She died.,"She is dead, she is dead, she is dead."
144819,431539,I'm bored.,I feel tired.,"I am pleased, I am pleased."
144848,432340,I was a teacher.,I was a teacher.,"I was a teacher, I was a teacher."
144962,433423,What did you say?,What do you say? what do you say?,What do you say? what do you say? what do you say? what do you say?
144965,433457,God exists.,God exists.,"God exists, God exists."
144967,433468,I understand.,"I understand it, I understand it, I understand it.","I understand it, I understand it, I understand it, I understand it, I understand it, I understand it."
144968,433472,I got it.,"I understand, I understand.",I have it.
144975,433491,Go away.,Go out! and go out.,Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go! Gain to go!
144976,433492,Of course.,Oh yeah yeah yeah yeah yeah yeah yeah.,Of course. <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
144982,433502,Don't move.,"Don’t move, don’t move, don’t move.","Don’t move, don’t move!"
144984,433504,Excuse me.,"I am sorry, I am sorry, I am sorry.",Sorry to.
144986,433510,Wonderful!,Great is!,Wonderful! <unk>
144987,433511,Fantastic!,Great! it is great!,Fantastic! <unk> Brilliant! <unk> Great! <unk> Great! <unk> Great! <unk> Great! <unk> Great! <unk> Great! <unk> Great!
144993,433518,Go away!,Go off! 😂😂😂,Go away!  Go away!  Go away!
145014,433594,Try it again.,"Try it again, try it again.",Try it again.
145027,433613,I have no money.,"I have no money, I have no money.",I have no money.
145028,433614,I don't have any money.,"I don’t have any money, I don’t have any money, I don’t have any money.",I have no money.
145061,433669,Do you have a fever?,Are you burned?,Do you have a fever? do you have an increase? do you have a fever?
145065,433675,I'm serious.,I am serious.,"I am serious, I am serious."
145067,433680,That's enough.,It is enough. 😂😂😂,"That’s enough, that’s enough."
145070,433689,Did you call?,Have you called the phone?,Have you called it? have you called it?
145093,433730,Of course!,Oh yeah yeah yeah yeah yeah!,"Of course, of course, of course, of course, of course, of course."
145099,433745,Don't worry about it.,Do not worry about it. Do not worry about it. Do not worry about it. Do not worry about it. Do not worry about it. Do not worry about it.,"Do not worry, do not worry, do not worry, do not worry, do not worry."
145100,433754,Follow him.,Follow him to go.,"Follow him, follow him!"
145112,433809,I'm very hungry.,"I am hungry, I am hungry.",I am suffering from hunger.
145121,433849,Speak clearly.,Tell it clearly.,Speak clearly.
145123,433859,I've had enough.,"I’m already tired, I’m already tired.","I have enough of it, I have enough of it."
145124,433863,I'm full.,I was tired.,"I am full, I am full."
145218,434224,Anything else?,Is there anything else?,Another thing? another thing? another thing?
145227,434242,Are you hungry?,Are you hungry? are you hungry?,Are you hungry? are you hungry? are you hungry?
145232,434258,Are you thirsty?,Are you thirsty?,Are you thirsty? are you thirsty? are you thirsty? are you thirsty?
145302,434410,Can you help me?,Can you help me? can you help me? can you help me? can you help me?,Can you help me? can you help me?
145324,434458,Come with me.,Go with me.,"Come with me, come with me!"
145430,434680,Enough!,It is enough!,enough!
145562,434964,He likes to swim.,He likes to swim.,"He loves swimming, he loves swimming."
145620,435084,Help!,The rescue!,Help to help!
145653,435199,Did something happen?,What happened?,Has something happened?
145671,435279,Whose turn is it?,Who is the circle?,Who is it? who is it? who is it?
145685,435409,It's too big.,It is too big.,It is too big.
145711,435575,Calm down.,to calm.,Closed to Closed to Closed to Closed to Closed to Closed to Closed
145735,435647,He can also speak Russian.,He will also speak Russian.,He also speaks Russian.
145751,435750,That's a good question.,That is a good problem.,That is a good question.
145754,435754,Has something happened?,What happened?,Has something happened?
145763,435772,Life is fun.,Life is fun.,Life is pleasant.
145785,436096,Fuck off!,and roll!,Rot up!
145852,436243,How old are you?,How old are you? how old are you? how old are you? how old are you? how old are you? how old are you? how old are you? how old are you?,How old are you? how old are you? how old are you?
145866,436275,I am tall.,I am high.,I am long.
145869,436281,I agree.,"I agree, I agree.","I agree, I agree, I agree, I agree."
145935,436423,I am ready.,I am ready.,I am ready.
145944,436445,I am too short.,I am too small.,I am too small.
145987,436541,I don't know what to say.,"I don’t know what to say, I don’t know what to say.",I don’t know what to say.
146366,438930,Where are my glasses?,Where are my glasses?,Where is my glasses?
146367,438940,We are happy.,We are happy.,"We are happy, we are happy."
146452,441955,It was a terrible day.,It was a bad day.,It was a terrible day.
146472,442064,Who drew it?,Who painted?,Who signed it?
146478,442109,Prices went up.,The prices rise.,"The prices have risen, the prices have risen."
146484,442130,That's a good idea.,That is a good idea.,That is a good idea.
146503,442957,Please open the bottle.,Please open the bottle.,Please open the bottle.
146505,442964,That's not fair.,That is unfair.,That is not fair.
146552,444986,I live here.,"I live here, I live here.",I live here.
146610,448320,Stop!,Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop,Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop Stop
146659,448963,It's snowing.,"It is snow, it is snow.","It is snow, it is snow."
146671,449023,No one knows.,"No one knows, no one knows.",No one knows it.
146672,449029,Catch him.,Catch him.,Take him.
146687,449095,Do you drink coffee?,Do you drink coffee? do you drink coffee?,Do you drink coffee? do you drink coffee?
146688,449105,I eat here.,"I’m eating here, I’m eating here.",I eat here.
146692,449111,Your dog is here.,Your dog is here.,Your dog is here.
146694,449118,This is your key.,This is your key.,"This is your key, this is your key, this is your key, this is your key."
146709,449699,What should I do?,What should I do? what should I do?,What should I do?
146725,450074,Come if you can.,"If you can come, you can come!","Come as you can, come as you can."
146778,451212,She has few friends.,Her friends are very few.,"She has little friends, she has little friends."
147019,453219,Happy birthday!,Happy Birthday!,Happy Birthday!Happy Birthday to you!
147057,453394,Love is blind.,Love is blind; love is blind; love is blind.,Love makes blind.Love is blind.
147078,453418,I ordered two hamburgers.,There are two hamburgers.,I ordered two hamburgers.
147352,454490,I don't know what to do.,I don’t know what to do.,I don’t know what to do.
147369,454514,"I think, therefore I am.","I think I am, I think I am, I think I am.","I think, so I am. I think, so I exist."
147402,455290,What are you interested in?,What are you interested in?,What are you interested in? ♰ What are you interested in? ♰ What are you interested in? ♰ What are you interested in? ♰ What are you interested in?
147586,456157,It was love at first sight.,It is a view of love.,"When I saw her for the first time, I was in love."
147623,456237,It's raining.,"It is rain, it is rain.","It is rain, it is rain."
147677,456357,May I help you?,Can I help you?,Can I help you? can I help you? can I help you? can I help you?
147798,456627,Please speak more slowly.,Please say full.,"Please speak slowly, please speak slowly."
147840,456719,She is from France.,She is from France.,She comes from France.
147894,457629,Hungry?,Are you hungry?,The Hunger?
147900,457741,I trust you.,I trust you.,"I trust you, I trust you, I trust you."
147956,460021,My favorite color is red.,I prefer red.,My favorite color is red.
147971,460058,I lost my key.,I lost the key.,"I have lost my key, I have lost my key, I have lost my key, I have lost my key."
147996,460198,Crazy!,Crazy is!,The GEK!
148175,461908,Where is your dog?,Where is your dog? where is your dog?,Where is your dog? where is your dog?
148228,462430,Shut up!,Closed the mouth!,Give your mouth! Give your mouth! Give your mouth! Give your mouth! Give your mouth! Give your mouth! Give your mouth! Give your mouth!
148248,462476,Stay there.,"Stay here, don’t move.",Stay here.
148271,462526,That hurts.,It is painful.,That is painful.
148296,462578,"The bill, please.",to pay.,"Please, please, please, please, please, please, please, please, please, please, please, please."
148342,462670,The customer is always right.,Customers are always right.,"The client is always right, the client is king."
148756,464282,Turn around.,to turn.,"Turn around, turn around."
148760,464290,Turn right.,Turn to the right.,Sleep to right.
148778,464330,Wash your hands.,Wash your hands.,"Was your hands, was your hands."
148881,464546,What do you need?,What do you need?,What do you need? what do you need? what do you need?
148890,464566,What does this mean?,What does it mean? what does it mean?,What does that mean?
149029,466624,What's your phone number?,How much is your phone number? how much is your phone number? how much is your phone number? how much is your phone number?,What is your phone number? what is your phone number? what is your phone number? what is your phone number?
149039,466728,Please wait five minutes.,Please wait five minutes.,Please wait five minutes. Please wait five minutes.
149057,467339,Iron is a useful metal.,"Iron is a useful metal, and iron is a useful metal.",Iron is a useful metal.
149075,467672,Where is your father?,Where is your father?,Where is your father? where is your father?
149123,469126,She's my sister.,She is my sister.,"She is my sister, she is my sister, she is my sister."
149256,472091,I study Korean.,I learned Korean.,I study Korean.
149275,472431,I was wrong.,"I’m wrong, I think I’m wrong.",I was wrong.
149288,473177,"Hi, how are you?","Hello, what about you?","Oh, how is it with you?"
149538,477061,No.,No. No. No. No. No,No is.
149541,477086,Yes.,Oh yeah yeah yeah yeah yeah.,and yes.
149667,478255,He closed the door.,He closed the door.,He closed the door.
149694,478568,I have no friends.,I have no friends.,I have no friends.
149808,481593,Are they friends?,Are they friends?,Are they friends?
149868,482303,Where is my book?,Where is my book? where is my book?,Where is my book?
149949,483350,Guns don't kill people. People kill people.,"Shooters will not kill you, people will kill you.","Pistols do not kill people, people do not kill people, weapons do not kill people, people do not kill people."
150041,484648,Drive safely.,Driving safe.,Drive safe!
150094,485099,Thanks anyway.,Or to say thank you.,"Thank you, at least thank you!"
150159,486448,I must go now.,I have to go now.,I have to go now.
150190,487006,Cheers!,The cup! the cup!,Thank you! <unk> Proost! <unk> Health!
150242,487828,Swimming is easy.,Swimming is easy.,Swimming is easy.
150457,493028,Do you know the answer?,Do you know the answer?,Do you know the answer?
150558,495717,I'm a journalist.,I am a journalist.,I am a journalist.
150562,495838,Please close the door.,"Please close the door, please close the door, please close the door.",Please close the door.
150727,497969,See you tomorrow.,"We see tomorrow, we see tomorrow.","To tomorrow, to tomorrow!"
150811,499689,Good afternoon.,Good afternoon.,Good afternoon! a good afternoon.
150828,499998,I'm just looking.,I just look at it.,I am just looking.
151264,506446,Don't worry.,"Don’t worry, don’t worry, don’t worry, don’t worry.","Don’t worry, don’t worry, don’t worry, don’t worry."
151303,506948,Do you smoke?,Are you smoking? are you smoking? are you smoking? are you smoking? are you smoking? are you smoking? are you smoking? are you smoking?,Are you smoking? are you smoking? are you smoking?
151505,508844,The dog is dead.,This dog is dead.,The dog is dead.
151757,513527,Tom was fired.,Tom was dismissed.,Tom was fired and Tom was fired.
151760,513534,He raised his hands.,He raised his hand.,He stepped his hands up.
151849,515472,That's life.,"That’s life, that’s life.","That’s life, that’s life, that’s life, that’s life."
151862,515572,Are you Japanese?,Are you a Japanese? are you a Japanese?,Are you Japanese? are you Japanese?
151926,516321,Today is Monday.,"This is Monday, this is Monday.","Today is Monday, today is Monday."
151946,516601,He is poor.,He is poor.,He is poor.
151972,516745,Goodbye!,Goodbye! to say goodbye!,"To see, to see, to see, to see, to see, to see, to see."
152040,518553,You may go.,"You can go, you can go.","You can go, you can go."
152216,521667,It's a good question.,It is a good problem.,It is a good question.
152365,525267,"Tatoeba means ""for example"" in Japanese.",The Japanese word “Tatoeba” means example.,Tatoeba is Japanese for “e.g.”
152581,528455,She woke up.,She woke up. she woke up. she woke up.,She was awake.
152677,529830,Don't tell anyone this.,Don’t tell anyone about this.,Talk about this with no one.  Tell it to no one.  Don't tell it!
