,index,english,translated_from_chinese,translated_from_dutch,translated_from_finnish,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_polish,translated_from_russian,translated_from_spanish,translated_from_turkish,translated_from_ukrainian
57294,239578,Where do you live now?,Where do you live now?,سىز ھازىر نەدە ياشايسىز؟ سىز ھازىر قەيەردە ياشايسىز؟,Where do you live now?,Anda i tzedɣeḍ tura?,Where do you live now?,Où vivez-vous maintenant? où vivez-vous maintenant? où vivez-vous maintenant?,سىز ھازىر نەدە تۇرىسىز؟ ھازىر قەيەردە تۇرىسىز؟ ھازىر قەيەردە تۇرىسىز؟ ھازىر قەيەردە تۇرىسىز؟,지금 어디에 살고 있나요? 지금 어디에 살고 있나요?,Where do you live now?,سىز ھازىر نەدە ياشايسىز؟ سىز ھازىر قەيەردە ياشايسىز؟,سىز ھازىر نەدە ياشايسىز؟ سىز ھازىر قەيەردە ياشايسىز؟ سىز ھازىر قەيەردە ياشايسىز؟,Where do you live now?,Kie vi loĝas nun? Kie vi loĝas nun? Kie vi loĝas nun?
57582,239892,Is he breathing?,Is he breathing?,Arnasa hartzen ari da?,Arnasa hartzen ari da?,Is he breathing?,Arnasa hartzen du?,Est-ce qu'il respire?,Is he breathing?,숨을 쉬는 건?,Arnasa hartzen ari da?,Is he breathing?,Is he breathing?,Ĉu ŝi spiras?,Ĉu li spiras?
57834,240166,Look back!,Begiratu atzera!,Begiratu atzean!,Gogoratu!,.ئاندىن يەنە بىر تەرەپكە قارىغىن,Begiratu atzera!,À votre tour!,.ئاندىن، ئارقاغا قاراپ بېقىڭلار!,Begiratu atzean.,Begiratu atzera!,.ئاندىن بۇيرىڭغا قارى!,Begiratu atzera!,Look at the back!,Begiratu zure buruari!
58614,241077,Let's go!,Let's get started! Let's get going!,"Goazen, goazen, goazen.","Goazen, goazen!",.كېلىڭلار، كېلىڭلار، كېلىڭلار,.بىز كېلەيمىز!.بىز كېلەيمىز!.بىز كېلەيمىز!,"Allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y, allons-y-y-y-y-y-y-y-y-y-y-y-y","Goazen, azkar!",Ni iru. Ni iru. Ni iru. Ni iru.,"Goazen, azkar!",.كېلى، كېلى، كېلى، كېلى، كېلى، كېلى، كېلى، كېلى,ကဲ၊ သွားရအောင်၊ ဖွင့်လိုက်၊ သွားရအောင်။,Let's go! Let's go!,!ھەيدا! ٴبىز ماڭايلى! ٴبىز ماڭايلى!
58720,241200,I give up.,I gave up.,Amore ematen dut.,Amore ematen dut. Amore ematen dut.,.مەن ئۆزىنى قوغدىيالاي,ကျွန်မ စွန့်လွှတ်လိုက်တယ်၊ ကျွန်မ စွန့်လွှတ်လိုက်တယ်၊,Je renonce. Je lève les mains.,.مەن تاشلىىمەن,항복합니다.,Amore ematen dut.,.مەن ھۇجۇم قىلىمەن,I'm giving up.,I'm giving up.,Mi kapitulacas.
59166,241675,I'm on a diet.,I'm on a diet.,Mi estas dietanto.,Mi estas dietanto. Mi estas en maldikiĝinta grupo.,I'm on the diet.,Mi estas dieta.,Estoy en dieta.,Mi estas dietanta.,Mi estas manĝanta. Mi dietas. Mi estas nun dietanto.,I'm on a diet.,Mi estas en dieto.,Mi estas dietanto.,I'm on a diet.,Mi estas dieta.
60039,242641,That's enough for today.,We're here today.,That's enough for today.,Por hodiaŭ sufiĉas. Ni ĉesu hodiaŭ. Ĉio ĉi. Ĉio ĉi. Ĉio ĉi.,.ھازىرقى ۋاقىتقا يەتتى. بۇ كۈن ئۈچۈن ھەممە ئىش.,.ھازىرقى ۋاقىتقا يەتتى.ھازىرقى ۋاقىتقا يەتتى.ھازىرقى ۋاقىتقا يەتتى,Encore assez pour aujourd'hui.,That's enough for today.,ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊ ဒီနေ့ အဆုံးသတ်သွားပြီ၊,That's enough for today. That's enough for today.,.ھازىرقى ۋاقىتقا يەتتى,That's enough for today.,That's enough for today.,.ھازىرقى ۋاقىتقا يەتتى.ھازىرقى ۋاقىتقا يەتتى.ھازىرقى ۋاقىتقا يەتتى.ھازىرقى ۋاقىتقا يەتتى.
60111,242732,It is very cold today.,It's super cold today.,Hodiaŭ estas malvarme.,Estas malvarme hodiaŭ. Estas vere malvarme.,Iḍelli yeqqel mliḥ assa.,Hodiaŭ estas tre malvarme.,Il fait très froid aujourd'hui.,Estas tre malvarme hodiaŭ.,오늘 정말 추워요.,Hodiaŭ estas tre malvarme.,Hodiaŭ estas tre malvarme.,Hodiaŭ estas tre malvarme.,Hodiaŭ estas tre malvarme.,Hodiaŭ estas tre malvarme.
60183,242809,It's cold today.,It's cold today.,It's cold today. It's cold today.,Hodiaŭ estas malvarme.,Yettzemmeḍ assa.,It's cold today.,Il fait froid aujourd'hui.,.بۈگۈن سوغۇق. بۈگۈن سوغۇق. بۈگۈن سوغۇق.,Hodiaŭ estas malvarme.,It's cold today. It's cold today.,Hodiaŭ estas malvarme.,Hodiaŭ estas malvarme.,Hodiaŭ estas malvarme.,Hodiaŭ estas malvarme.
60207,242836,It is Monday today.,It's Monday. It's Monday.,Hodiaŭ estas lundo.,Astelehena da.,Ass-a d letnayen.,Hodiaŭ estas lundo.,Aujourd'hui est lundi.,بۈگۈن بىر دۈشەنبە. بۈگۈن بىر دۈشەنبە.,Hodiaŭ estas lundo. Hodiaŭ estas lundo.,Today is Monday. Today is Monday.,Hodiaŭ estas lundo.,بۈگۈن دوشنبە. بۈگۈن دوشنبە.,بۈگۈن دۈشەنبە. بۈگۈن دۈشەنبە.,Hodiaŭ estas lundo.
60247,242881,It's hot today.,It's hot today.,Hodiaŭ varmas.,It's hot today. It's hot today.,Yeḥma ass-a.,.ھازىر ئىسسىق. بۈگۈن ئىسسىق. بۈگۈن ئىسسىق. بۈگۈن ئىسسىق.,Il fait chaud aujourd'hui.,.ھازىر ئىسسىق.,Hodiaŭ estas varmege. Hodiaŭ estas varme.,Hodiaŭ estas varmege.,.بۈگۈن بەك ئىسسىق,It's hot today. It's hot today.,It's hot today. It's hot today.,Hodiaŭ estas varmege.
60906,243599,Sugar dissolves in water.,Sugar is soluble in water.,Sukero dissolviĝas en akvo.,The sugar dissolves in the water.,.سۈگىر سۇدا ئېرىيدۇ,Sukero dissolviĝas en akvo.,Le sucre se dissout dans l'eau.,.سۈيىدىكى شېكەر ئېرىشىدۇ,Sukero dissolviĝas en akvo.,Sukero dissolviĝas en akvo.,Sukero dissolviĝas en akvo.,Sukero dissolviĝas en akvo.,Sugar dissolves in water.,Sukero dissolviĝas en akvo.
61013,243711,The worst is over.,The worst is over.,The worst is over.,The worst is over.,The worst is over. The worst is over.,We've got the worst behind us.,Le pire - le passé. - Le pire - est derrière nous.,The worst is over. The worst is over.,최악의 상황이 끝났어,The worst is over. The worst is behind us.,The worst is behind us.,The worst is over. The worst is over.,The worst is over.,Okerrena atzean dago.
61782,244539,Yesterday was my birthday.,Yesterday was my birthday.,Hieraŭ estis mia naskiĝtago.,Hieraŭ estis mia naskiĝtago. Hieraŭ estis mia naskiĝtago. Hieraŭ estis mia naskiĝtago.,.ئۈچۈن توي قىلساممۇ، تۈنۈگۈن تۇغۇلغان كۈنۈم.,Yesterday was my birthday.,"Ayer fue mi cumpleaños, ayer fue mi cumpleaños, ayer fue mi cumpleaños, ayer fue mi cumpleaños.",Hieraŭ estis mia naskiĝtago.,어제 제 생일이었습니다.,Hieraŭ estis mia naskiĝtago.,تۈنۈگۈن مېنىڭ تۇغۇلغان كۈنۈم بولۇپ، تۈنۈگۈن مېنىڭ تۇغۇلغان كۈنۈم بولۇپ،,Hieraŭ estis mia naskiĝtago.,Hieraŭ estis mia naskiĝtago.,تۈنۈگۈن مېنىڭ تۇغۇلغان كۈنىم ئىدى. تۈنۈگۈن مېنىڭ تۇغۇلغان كۈنىم ئىدى.
62564,245411,Are you working?,Are you at work?,-Lan egiten duzu?,Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras? Ĉu vi laboras?,-- سەن بىرەر ئىش قىلامسەن؟ -- سەن بىرەر ئىش قىلامسەن؟ -- سەن بىرەر ئىش قىلامسەن؟,Are you working?,Vous travaillez? vous travaillez? vous travaillez?,-- سەن بىرەر ئىش قىلامسەن؟ -- ئۇ ئىش قىلامسەن؟ -- سىلەر بىرەر ئىش قىلامسىلەر؟,이 일을 하고 있는 건가요?,Lan egiten duzu?,-- سەن نېمە ئىشلەيسەن؟ -- سەن نېمە ئىشلەيسەن؟ سەن نېمە ئىشلەيسەن؟ سەن نېمە ئىشلەيسەن؟,You're working?,Are you working?,Ĉu vi laboras?
62605,245454,I'm looking for a job.,I'm looking for a job.,I'm looking for a job. I'm looking for a job.,Lana bilatzen ari naiz.,.مەن خىزمەت ئىزدەيمەن,.مەن خىزمەت ئىزدىۋاتىمەن.مەن خىزمەت ئىزدىۋاتىمەن.مەن خىزمەت ئىزدىۋاتىمەن.مەن خىزمەت ئىزدىۋاتىمەن.,Je cherche un emploi.,Lan bila nabil.,Lan bila nabil.,Lan bila nabil.,.مەن خىزمەت ئىزدەيمەن,I'm looking for a job.,I'm looking for a job.,.مەن خىزمەت ئىزدىمەن
63020,245897,Children need loving.,Children need to be cared for.,Infanoj bezonas amon.,Haurrek maitasuna behar dute.,Igerdan ḥwaǧen tayri.,Infanoj bezonas amon.,Les enfants ont besoin d'amour.,Infanoj bezonas esti amataj.,아이들이 사랑받아야 합니다.,Children need love.,Infanoj bezonas amon.,Infanoj bezonas amon.,Children need to be loved.,Infanoj bezonas amon.
63402,246314,"Stop, or I'll shoot.","Stop, or I'll shoot.","Stop, or I'll shoot.",Stay or I'll shoot.,Don't move or I'll shoot.,ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။ ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။ ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။ ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။,Arrêtez ou je tire! Arrêtez ou je tire! Arrêtez ou je tire!,ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။ ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။ ရပ်လိုက်၊ ဒါမှမဟုတ် ကျွန်မ ပစ်မယ်။,"Ez baduzu gelditzen, tiro egingo dizut.",Stay or I'll shoot.,"Gelditu, tiro egingo dut.",Get up or I'll shoot.,"Stop, or I'll shoot.","Geldi, tiro egingo dut."
64414,247442,Welcome to our home.,Welcome to our home.,Ongi etorri gurera.,Welcome to our home.,Welcome to our home.,Welcome to our home! Welcome to our home!,Bienvenidos a nuestra casa. Bienvenidos a nuestra casa. Bienvenidos a nuestra casa. Bienvenidos a nuestra casa.,.بىزنىڭ ئۆيىمىزگە كىرگىن..بىزنىڭ ئۆيىمىزگە كىرگىن..بىزنىڭ ئۆيىمىزگە كىرگىن.,우리 집에 오신 것을 환영합니다.,Ongi etorri gure etxera!,Welcome to our house.,Welcome to our home.,Welcome to our house.,Ongi etorri gure jaunari.
64711,247763,We try.,Let's try it.,Saiatzen ari gara.,Saiatzen ari gara.,Saiatzen ari gara.,Saiatuko gara.,Nous essayons. Nous essayons.,.بىز سىناپ باقايلى. سىناپ باقايلى.,우리는 시도하고 있습니다.,Saiatzen ari gara.,Saiatzen ari gara.,We're looking for him.,.بىز چوقۇم تىرىشىمىز,Ni provu.
64879,247937,We played soccer yesterday.,We played football yesterday.,We played football yesterday.,We played football last night.,Neɣra ddabex iḍelli.,We played football yesterday.,"Hier, nous avons joué au football.",Ni ludis piedpilkon hieraŭ.,Ni ludis piedpilkon hieraŭ.,We played football yesterday.,.تۈنۈگۈن بىز ۋاكالىتەن پۇتبول ئوينىدۇق,Hieraŭ ni ludis piedpilkon.,We played football yesterday.,Ni ludis piedpilkon hieraŭ.
65001,248069,We painted the house green.,We painted the house green.,Ni verkis la domon verda.,We painted the house green.,.بىز ئۆينى يېشىل رەڭ بىلەن سىزدۇق,Ni verdigis la domon.,Nous avons peint la maison en vert.,Ni verkis la domon je verda.,Ni farbis la domon ruĝkolora.,We painted the house green.,.بىز ئۆيىمىزنى يېشىل رەڭ بىلەن بېزىدۇق,Ni verkis la domon.,We painted the house green.,Ni verkis la domon je verda. Ni verkis la domon je verda.
66839,250101,Please tell me your name.,Please tell me your name.,Bonvolu diri al mi vian nomon.,What's your name?,Bonvolu doni al mi vian nomon.,Please tell me your name. Please tell me your name. Please tell me your name.,"Dites-moi votre nom, s'il vous plaît.",.ماڭا سىزنىڭ ئىسمىڭىزنى ئېيتقايسىز؟.ماڭا ئۇنىڭ ئىسمىنى ئېيتقايسىز؟.ماڭا سىزنىڭ ئىسمىڭىزنى ئېيتقايسىز؟,네 이름을 말해줘요.,May I ask for your dignity?,.نامىڭىزنى ماڭا ئېيتىپ بەرسەڭلار.نامىڭىزنى ماڭا ئېيتىپ بەرسەڭلار.,Please tell me your name. Please tell me your name. Please tell me your name.,Please tell me your name.,Diru al mi vian nomon.
66866,250135,Follow me.,Please come with me.,Jarraitu niri.,Jarraitu niri.,Jarraitu niri.,Jarraitu niri.,"Suivez-moi, suivez-moi, suivez-moi, suivez-moi, suivez-moi, suivez-moi, suivez-moi, suivez-moi.",.مېنى ئەگىشىڭلار.,제 뒤를 따라오세요.,Follow me. Follow me.,.مېنى ئەگىشىڭلار. (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار) (مېنى ئەگىشىڭلار,.مېنى ئەگىشىڭلار. (ماڭا ئەگىشىڭلار),Follow me.,.مېنىڭ كەينىمدىن كىرگىن
67038,250327,Do you remember me?,Do you remember me?,Do you remember me?,Ĉu vi memoras min? Ĉu vi memoras min? Ĉu vi memoras min? Ĉu vi memoras min?,مېنى ئەسلەپ قالامسىز؟ مېنى ئەسلەپ قالامسىز؟ مېنى ئەسلەپ قالامسىز؟ مېنى ئەسلەپ قالامسىز؟ مېنى ئەسلەپ قالامسىز؟,မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက,Vous vous souvenez de qui je suis? vous vous souvenez de moi? vous vous souvenez encore de moi?,.مېنى ئېسىڭىزدە تۇتۇڭمۇ؟.مېنى ئېسىڭىزدە تۇتۇڭمۇ؟.مېنى ئېسىڭىزدە تۇتۇڭمۇ؟.سىزمۇ ئېسىڭىزدە تۇتۇڭمۇ؟.ئۇمۇ ماڭا ئېسىڭىزدە تۇتۇڭمۇ؟,제 기억이 안 나니?,Do you remember me?,.مېنى ئېسىڭىزدە تۇتۇۋالامسىز؟.مېنى ئېسىڭىزدە تۇتۇۋالامسىز؟,မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်း ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိလား။ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်မိတယ်၊ မင်းက ငါ့ကို မှတ်,.مېنى ئېسىڭىزدە تۇتۇۋالامسىز؟.مېنى ئېسىڭىزدە تۇتۇۋالامسىز؟,Ĉu vi memoras min? Ĉu vi memoras min?
67322,250648,My legs still hurt.,My legs still hurt.,Miaj kruroj ankoraŭ doloras.,My legs still hurt.,.مېنىڭ پۇتۇم داۋاملىق ئاغرىۋاتىدۇ,ခြေထောက်တွေက နာကျင်တုန်းပါ။ ခြေထောက်တွေက နာကျင်တုန်းပါ။ ခြေထောက်တွေက နာကျင်တုန်းပါ။,Mes jambes me font encore mal.,My legs still hurt. My legs still hurt.,Oraindik oinak minduta dauzkat.,My leg still hurts.,Miaj piedoj ankoraŭ doloras.,Miaj kruroj ankoraŭ doloras.,My legs still hurt.,Miaj piedoj ankoraŭ doloras.
67352,250680,He is my brother.,He's my brother.,Li estas mia frato.,Nire anaia da. Nire anaia da.,He's my brother.,He's my brother.,C'est mon frère. C'est mon frère.,Nire anaia da.,이 사람은 제 동생입니다.,He's my brother.,Li estas mia frato.,He's my brother. He's my brother.,He's my brother.,Li estas mia frato.
67692,251060,Answer me.,Answer me.,.مېنىڭ جاۋابىم: بۇ سوئالنى سوراڭلار,Erantzun.,.مېنىڭ جاۋابىمغا بېرىڭلار,Erantzun.,"Répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi, répondez-moi-moi-je-je-je-je-je-je-je-je-je-je-je-je-je-je-",.مېنىڭ جاۋابىم. ەندى جاۋابىم. ەندى جاۋابىم,Respondu al mia demando.,Erantzun.,.مېنىڭ جاۋابىم. (مېنىڭ جاۋابىم) (مۇھەممەد) ماڭا جاۋاب بەرسەڭلار,.مېنى جاۋاب بەر. ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙ ∙                                                                                          ,Answer me.,Respondu al mi.
68451,251884,Where's my book?,Where is my book?,Kie estas mia libro?,Non dago nire liburua?,مېنىڭ نامە - ئەمالىم قەيەردە؟,Kie estas mia libro?,Où sont les livres? où est mon livre? où sont les livres?,Kie estas mia libro?,Kie estas mia libro?,Kie estas mia libro?,مېنىڭ كىتابىم قەيەردە؟ مېنىڭ كىتابىم قەيەردە؟,Kie estas mia libro?,Where's my book?,Kie estas mia libro? Kie estas mia libro?
68790,252254,I played soccer yesterday.,I played football yesterday.,Yesterday I played football. Yesterday I played football.,I played football last night.,.تۈنۈگۈن مەن ۋېلىسپىتبول ئوينىدىم,Mi ludis piedpilkon hieraŭ.,"Hier, j'ai joué au football.",I played football yesterday. I played football yesterday.,저는 어제 축구를 했습니다.,I was playing football yesterday.,Hieraŭ mi ludis piedpilkon.,Hieraŭ mi ludis piedpilkon.,I played football yesterday.,Mi ludis piedpilkon hieraŭ. Mi ludis piedpilkon hieraŭ. Mi ludis piedpilkon hieraŭ.
68808,252272,I have a car.,I have a car.,Mi havas aŭton.,Auto bat daukat.,.مېنىڭ بىر ئاپتوموبىلۇم بار,Mi havas aŭton.,J'ai une voiture.,.مېنىڭ ئاپتوموبىلۇم بار,저는 자동차를 가지고 있습니다.,I got a car.,.مېنىڭ بىر ماشىنام بار,I have a car. I have a car.,I have a car.,Mi havas aŭton. Mi havas aŭton. Mi havas aŭton.
68816,252280,I like castles.,I like castles.,Mi ŝatas kastelojn.,Gazteluak gustatzen zaizkit.,Ḥemmleɣ iẓekwan.,Mi ŝatas serurojn.,J'aime les châteaux. J'aime les châteaux. J'aime les châteaux.,Gustatzen zaizkit gazteluak.,저는 성을 좋아합니다.,Gustatzen zaizkit gazteluak.,Mi ŝatas kastelojn.,Mi ŝatas kastelojn.,I like castles.,Mi amas kastelojn.
68823,252287,I am a student.,I'm a student. I'm a student.,Ikaslea naiz.,Mi estas studento.,.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن,.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن,Soy estudiante. Soy estudiante.,Mi estas studento.,저는 학생입니다.,.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن.مەن بىر ئوقۇغۇچىدىن.مەن.مەن بىر ئوقۇغۇچىدىن.مەن.مەن بىر ئوقۇغۇچىدىن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.مەن.,Mi estas studento.,Ikaslea naiz.,.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن.مەن بىر ئوقۇغۇچىدىن,Mi estas studento. Mi estas studento.
69426,252983,I don't drink much wine.,I'm not drinking.,Mi ne trinkas multe da vino.,I don't drink much wine.,Ur ssfeɣ ara aṭas n ccrab.,Mi ne trinkas multe da vino.,Je ne bois pas beaucoup de vin.,.مەن ھاراق ئىچىشكە بەك قادىر ئەمەسمەن,Mi ne trinkas tro da vino.,I don't drink much wine.,Mi ne trinkas multe da vino.,Mi ne trinkas multe da vino.,I don't drink much wine.,Mi ne trinkas multe da vino.
