,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
51225,69436,Do you like black cats?,你喜歡黑色的貓嗎？,Houdt ge van zwarte katten?,Pidätkö mustista kissoista?,Aimez-vous les chats noirs ?,Mögen Sie schwarze Katzen?,אתה אוהב חתולים שחורים?,Szereted a fekete macskákat?,Vi piacciono i gatti neri?,あなたは黒い猫が好きですか。,Lubisz czarne koty?,Вы любите чёрных котов?,¿Te gustan los gatos negros?,Kara kedileri sever misin?,Тобі подобаються чорні коти?
51284,69506,You have a good memory.,你的记性很好。,Ge hebt een goed geheugen.,Sinulla on hyvä muisti.,Tu as une bonne mémoire.,Du hast ein gutes Gedächtnis.,יש לך זיכרון טוב.,Jó memóriád van.,Ha una buona memoria.,あなたは記憶がよい。,Masz dobrą pamięć.,У тебя хорошая память.,Tienes buena memoria.,Sen iyi bir hafızaya sahipsin.,У тебе добра пам'ять.
51296,69521,Are you a student?,你是学生吗？,Zijt ge student?,Oletko opiskelija?,Es-tu étudiant ?,Bist du Student?,האם אתה סטודנט?,Diák vagy?,Sei uno studente?,あなたは学生ですか。,Jesteś studentem?,Ты студент?,¿Tú eres un estudiante?,Sen bir öğrenci misin?,Ти учень?
51362,69611,You have everything.,您全都有。,Je hebt alles.,Sinulla on kaikkea.,Vous avez tout.,Du hast alles.,יש לכם הכל.,Mindened megvan.,Hai tutto.,あなたは何でも持っている。,Masz wszystko.,У тебя есть всё.,Tú lo tienes todo.,Her şeye sahipsiniz.,У вас є все.
51370,69619,Do you want anything to eat?,你想要吃任何東西嗎?,Wilt u iets om te eten?,Haluatko syödä jotain?,Veux-tu quoi que ce soit à manger ?,Möchtest du etwas essen?,תרצה משהו לאכול?,Szeretnél enni valamit?,Vuoi qualcosa da mangiare?,あなたは何か食べるものが欲しいですか。,Chcesz coś do jedzenia?,Хотите чего-нибудь поесть?,¿Quieres algo de comer?,Yiyecek bir şey istiyor musun?,Хочеш щось з'їсти?
51485,69763,You're still young.,你仍然很年輕。,Jullie zijn nog jong.,Sinä olet edelleen nuori.,Tu es encore jeune.,Du bist noch jung.,אתה עדיין צעיר.,Még fiatal vagy.,Sei ancora giovane.,まだまだ若いなぁ。,Ty wciąż jesteś młody.,Ты все еще молода.,Todavía eres joven.,Hâlâ gençsin.,Ти і досі молодий.
51748,70090,Have you read this article?,你有沒有看過這篇文章？,Heb je dit artikel gelezen?,Oletko lukenut tämän artikkelin?,Avez-vous lu cet article ?,Haben Sie diesen Artikel gelesen?,האם קראת את המאמר הזה?,Elolvastad ezt a cikket?,Hai letto questo articolo?,あなたはこの記事を読みましたか。,Czytałeś ten artykuł?,Ты читал эту статью?,¿Has leído este artículo?,Bu makaleyi okudun mu?,Ти читав цю статтю?
52019,70408,Where is your room?,你的房间在哪里？,Waar is je kamer?,Missä sinun huoneesi on?,Où est ta chambre ?,Wo ist dein Zimmer?,איפה החדר שלך?,Hol van a szobád?,Dov'è la tua stanza?,あなたの部屋はどこですか。,Gdzie jest twój pokój?,Где твоя комната?,¿Dónde está tu habitación?,Odanız nerede?,Де твоя кімната?
52198,70623,What is your name?,你叫什么名字？,Hoe heet u?,Mikä sinun nimesi on?,Comment est-ce que tu t'appelles ?,Wie heißen Sie?,מה שמך?,Mi a neved?,Come ti chiami?,あなたの名前は？,Jak się pan nazywa?,Как тебя зовут?,¿Cuál es su nombre?,Adın ne?,Як тебе звати?
52496,70960,How old is your father?,你的父亲几岁了？,Hoe oud is je vader?,Minkä ikäinen isänne on?,Quel âge a votre père ?,Wie alt ist dein Vater?,בן כמה אביך?,Édesapád hányadik esztendejében jár?,Quanti anni ha tuo padre?,あなたのお父さんは何歳ですか。,Ile lat ma twój ojciec?,Сколько лет твоему отцу?,¿Qué edad tiene tu padre?,Baban kaç yaşında?,Скільки років твоєму батькові?
52528,71000,How old is your grandfather?,你爷爷多大了？,Hoe oud is je opa?,Kuinka vanha sinun isoisäsi on?,Quel âge a ton grand-père ?,Wie alt ist dein Großvater?,בן כמה סבא שלך?,Milyen idős a nagyapád?,Quanti anni ha tuo nonno?,お爺さんは何歳ですか？,Ile twój dziadek ma lat?,Сколько лет твоему дедушке?,¿Cuántos años tiene tu abuelo?,Deden kaç yaşında?,Скільки років твоєму дідусю?
52742,71256,Are you students?,你們是學生嗎？,Zijn jullie studenten?,Oletteko opiskelijoita?,Êtes-vous étudiants ?,Seid ihr Studenten?,אתם סטודנטים?,Diákok vagytok?,Siete studenti?,あなたたちは学生ですか。,Czy jesteście uczniami?,Вы студенты?,¿Son estudiantes?,Siz öğrenci misiniz?,Ви студенти?
53190,71751,I know him.,我認識他。,Ik ken hem.,Minä tunnen hänet.,Je le connais.,Ich kenne ihn.,אני מכירה אותו.,"Tudom, ki ő.",Io lo conosco.,あたしは彼を知っています。,Znam go.,Я знаю его.,Lo conozco.,Onu tanıyorum.,Я його знаю.
53489,72055,He looks suspicious.,他看起来很可疑。,Hij ziet er verdacht uit.,Hän näyttää epäilyttävältä.,Il a l'air suspicieux.,Er sieht verdächtig aus.,הוא נראה חשוד.,Gyanúsnak tűnik.,Lui sembra sospetto.,あいつが臭い。,On wygląda podejrzanie.,Он выглядит подозрительно.,Él luce sospechoso.,O şüpheli görünüyor.,Він виглядає підозріло.
53510,72076,Now I remember.,现在我想起来了。,Nu weet ik het weer.,Nyt muistan.,Maintenant je me souviens.,Jetzt erinnere ich mich.,עכשיו נזכרתי.,Most már emlékszem.,Ora ricordo.,ああ思い出したぞ。,Teraz już pamiętam.,Сейчас я помню.,Ahora recuerdo.,Şimdi hatırlıyorum.,Тепер я згадав.
54778,73398,Ten years is a long time.,十年是很長的時間。,Tien jaar is een lange tijd.,Kymmenen vuotta on pitkä aika.,"Dix ans, c'est long.",Zehn Jahre sind eine lange Zeit.,עשר שנים זה זמן ארוך.,Tíz év hosszú idő.,Dieci anni sono molto tempo.,１０年といえば相当な時間だ。,Dziesięć lat to długo.,Десять лет - это долгий срок.,Diez años es mucho tiempo.,On yıl uzun bir zamandır.,Десять років - це довго.
54812,73434,It's ten o'clock sharp.,現在是十時正。,Het is precies tien uur.,Kello on tasan kymmenen.,Il est juste dix heures.,Es ist genau zehn Uhr.,השעה עשר בדיוק.,Pontosan tíz óra van.,Sono le dieci in punto.,１０時きっかりです。,Jest punkt dziesiąta.,Сейчас ровно десять часов.,Son las diez en punto.,Saat tam on.,Зараз рівно десята година.
55379,138919,Welcome.,欢迎。,Welkom!,Tervetuloa!,Bienvenue !,Willkommen!,ברוכים הבאים!,Isten hozta!,Benvenuto!,ようこそ！,Witam.,Добро пожаловать!,Bienvenida.,Hoş geldiniz!,Ласкаво просимо!
55509,237639,You speak fluent English.,你英语说得很流利。,Je spreekt vloeiend Engels.,Puhut sujuvaa englantia.,Tu parles l'anglais couramment.,Du sprichst fließend Englisch.,אתה מדבר אנגלית שוטפת.,Folyékonyan beszélsz angolul.,Tu parli l'inglese fluentemente.,君は流暢な英語を話す。,Mówisz biegle po angielsku.,Ты свободно говоришь по-английски.,Hablas inglés fluidamente.,Sen akıcı İngilizce konuşuyorsun.,Ти вільно говориш ангійською.
55555,237692,I'll make you happy.,我会让你幸福的。,Ik zal u gelukkig maken.,Teen sinut iloiseksi.,Je vais te rendre heureux.,Ich werde dich glücklich machen.,אעשה אותך מאושר.,Boldoggá teszlek.,Ti renderò felice.,僕が君を幸せにするよ。,"Sprawię, że będziesz szczęśliwa.",Я сделаю тебя счастливой.,Te haré feliz.,Seni mutlu edeceğim.,Я зроблю тебе щасливою.
55560,237698,I believe in you.,我相信你。,Ik geloof in jou.,Uskon sinuun.,Je crois en toi.,Ich glaube an dich.,אני מאמין בך.,Hiszek benned.,Credo in te.,僕は君の力量を信じている。,Wierzę ci.,Я верю в тебя.,Creo en ti.,Sana inanıyorum.,Я вірю в тебе.
56637,238862,It's Monday.,今天是星期一。,Het is maandag.,On maanantai.,Nous sommes lundi.,Es ist Montag.,זה יום שני.,Hétfő van.,È lunedì.,月曜日です。,Jest poniedziałek.,Сегодня понедельник.,Es lunes.,Bugün Pazartesi.,Сьогодні понеділок.
57023,239285,Can you find it?,你能找到它嗎？,Kan je het vinden?,Voitko löytää sen?,Peux-tu la trouver ?,Kannst du danach suchen?,אתה יכול למצוא את זה?,Meg tudod találni?,Riesci a trovarlo?,見つけられますか。,Czy możesz to znaleźć?,Можешь его найти?,¿Puedes encontrarlo?,Onu bulabilir misin?,Можеш його знайти?
57151,239431,Good luck.,祝你好运。,Veel geluk.,Onnea matkaan.,Bonne chance !,Viel Glück.,הצלחה.,Sok szerencsét!,Buona fortuna.,元気でね。,Powodzenia.,Удачи!,Buena suerte.,İyi şanslar.,Удачі.
57294,239578,Where do you live now?,你现在住在哪里？,Waar woon je nu?,Missä sinä asut nyt?,Où habites-tu maintenant ?,Wo wohnen Sie jetzt?,איפה אתה גר עכשיו?,Most hol élsz?,Dove abiti adesso?,今何処に住んでいますか。,Gdzie teraz mieszkasz?,Где ты сейчас живешь?,¿Dónde vives ahora?,Şimdi nerede yaşıyorsun?,Де ти зараз живеш?
57582,239892,Is he breathing?,他在呼吸嗎?,Ademt hij?,Hengittääkö hän?,Respire-t-il ?,Atmet er?,האם הוא נושם?,Lélegzik?,Sta respirando?,呼吸は？,Oddycha?,Он дышит?,¿Respira?,"O, nefes alıyor mu?",Він дихає?
57834,240166,Look back!,回头看！,Kijk achter je!,Muistele!,Regarde derrière !,Schau nach hinten!,מאחוריך!,Nézz vissza!,Guarda dietro!,後ろを見ろ。,Spójrz wstecz!,Оглянись!,¡Mira hacia atrás!,Arkana bak!,Озирнися!
57839,240171,Shadow him.,跟着他。,Volg hem.,Varjosta häntä.,File-le !,Folge ihm.,הטל עליו צל.,Kövesd!,Pedinalo.,後をつけろ。,Śledź go.,Проследи за ним.,Síguelo.,Onu izle.,Наслідуй його.
58614,241077,Let's go!,走吧。,Laten we gaan!,Mennään!,Allons-y !,Lass uns gehen!,קדימה!,Menjünk!,Andiamo!,行くよ。,Chodźmy!,Пошли.,Vamos.,Gidelim!,Гайда!
58720,241200,I give up.,我放弃。,Ik geef het op.,Annan periksi.,J'abandonne.,Ich gebe auf.,אני מוותר.,Feladom.,Rinuncio.,降参します。,Poddaję się.,Я сдаюсь.,Me rindo.,Vazgeçerim.,Я здаюся.
59166,241675,I'm on a diet.,我在節食。,Ik ben op dieet.,Olen dietillä.,Je suis au régime.,Ich bin auf Diät.,אני בדיאטה.,Diétán vagyok.,Sono a dieta.,私は食事制限をしています。,Jestem na diecie.,Я на диете.,Estoy a régimen.,Ben diyetteyim.,Я на дієті.
60039,242641,That's enough for today.,我們今天就到這裡吧。,Dat is genoeg voor vandaag.,Tämä riittää tältä päivältä.,Assez pour aujourd'hui.,Für heute reicht es.,מספיק להיום.,Mára elég.,È abbastanza per oggi.,今日は終わりです。,Na dziś wystarczy.,Достаточно на сегодня.,Es suficiente por hoy.,Bugün için yeterlidir.,На сьогодні досить.
60111,242732,It is very cold today.,今天超級冷。,Het is vandaag ijskoud.,Tänään on tosi kylmä.,Il fait très froid aujourd'hui.,Es ist heute sehr kalt.,קר מאד היום.,Ma nagyon hideg van.,Fa molto freddo oggi.,今日は大変寒い。,Dzisiaj jest bardzo zimno.,Сегодня очень холодно.,Hoy hace mucho frío.,Bugün hava çok soğuk.,Сьогодні дуже холодно.
60183,242809,It's cold today.,今天很冷。,Vandaag is het koud.,Tänään on kylmää.,Il fait froid aujourd'hui.,Heute ist es kalt.,קר היום.,Hideg van ma.,Fa freddo oggi.,今日は寒いです。,Dzisiaj jest zimno.,Сегодня холодно.,Hace frío hoy.,Bugün hava soğuk.,Сьогодні холодно.
60207,242836,It is Monday today.,今天是周一。,Vandaag is het maandag.,Tänään on maanantai.,Aujourd'hui c'est lundi.,Heute ist Montag.,היום יום שני.,Hétfő van.,È lunedì oggi.,今日は月曜日です。,Dzisiaj jest poniedziałek.,Сегодня понедельник.,Hoy es lunes.,Bugün Pazartesi.,Сьогодні понеділок.
60247,242881,It's hot today.,今天天气很热。,Het is warm vandaag.,Tänään on kuuma.,Il fait chaud aujourd'hui.,Es ist heute heiß.,חם היום.,Ma nagy a forróság.,Fa caldo oggi.,今日は暑いです。,Dzisiaj jest gorąco.,Сегодня жарко.,Hoy hace calor.,Hava bugün sıcak.,Сьогодні спекотно.
60906,243599,Sugar dissolves in water.,糖溶于水。,Suiker lost op in water.,Sokeri liukenee veteen.,Le sucre fond dans l'eau.,Zucker löst sich in Wasser.,סוכר נמס במים.,A cukor oldódik vízben.,Lo zucchero si dissolve nell'acqua.,砂糖は水に溶ける。,Cukier rozpuszcza się w wodzie.,Сахар растворяется в воде.,El azúcar se disuelve en agua.,Şeker suda çözünür.,Цукор розчиняється у воді.
61013,243711,The worst is over.,最壞的已經過去了。,Het ergste is voorbij.,Pahin on ohi.,Le pire est passé.,Das Schlimmste haben wir hinter uns.,הגרוע ביותר - עבר.,A legrosszabbon már túl vagyunk.,Il peggio è passato.,最悪の事態はもう終わった。,Najgorsze już minęło.,Худшее позади.,Lo peor terminó.,En kötüsü bitti.,Найгірше вже позаду.
61782,244539,Yesterday was my birthday.,昨天是我的生日。,Gisteren was het mijn verjaardag.,Eilen oli syntymäpäiväni.,C'était ma fête hier.,Gestern war mein Geburtstag.,אתמול חל יום הולדתי.,Tegnap volt a születésnapom.,Ieri era il mio compleanno.,昨日は僕の誕生日だった。,Wczoraj były moje urodziny.,Вчера у меня был день рождения.,Ayer fue mi cumpleaños.,Dün benim doğum günümdü.,Учора був мій день народження.
62564,245411,Are you working?,你在上班嗎？,Werk je?,Teetkö töitä?,Travaillez-vous ?,Arbeitest du?,אתם עובדים?,Dolgozol?,Stai lavorando?,仕事をしていますか。,Pracuje pan?,Вы работаете?,¿Estás trabajando?,Çalışıyor musunuz?,Ти працюєш?
62605,245454,I'm looking for a job.,我在找工作。,Ik ben een baan aan het zoeken.,Etsin työtä.,Je cherche du travail.,Ich suche eine Arbeitsstelle.,אני מחפש עבודה.,Állást keresek.,Sto cercando un impiego.,仕事を探してるんだ。,Szukam pracy.,Я ищу работу.,Busco un trabajo.,Bir iş arıyorum.,Я шукаю роботу.
62830,245694,Some children are playing on the grass.,有些小孩在草地上玩。,Enkele kinderen zijn op het gras aan het spelen.,Muutama lapsi leikkii nurmella.,Quelques enfants sont en train de jouer sur l'herbe.,Ein paar Kinder spielen auf der Wiese.,כמה ילדים משחקים על הדשא.,Néhány gyerek játszik a mezőn.,Alcuni bambini stanno giocando sull'erba.,子供たちが芝生で遊んでいます。,Dzieci bawią się na trawie.,Некоторые дети играют на траве.,Unos niños están jugando en el pasto.,Bazı çocuklar çimenlerin üzerinde oynuyor.,Деякі діти грають на траві.
63020,245897,Children need loving.,孩子们需要关爱。,Kinderen hebben liefde nodig.,Lapset tarvitsevat rakkautta.,Les enfants ont besoin d'amour.,Kinder brauchen Liebe.,ילדים זקוקים לאהבה.,A gyerekeknek szeretetre van szükségük.,I bambini hanno bisogno di essere amati.,子供は、人に愛されることが必要なのです。,Dzieci potrzebują miłości.,Детям нужна любовь.,Los niños necesitan amor.,Çocukların sevilmeye ihtiyacı vardır.,Діти потребують любові.
63402,246314,"Stop, or I'll shoot.",停止，不然我就開槍了。,"Halt, of ik schiet.",Pysähdy tai ammun.,Ne bougez pas ou je tire.,"Bleib stehen, oder ich schieße.","עצור, או שאני יורה!",Állj vagy lövök!,Fermati o sparerò.,止まらないと撃つぞ。,Stój albo strzelę.,"Стой, стрелять буду.",Alto o disparo.,"Dur, yoksa vuracağım.","Стій, стріляти буду."
64414,247442,Welcome to our home.,欢迎来到我们家。,Welkom bij ons.,Tervetuloa meidän kotiimme.,Bienvenue dans notre maison.,Willkommen bei uns zu Hause!,ברוכים הבאים לביתנו.,Üdvözlünk az otthonunkban!,Benvenuto nella nostra casa.,私たちの家へようこそ。,Witamy w naszym domu!,Добро пожаловать в наш дом.,Bienvenido a nuestro hogar.,Evimize hoş geldiniz.,Ласкаво просимо до нашої господи.
64711,247763,We try.,我们来试试。,We proberen.,Me yritämme.,On essaye.,Wir versuchen es.,אנו מנסים.,Próbálkozunk.,Ci proviamo.,私たちは、試す。,Próbujemy.,Мы пытаемся.,Lo procuramos.,Biz deneriz.,Ми пробуємо.
64879,247937,We played soccer yesterday.,我们昨天踢了足球。,We hebben voetbal gespeeld gisteren.,Me pelasimme eilen jalkapalloa.,Nous avons joué au foot hier.,Wir haben gestern Fußball gespielt.,שיחקנו כדורגל אתמול.,Tegnap fociztunk.,Abbiamo giocato a calcio ieri.,私たちはきのうサッカーをしました。,Wczoraj graliśmy w piłkę nożną.,Вчера мы играли в футбол.,Ayer jugamos al fútbol.,Dün futbol oynadık.,Ми вчора грали в футбол.
65001,248069,We painted the house green.,我们把屋子漆成绿色。,We hebben het huis groen geverfd.,Maalasimme talon vihreäksi.,Nous avons peint la maison en vert.,Wir haben das Haus grün angestrichen.,צבענו את הבית בירוק.,Lefestettük a házat zöldre.,Abbiamo pitturato la casa di verde.,私たちはその家をみどり色に塗った。,Pomalowaliśmy dom na zielono.,Мы покрасили дом зелёной краской.,Pintamos la casa de verde.,Biz evi yeşile boyadık.,Ми пофарбували будинок в зелене.
66839,250101,Please tell me your name.,請告訴我你的名字。,Vertel me alsjeblieft je naam.,Mikä on nimenne?,"S’il vous plaît, pouvez-vous me donner votre nom ?",Bitte nennen Sie mir Ihren Namen.,תגיד לי בבקשה את שמך.,"Kérlek, mondd meg nekem a neved.",Per piacere dimmi il tuo nome.,名前を教えてください。,Można prosić o pańską godność?,"Скажи мне, пожалуйста, как тебя зовут.","Por favor, dígame su nombre.",Lütfen bana adını söyle.,Скажіть мені своє ім'я.
66866,250135,Follow me.,请跟我来。,Volg me.,Seuratkaa minua.,Suis-moi.,Folge mir.,תעקוב אחריי.,Gyere utánam.,Seguimi.,私についてきて。,Chodź za mną.,Иди за мной.,Sígueme.,Beni izle.,Йди за мною.
67038,250327,Do you remember me?,你记得我么?,Herinner je je mij nog?,Muistatko minut?,Tu te rappelles de moi ?,Erinnerst du dich an mich?,אתה נזכר מי אני?,Emlékszel rám?,Ti ricordi di me?,私のこと覚えてますか。,Pamiętasz mnie?,Ты меня помнишь?,¿Te acuerdas de mí?,Beni hatırlıyor musun?,Ти мене пам'ятаєш?
67322,250648,My legs still hurt.,我的腿还是很痛。,Mijn benen doen nog steeds pijn.,Jalkani ovat yhä kipeät.,Mes jambes me font toujours mal.,Meine Beine schmerzen immer noch.,הרגליים עדיין כואבות לי.,Még mindig fáj a lábam.,Mi fanno ancora male le gambe.,脚がまだ痛む。,Ciągle boli mnie noga.,Мои ноги всё ещё болят.,Todavía me duelen las piernas.,Bacaklarım hâlâ ağrıyor.,У мене все ще болять ноги.
67352,250680,He is my brother.,他是我兄弟。,Hij is mijn broer.,Hän on minun veljeni.,C'est mon frère.,Er ist mein Bruder.,הוא אח שלי.,Ő a fivérem.,È mio fratello.,彼は私の兄です。,On jest moim bratem.,Он мой брат.,Él es mi hermano.,O benim erkek kardeşim.,Він мій брат.
67647,251010,My watch has been stolen.,我的表被偷了。,Mijn horloge is gestolen.,Kelloni on varastettu.,On m'a volé ma montre.,Meine Uhr wurde gestohlen.,השעון שלי נגנב.,Ellopták az órámat.,Il mio orologio è stato rubato.,私の時計が盗まれました。,Mój zegarek został skradziony.,У меня украли часы.,Mi reloj ha sido robado.,Saatim çalındı.,У мене вкрали годинник.
67692,251060,Answer me.,回答我。,Geef antwoord.,Vastaa minulle.,Répondez-moi.,Antworten Sie mir.,תענה לי.,Válaszolj nekem!,Rispondimi.,私の質問に答えなさい。,Odpowiedz mi.,Ответь мне.,Respóndeme.,Bana cevap ver.,Дай мені відповідь.
68451,251884,Where's my book?,我的書在哪裏？,Waar is mijn boek?,Missä on kirjani?,Où est mon livre ?,Wo ist mein Buch?,היכן ספרי?,Hol van a könyvem?,Dov'è il mio libro?,私の本はどこ？,Gdzie jest moja książka?,Где моя книжка?,¿Dónde está mi libro?,Benim kitabım nerede?,Де моя книга?
68790,252254,I played soccer yesterday.,我昨天踢了足球。,Gisteren heb ik voetbal gespeeld.,Pelasin eilen jalkapalloa.,J'ai joué au foot hier.,Ich habe gestern Fußball gespielt.,אתמול שיחקתי כדורגל.,Tegnap fociztam.,Ho giocato a calcio ieri.,私は、昨日サッカーをしました。,Grałem wczoraj w piłkę nożną.,Вчера я играл в футбол.,Ayer jugué al fútbol.,Dün futbol oynadım.,Я вчора грав у футбол.
68808,252272,I have a car.,我有一辆车。,Ik heb een auto.,Minulla on auto.,J'ai une voiture.,Ich habe ein Auto.,יש לי מכונית.,Van autóm.,Ho una macchina.,私は自動車を持っている。,Mam samochód.,У меня есть автомобиль.,Tengo un coche.,Benim bir arabam var.,У мене є машина.
68816,252280,I like castles.,我喜欢城堡。,Ik hou van kastelen.,Minä pidän linnoista.,J'aime les châteaux.,Ich mag Schlösser.,אני אוהב טירות.,Szeretem a várakat.,Mi piacciono i castelli.,私は、城が好きです。,Lubię zamki.,Мне нравятся замки.,Me gustan los castillos.,Kaleleri severim.,Я люблю замки.
68823,252287,I am a student.,我是个学生。,Ik ben een student.,Olen opiskelija.,Je suis étudiant.,Ich bin ein Student.,אני סטודנט.,Diák vagyok.,Sono uno studente.,私は学生です。,Jestem studentką.,Я студент.,Soy estudiante.,Ben bir öğrenciyim.,Я студент.
69304,252832,I do not understand you.,我不理解你,Ik begrijp u niet.,En ymmärrä sinua.,Je ne vous comprends pas.,Ich verstehe Sie nicht.,אינני מבין אותך.,Nem értelek.,Non ti capisco.,私はあなたの言っていることがわからない。,Nie rozumiem cię.,Я вас не понимаю.,No te entiendo.,Sizi anlamıyorum.,Я тебе не розумію.
69426,252983,I don't drink much wine.,我不怎麼喝酒。,Ik drink niet veel wijn.,En juo paljon viiniä.,Je ne bois pas beaucoup de vin.,Ich trinke nicht viel Wein.,אני לא שותה הרבה יין.,Nem iszok sok bort.,Non bevo molto vino.,あまりワインを飲まないんだ。,Nie piję dużo wina.,Я не пью много вина.,No bebo mucho vino.,Fazla şarap içmem.,Я не п'ю багато вина.
69502,253071,I have a friend in England.,我在英國有個朋友。,Ik heb een vriend in Engeland.,Minulla on ystävä Englannissa.,J'ai un ami en Angleterre.,Ich habe einen Freund in England.,יש לי חבר באנגליה.,Van egy barátom Angliában.,Ho un amico in Inghilterra.,私はイギリスに友達がいます。,Mam w Anglii przyjaciela.,У меня есть друг в Англии.,Yo tengo un amigo en Inglaterra.,İngiltere'de bir arkadaşım var.,У мене є друг в Англії.
70203,253848,I have a computer.,我有一台电脑。,Ik heb een computer.,Minulla on tietokone.,J'ai un ordinateur.,Ich habe einen Computer.,יש לי מחשב.,Van egy számítógépem.,Ho un computer.,私はコンピューターを持っています。,Mam komputer.,У меня есть компьютер.,Tengo un ordenador.,Benim bir bilgisayarım var.,У мене є комп'ютер.
70649,254335,I don't know how to spell the word.,我不知道这个单词怎么拼写。,Ik weet niet hoe ik het woord moet spellen.,En tiedä miten tämä sana tavataan.,Je ne sais pas comment épeler ce mot.,"Ich weiß nicht, wie man das Wort buchstabiert.",אני לא יודעת איך לאיית את המילה הזאת.,Nem tudom hogyan írják helyesen a szót.,Non so come si scrive la parola.,私はその単語のつづりがわかりません。,Nie wiem jak przeliterować to słowo.,"Я не знаю, как пишется это слово.",No sé cómo deletrear la palabra.,Kelimeyi nasıl heceleyeceğimi bilmiyorum.,"Я не знаю, як пишеться це слово."
71093,254847,I'm glad to hear that.,我听到这个很开心。,Dat hoor ik graag.,Sepä mukava kuulla.,Je suis heureux d'entendre cela.,"Freut mich, das zu hören.",אני שמח לשמוע זאת.,"Örülök, hogy hallok róla.",Va bene.,良かったですね。,Cieszą mnie te wieści.,Я рад это слышать.,Me alegro de oírlo.,Bunu duyduğuma sevindim.,Я радий це чути.
71253,255034,I like chocolate.,我喜歡巧克力。,Ik hou van chocolade.,Mä tykkään suklaasta.,J'aime le chocolat.,Ich mag Schokolade.,אני אוהב שוקולד.,Szeretem a csokoládét.,Mi piace la cioccolata.,私はチョコレートが好きです。,Lubię czekoladę.,Я люблю шоколад.,Me gusta el chocolate.,Çikolata hoşuma gidiyor.,Я люблю шоколад.
71273,255055,I hid under the table.,我藏在桌子底下。,Ik heb me onder de tafel verstopt.,Menin piiloon pöydän alle.,Je me suis caché sous la table.,Ich habe mich unter dem Tisch versteckt.,התחבאתי מתחת לשולחן.,Elbújtam az asztal alá.,Mi sono nascosto sotto il tavolo.,私はテーブルの下に隠れた。,Schowałem się pod stołem.,Я спрятался под столом.,Me escondí debajo de la mesa.,Ben masanın altına saklandım.,Я сховався під столом.
71297,255080,I like tennis.,我喜欢网球。,Ik hou van tennis.,Pidän tenniksestä.,J'aime le tennis.,Ich mag Tennis.,אני אוהבת טניס.,Szeretem a teniszt.,Mi piace il tennis.,私はテニスが好き。,Lubię tenis.,Мне нравится теннис.,Me gusta el tenis.,Tenise bayılırım.,Я люблю теніс.
71529,255340,I'd like to live in New York.,我想住在紐約。,Ik zou graag in New York willen wonen.,Tykkäisin asua New Yorkissa.,J'aimerais vivre à New York.,Ich würde gerne in New York leben.,הייתי רוצה לגור בניו יורק.,Szeretnék New Yorkban élni.,Vorrei vivere a New York.,私はニューヨークに住みたい。,Chciałbym mieszkać w Nowym Jorku.,Я хотел бы жить в Нью-Йорке.,Me gustaría vivir en Nueva York.,New York'ta yaşamak istiyorum.,Я хотів би жити в Нью-Йорку.
71804,255644,I'm happy to see you again.,很高興能再見到你。,Ik ben blij je weer te zien.,Onpa kiva nähdä sinua taas.,Je suis content de vous revoir.,"Ich freue mich, dich wiederzusehen.",אני שמח לראותך שוב.,"Örülök, hogy újra láthatlak.",Sono felice di rivederti.,私はまた君に会えてうれしい。,"Cieszę się, że znów cię widzę.",Рад снова вас видеть.,Me alegro de volver a verte.,Seni tekrar gördüğüm için mutluyum.,Радий знову тебе бачити.
71867,255717,I gave Mary a book.,我給了瑪麗一本書。,Ik gaf Maria een boek.,Annoin Marille kirjan.,J'ai donné un livre à Mary.,Ich gab Maria ein Buch.,נתתי למרי ספר.,Adtam Marynek egy könyvet.,Ho dato un libro a Mary.,私はメアリーに本を上げた。,Dałem Mary książkę.,Я дал Мэри книгу.,Le dí a Mary un libro.,Mary'ye bir kitap verdim.,Я дав Мері книжку.
72048,255926,I like to eat apples.,我喜欢吃苹果。,Ik eet graag appels.,Syön mielelläni omenoita.,J'aime manger des pommes.,Ich esse gerne Äpfel.,אני אוהב לאכול תפוחי עץ.,Szeretek almát enni.,Mi piace mangiare le mele.,私はリンゴを食べるのが好きです。,Lubię jeść jabłka.,Я люблю есть яблоки.,Me gusta comer manzanas.,Ben elma yemeği severim.,Я люблю їсти яблука.
72156,256043,I bought a book.,我買了一本書。,Ik kocht een boek.,Ostin kirjan.,J'ai acheté un livre.,Ich habe ein Buch gekauft.,קניתי ספר.,Könyvet vettem.,Ho comprato un libro.,私は本を買いました。,Kupiłem książkę.,Я купил книгу.,Compré un libro.,Ben bir kitap satın aldım.,Я купив книгу.
72280,256178,I can swim.,我會游泳。,Ik kan zwemmen.,Osaan uida.,Je sais nager.,Ich kann schwimmen.,אני יודע לשחות.,Tudok úszni.,Posso nuotare.,私は泳げます。,Umiem pływać.,Я умею плавать.,Sé nadar.,Yüzebilirim.,Я вмію плавати.
72329,256236,I study English.,我学英语。,Ik studeer Engels.,Minä opiskelen englantia.,J'étudie l'anglais.,Ich studiere Englisch.,אני לומדת אנגלית.,Angolul tanulok.,Studio inglese.,私は英語を勉強します。,Studiuję język angielski.,Я учу английский.,Estudio inglés.,İngilizce çalışırım.,Я вивчаю англійську.
