,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
95165,281606,Japan is a rich country.,Japan is een rijk land.,Japani on rikas maa.,Le Japon est un pays riche.,Japan ist ein reiches Land.,יפן היא ארץ עשירה.,Japán gazdag ország.,Il Giappone è un paese ricco.,日本は豊かな国です。,日本是个富有的国家。,Japonia jest bogatym państwem.,O Japão é um país rico.,Япония — богатая страна.,Japón es un país rico.,"Japonya, zengin bir ülkedir.",Японія — багата країна. | Японія - багата країна.
95175,281616,Welcome to Japan.,Welkom in Japan.,Tervetuloa Japaniin.,Bienvenue au Japon.,Willkommen in Japan.,ברוך הבא ליפן. | ברוכה הבאה ליפן. | ברוכים הבאים ליפן.,Isten hozott Japánban! | Üdvözöljük Japánban! | Isten hozta Japánban!,Benvenuto in Giappone. | Benvenuta in Giappone. | Benvenuti in Giappone. | Benvenute in Giappone.,日本へようこそ。,日本欢迎您。 | 歡迎到日本。,Witamy w Japonii.,Bem-vindo ao Japão. | Bem-vindos ao Japão.,Добро пожаловать в Японию.,Bienvenido a Japón. | Bienvenidos a Japón.,Japonya'ya hoş geldiniz.,Ласкаво просимо до Японії.
95690,282197,Years passed.,Jaren gingen voorbij.,Vuodet kuluivat. | Vuosia kului.,Des années ont passé.,Jahre vergingen.,שנים חלפו.,Múltak az évek. | Évek múltak el.,Gli anni passarono.,年月が経った。,多少年过去了。,Mijały lata.,Passaram os anos. | Anos se passaram.,Годы прошли. | Прошли годы.,Pasaron los años.,Yıllar geçti.,Роки проминули. | Роки минули. | Пройшли роки. | Минули роки.
95715,282225,I am eighteen years old.,Ik ben achttien jaar oud.,Olen kahdeksantoistavuotias. | Olen kahdeksantoista.,J'ai dix-huit ans.,Ich bin 18 Jahre alt. | Ich bin achtzehn Jahre alt. | Ich bin 18.,אני בן שמונה עשרה. | אני בן 18.,Tizennyolc éves vagyok.,Ho diciotto anni. | Ho 18 anni.,年齢は１８歳です。 | 私は１８歳です。 | 私は十八歳です。 | 私は18才です。,我十八岁。,Mam 18 lat. | Mam osiemnaście lat.,Eu tenho 18 anos. | Tenho dezoito anos.,Мне 18 лет. | Мне восемнадцать лет.,Tengo dieciocho años.,Ben 18 yaşındayım. | Ben on sekiz yaşındayım. | On sekiz yaşındayım.,Мені вісімнадцять років. | Мені вісімнадцять.
95938,282462,My back still hurts.,Mijn rug doet nog steeds pijn.,Selkääni sattuu yhä.,Mon dos me fait encore mal.,Mein Rücken tut immer noch weh. | Mein Rücken schmerzt immer noch. | Ich habe noch immer Rückenschmerzen.,הגב עדיין כואב לי.,Még fáj a hátam.,Mi fa ancora male la schiena.,背中がまだ痛みます。,我的背還在痛。,Moje plecy wciąż bolą.,Minhas costas ainda doem. | Ainda estou com dor nas costas.,Спина у меня ещё болит. | У меня всё ещё болит спина.,La espalda todavía me duele.,Sırtım hâlâ acıyor. | Sırtım hala ağrıyor.,У мене все ще болить спина. | Спина мені досі болить.
96815,283413,Guess what he told me.,Raad eens wat hij me heeft verteld.,"Arvaa, mitä hän sanoi minulle. | Arvaa mitä hän kertoi minulle.",Devine ce qu'il m'a dit.,"Rate mal, was er mir erzählt hat. | Ratet mal, was er mir erzählt hat. | Raten Sie mal, was er mir erzählt hat.",תנחש מה הוא סיפר לי. | תנחש נה הוא אמר לי.,"Találd ki, mit mondott nekem.",Indovina cosa mi ha detto. | Indovinate cosa mi ha detto. | Indovini cosa mi ha detto.,彼が何て言ったか、当ててみて。 | 彼が私に何て言ったと思う？,猜猜看他告訴了我什麼。,"Zgadnij, co mi powiedział?",Adivinha o que ele me disse. | Adivinhe o que ele me disse.,"Догадайся, что он мне сказал. | Угадай, что он мне сказал. | Угадайте, что он мне сказал.",Adivina lo que me dijo.,Onun bana söylediğini tahmin et.,"Вгадай, що він мені сказав."
97008,283629,I like him.,Ik vind hem leuk.,Pidän hänestä. | Tykkään hänestä.,Je l'apprécie. | Je l'aime bien. | Je l'aime.,Ich mag ihn.,אני אוהב אותו. | אני מחבבת אותו. | הוא מוצא חן בעיניי.,Kedvelem őt. | Ő tetszik nekem. | Tetszik nekem.,Mi piace. | Lui mi piace.,彼が好きです。,我喜欢他。,Lubię go.,Eu gosto dele.,Он мне по душе. | Он мне нравится. | Он мне по нраву.,Me gusta él. | Él me gusta. | Me cae bien.,Onu severim.,Він мені подобається.
98404,285184,Grab him.,Grijp hem.,Nappaa hänet.,Attrape-le. | Attrapez-le. | Mettez-lui la main dessus !,Greif ihn dir!,תפוס אותו.,Kapd el!,Afferralo. | Afferratelo. | Lo afferri.,捕まえろ。,抓住他。,Złap go.,Agarre-o. | Agarrem-no.,Хватай его. | Хватайте его.,Agárralo.,Yakala onu. | Yakala onu! | Onu yakalayın. | Onu yakala!,Хапай його.
99624,286516,Forget him.,Vergeet hem.,Unohda hänet!,Oublie-le. | Oubliez-le.,Vergessen Sie ihn.,תשכח אותו. | שכח ממנו.,Felejtsd el őt! | Őt felejtsd el!,Dimenticalo. | Dimenticatelo. | Lo dimentichi. | Dimenticati di lui. | Dimenticatevi di lui. | Si dimentichi di lui. | Scordati di lui. | Si scordi di lui. | Scordatevi di lui.,彼の事は忘れなさい。,忘記他吧。,Zapomnij o nim.,Esqueça-o.,Забудь его. | Забудьте его.,Olvídalo. | Olvídenlo.,Onu unut.,Забудь про нього. | Забудьте про нього.
100128,287067,He has long legs.,Hij heeft lange benen.,Hänellä on pitkät jalat.,Il a de longues jambes.,Er hat lange Beine.,יש לו רגליים ארוכות.,Hosszú lábai vannak. | Hosszúak a lábai.,Lui ha le gambe lunghe. | Ha le gambe lunghe.,彼は足が長い。 | 彼の足は長い。,他的腿很长。,On ma długie nogi.,Ele tem pernas longas.,У него длинные ноги. | Он длинноногий.,Él tiene piernas largas.,Onun uzun bacakları vardır.,У нього довгі ноги.
101076,288121,He has a dog.,Hij heeft een hond.,Hänellä on koira. | Sillä on koira.,Il a un chien.,Er hat einen Hund.,יש לו כלב.,Van egy kutyája.,Ha un cane. | Lui ha un cane.,彼は犬を飼っている。,他有一只狗。,On ma psa. | Ma psa.,Ele tem um cachorro.,У него есть собака. | У него есть пёс. | У него собака.,Él tiene un perro. | Tiene un perro.,Onun bir köpeği var.,У нього є собака. | Він має собаку.
101119,288166,He tries.,Hij probeert.,Hän yrittää.,Il essaye.,Er versucht es.,הוא מנסה.,Megpróbálja.,Prova. | Lui prova.,彼は、試す。 | 彼がやってみるんだ。,他来试试。,On próbuje. | On się stara.,Ele tenta.,Он пытается.,Él lo intenta. | Él prueba.,O dener.,Він намагається.
101596,288669,He is a DJ.,Hij is een dj.,Hän on DJ.,Il est DJ.,Er ist ein DJ. | Er ist DJ.,הוא דיג'יי. | הוא תקליטן.,Ő egy lemezlovas. | Ő dídzsé. | Diszkzsoké.,È un DJ. | Lui è un DJ.,彼はＤＪです。,他是一个 DJ 。,Jest DJ-em.,Ele é DJ.,Он диджей.,Él es DJ.,O bir DJ. | O bir DJ'dir.,Він діджей. | Він ді-джей.
101885,288982,How old is he?,Hoe oud is hij?,Minkä ikäinen hän on? | Kuinka vanha hän on?,Quel âge a-t-il ?,Wie alt ist er?,בן כמה הוא?,Milyen idős? | Hány éves?,Quanti anni ha? | Lui quanti anni ha?,何歳ですか。 | 彼は何才なんですか？ | 彼はいくつなの？ | 彼の年はいくつですか。,他多大了？,Ile on ma lat?,Quantos anos ele tem? | Qual é a idade dele?,Сколько ему лет? | Сколько ему?,¿Cuántos años tiene él? | ¿Cuántos años tiene?,O kaç yaşında?,Скільки йому років?
102029,289132,He is always with me.,Hij is altijd bij mij.,Hän on aina kanssani.,Il est toujours avec moi.,Er ist immer bei mir. | Er ist immer an meiner Seite.,הוא תמיד איתי. | הוא תמיד נמצא איתי. | הוא תמיד לצדי.,Mindig velem van.,È sempre con me. | Lui è sempre con me.,彼はいつも私といっしょです。,他一直与我同在。,On jest zawsze ze mną.,Ele está sempre comigo.,Он всегда со мной.,Siempre está conmigo. | Siempre está a mi lado.,O her zaman benimledir.,Він завжди зі мною.
102666,289812,He doesn't like coffee.,Hij houdt niet van koffie.,Hän ei pidä kahvista. | Hän ei tykkää kahvista.,Il n'aime pas le café.,Er mag keinen Kaffee.,הוא לא אוהב קפה.,Nem szereti a kávét.,Non gli piace il caffè. | A lui non piace il caffè.,彼はコーヒーが好きではないんです。 | コーヒーが苦手なのよ。,他不喜歡喝咖啡。,On nie lubi kawy.,Ele não gosta de café.,Ему не нравится кофе. | Он не любит кофе.,No le gusta el café.,"O, kahveyi sevmez. | O, kahve sevmez.",Він не любить каву. | Йому не подобається кава.
102873,290025,He likes playing soccer.,Hij vindt voetballen leuk.,Hän pitää jalkapallon pelaamisesta.,Il aime jouer au foot.,Er spielt gerne Fußball.,הוא אוהב לשחק כדורגל.,Szeret focizni.,A lui piace giocare a calcio.,彼はサッカーをするのが最も好きだ。 | 彼はサッカーをするのが好きなんです。,他喜歡踢足球。,On lubi grać w piłkę nożną.,Ele gosta de jogar futebol.,Он любит играть в футбол. | Ему нравится играть в футбол.,Le gusta jugar al fútbol.,"O, futbol oynamayı sever.",Він любить грати в футбол. | Йому подобається грати в футбол. | Він любить грати у футбол.
103154,290321,He accelerated.,Hij versnelde.,Hän kiihdytti.,Il a accéléré.,Er hat beschleunigt. | Er hat Gas gegeben.,הוא האיץ.,Gyorsított.,Ha accelerato.,彼はスピードを上げた。,他提速了。,Przyspieszył.,Ele acelerou.,Он увеличил скорость.,Él aceleró.,"O, hızlandı.",Він прискорився.
104354,291622,He eats a lot.,Hij eet veel.,Hän syö paljon.,Il mange beaucoup.,Er isst viel. | Der verputzt schon was!,הוא אוכל הרבה.,Sokat eszik.,Lui mangia molto.,彼はたくさん食べる。,他吃得很多。,On dużo je.,Ele come muito.,Он много ест.,Él come mucho. | Come mucho.,"O, çok yer.",Він багато їсть.
104393,291665,He decided to quit smoking.,Hij besliste te stoppen met roken. | Hij besloot te stoppen met roken.,Hän päätti lopettaa tupakoinnin.,Il décida d'arrêter de fumer.,"Er entschied sich, mit dem Rauchen aufzuhören. | Er beschloss, mit dem Rauchen aufzuhören.",הוא החליט להפסיק לעשן.,"Úgy döntött, abbahagyja a dohányzást.",Ha deciso di smettere di fumare. | Decise di smettere di fumare.,彼はタバコをやめることを決意した。 | 彼は禁煙すると決めた。,他決定戒菸了。,Zdecydował się rzucić palenie.,Ele decidiu parar de fumar.,Он решил бросить курить.,Él decidió dejar de fumar.,Sigarayı bırakmaya karar verdi.,Він вирішів покинути курити.
104582,291872,He played tennis.,Hij speelde tennis.,Hän pelasi tennistä.,Il a joué au tennis.,Er spielte Tennis.,הוא שיחק טניס.,Teniszezett.,Ha giocato a tennis. | Lui ha giocato a tennis.,彼はテニスをした。,他打了网球。,On grał w tenisa.,Ele jogou tênis.,Он играл в теннис.,Jugó al tenis.,O tenis oynadı.,Він грав у теніс.
104778,292088,He's very ill.,Hij is erg ziek.,Hän on tosi sairas.,Il est très malade. | Il est fort malade.,Er ist sehr krank.,הוא חולה מאד.,Nagyon beteg.,È molto malato.,彼はとても具合が悪い。,他很生病。,On jest bardzo chory.,Ele está muito doente.,Он очень болен.,Él está muy enfermo.,"O, çok hastadır.",Він дуже хворий.
105129,292468,He became a pianist.,Hij werd pianist.,Hänestä tuli pianisti.,Il est devenu pianiste. | Il devint pianiste.,Er wurde Pianist.,הוא נהיה פסנתרן.,Zongorista lett.,È diventato un pianista. | Lui è diventato un pianista. | Diventò un pianista. | Lui diventò un pianista. | Divenne un pianista. | Lui divenne un pianista.,彼はピアニストになった。,他成為了一個鋼琴家。,Został pianistą.,Ele se tornou pianista. | Ele virou um pianista.,Он стал пианистом.,Se hizo pianista.,O bir piyanist oldu.,Він став піаністом.
105267,292619,He can also speak French.,Hij spreekt ook Frans.,Hän myös puhuu ranskaa. | Hän osaa myös puhua ranskaa.,Il parle aussi français. | Il parle aussi en français. | Il parle aussi le français. | Il parle également français.,Er spricht auch Französisch.,הוא יכול לדבר גם צרפתית.,Ő is tud beszélni franciául.,Sa parlare anche il francese. | Lui sa parlare anche il francese. | Parla anche francese.,彼はフランス語も話せる。,他也会说法语。 | 法语他也会说。,On umie też mówić po francusku.,Ele também fala francês. | Ele fala também em francês. | Ele também conversa em francês.,Он так же умеет говорить по-французски. | Он говорит и по-французски. | Он и по-французски говорит. | Он тоже говорит по-французски. | Он также говорит на французском.,Él también habla francés. | También habla francés.,O Fransızca da konuşabilir.,Він також говорить французькою. | Він іще говорить французькою.
106651,294141,He was afraid of his wife.,Hij had schrik voor zijn vrouw. | Hij was bang voor zijn vrouw.,Hän pelkäsi vaimoaan.,Il avait peur de sa femme. | Il redoutait son épouse.,Er fürchtete sich vor seiner Frau.,הוא פחד מאישתו.,Félt a feleségétől.,Aveva paura di sua moglie. | Lui aveva paura di sua moglie.,彼は奥さんが怖かった。,他怕他老婆。,Bał się żony.,Ele estava com medo de sua esposa.,Он боялся своей жены. | Он боялся свою жену.,Le tenía miedo a su esposa.,"O, karısından korkuyordu.",Він боявся своєї дружини.
107427,294993,He knows a lot of people.,Hij kent veel mensen.,Hän tuntee paljon ihmisiä.,Il connaît beaucoup de gens. | Il connait beaucoup de monde.,Er kennt viele Leute.,הוא מכיר המון אנשים. | הוא מכיר הרבה מאוד אנשים.,Sok embert ismer.,Egli conosce molte persone.,彼は顔が広い。,他认识很多人。,On zna bardzo wielu ludzi.,Ele conhece muitas pessoas. | Ele conhece muita gente.,Он знает много людей. | У него много знакомых.,Él conoce a mucha gente.,"O, birçok insan tanıyor.",Він знає багатьох. | Він знає багато людей. | Він знає багатьох людей.
107699,295297,He's strong.,Hij is sterk.,Hän on vahva.,Il est fort. | Il est puissant.,Er ist stark.,הוא חזק.,Erős. | Ő erős.,È forte. | Lui è forte.,彼は強い。,他很強壯。,On jest silny.,Ele é forte.,Он сильный.,Él es fuerte.,O güçlüdür.,Він сильний.
107748,295346,He is a teacher.,Hij is leraar. | Hij is onderwijzer.,Hän on opettaja. | Se on ope. | Hän on ope.,Il est enseignant. | Il est instituteur.,Er ist Lehrer.,הוא מורֶה.,Tanár. | Ő tanár.,È un insegnante. | Lui è un insegnante.,彼は教師です。 | 彼は教師だよ。,他是教师。 | 他是老师。 | 他是个教师。,Jest nauczycielem.,Ele é professor.,Он учитель. | Он является учителем.,Él es profesor.,O bir öğretmen.,Він вчитель.
107795,295395,He fell backward.,Hij viel achterover. | Hij is achterover gevallen.,Hän kaatui taaksepäin.,Il tomba en arrière. | Il tomba à la renverse.,Er fiel rückwärts zu Boden.,הוא נפל אחורה. | הוא נפל לאחור.,Visszaesett.,È caduto all'indietro. | Lui è caduto all'indietro. | Cadde all'indietro. | Lui cadde all'indietro.,彼は仰向けに倒れた。,他向后跌倒了。,Upadł do tyłu.,Ele caiu para trás.,Он упал навзничь.,Él se cayó para atrás.,O geriye düştü.,Він упав на спину.
108019,295648,He's stronger than you.,Hij is sterker dan u.,Hän on sinua vahvempi.,Il est plus fort que toi. | Il est plus fort que vous.,Er ist stärker als du. | Er ist stärker als ihr. | Er ist stärker als Sie.,הוא חזק יותר ממך.,Erősebb nálad.,È più forte di te. | Lui è più forte di te. | È più forte di voi. | Lui è più forte di voi. | È più forte di lei. | Lui è più forte di lei.,彼は君より強い。,他比你強壯。,Jest silniejszy od ciebie.,Ele é mais forte que você. | Ele é mais forte que vocês.,Он сильнее тебя. | Он сильнее вас.,Él es más fuerte que tú. | Él es más fuerte que vos. | Él es más fuerte que ustedes.,O senden daha güçlüdür. | O sizden daha güçlüdür.,"Він сильніший від тебе. | Він сильніший від вас. | Він сильніший, ніж ти. | Він сильніший, ніж ви."
108606,296292,He works in a factory.,Hij werkt in een fabriek.,Hän on töissä tehtaassa. | Hän tekee töitä tehtaassa. | Hän työskentelee tehtaassa.,Il travaille dans une usine.,Er arbeitet in einer Fabrik.,הוא עובד בבית חרושת. | הוא עובד במפעל.,Egy gyárban dolgozik.,Lavora in una fabbrica. | Lui lavora in una fabbrica.,彼は工場で働いている。,他在一家工廠工作。,Pracuje w fabryce.,Ele trabalha numa fábrica. | Ele trabalha em uma fábrica.,Он работает на заводе.,Él trabaja en una fábrica. | Trabaja en una fábrica.,O bir fabrikada çalışır. | O bir fabrikada çalışıyor.,Він працює на фабриці.
108608,296294,He is happy.,Hij is gelukkig.,Hän on onnellinen.,Il est heureux.,Er ist glücklich.,הוא שָׂמֵחַ.,Boldog. | Ő boldog.,È felice.,彼は幸せだ。 | 彼は嬉しいです。,他很高兴。,Jest szczęśliwy.,Ele é feliz. | Ele está feliz.,Он счастлив.,Es feliz. | Él está feliz. | Él es feliz.,O mutlu.,Він щасливий. | Він задоволений.
109160,296902,He died yesterday.,Hij is gisteren overleden.,Hän kuoli eilen.,Il est décédé hier. | Il a clamecé hier. | Il est canné hier. | Il a crevé hier. | Il est mort hier.,Er ist gestern verstorben. | Er ist gestern abgekratzt. | Er ist gestern gestorben. | Er starb gestern.,הוא מת אתמול. | הוא נפטר אתמול.,Tegnap meghalt.,È morto ieri. | Lui è morto ieri. | È schiattato ieri. | Lui è schiattato ieri.,彼は昨日死んだ。,他昨天死了。 | 他昨天过世了。 | 他昨天逝世了。 | 他昨天去世了。,Wczoraj zmarł. | Zmarł wczoraj.,Ele morreu ontem.,Он вчера умер. | Он умер вчера.,Él murió ayer. | Él la palmó ayer. | Se murió ayer. | Murió ayer.,"O, dün öldü.",Він помер учора.
109766,297564,He lied to me.,Hij loog tegen me.,Hän valehteli minulle.,Il m'a menti. | Il me mentit.,Er hat mich angelogen.,הוא שיקר לי.,Hazudott nekem.,Mi ha mentito. | Mi ha detto una bugia.,彼は私に嘘をついた。,他对我撒谎。,Okłamał mnie.,Ele mentiu para mim.,Он лгал мне. | Он мне солгал. | Он мне соврал.,Él me mintió.,"O, bana yalan söyledi.",Він мені збрехав.
110193,298043,He speaks English better than I do.,Hij spreekt beter Engels dan ik.,Hän puhuu englantia paremmin kuin minä.,Il parle mieux l'anglais que moi. | Il parle l'anglais mieux que moi.,Er spricht besser Englisch als ich. | Er spricht Englisch besser als ich.,הוא מדבר אנגלית יותר טוב ממני.,"Jobban beszél angolul, mint én.",Parla l'inglese meglio di me. | Lui parla l'inglese meglio di me.,彼は私より上手に英語を話す。 | 彼は私よりも英語を話すのが上手い。 | 彼は私よりも英語を上手に話す。,他的英文比我好。,Mówi po angielsku lepiej niż ja.,Ele fala inglês melhor do que eu.,"Он говорит по-английски лучше, чем я. | Он говорит по-английски лучше меня.",Habla inglés mejor que yo. | Él habla inglés mejor que yo.,O benden daha iyi İngilizce konuşuyor. | Benden daha iyi İngilizce konuşur. | Benden iyi İngilizce konuşuyor.,Він говорить англійською краще за мене.
110575,298463,He tried to kill himself.,Hij probeerde zelfmoord te plegen.,Hän yritti tappaa itsensä.,Il a tenté de se suicider.,Er versuchte sich zu töten. | Er versuchte Selbstmord zu begehen. | Er versuchte sich selbst zu töten.,הוא ניסה להתאבד.,Próbálta magát megölni.,Ha cercato di suicidarsi. | Lui ha cercato di suicidarsi. | Cercò di suicidarsi. | Lui cercò di suicidarsi. | Ha provato a suicidarsi. | Lui ha provato a suicidarsi. | Provò a suicidarsi. | Lui provò a suicidarsi. | Ha provato a uccidersi. | Lui ha provato a uccidersi. | Provò a uccidersi. | Lui provò a uccidersi. | Ha cercato di uccidersi. | Lui ha cercato di uccidersi. | Cercò di uccidersi. | Lui cercò di uccidersi.,彼は自殺しようとした。,他試圖自殺。,Próbował się zabić.,Ele tentou suicidar-se. | Ele tentou se matar.,Он пытался покончить с собой. | Он пытался совершить самоубийство. | Он попытался совершить самоубийство.,Él intentó suicidarse.,Kendini öldürmeye çalıştı.,Він намагався вбити себе.
110579,298467,He committed suicide.,Hij heeft zelfmoord gepleegd.,Hän teki itsemurhan.,Il s'est suicidé.,Er beging Selbstmord.,הוא התאבד. | הוא איבד עצמו לדעת.,Öngyilkosságot követett el. | Öngyilkos lett.,Si è ucciso. | Lui si è ucciso. | Si uccise. | Lui si uccise. | Si è suicidato. | Lui si è suicidato. | Si suicidò. | Lui si suicidò.,彼は自殺をした。,他自杀了。,On popełnił samobójstwo.,Ele cometeu suicídio. | Ele suicidou-se.,Он покончил с собой. | Он совершил самоубийство.,Él se suicidó.,O intihar etti.,Він наклав на себе руки. | Він покінчив життя самогубством. | Він вкоротив собі віку.
111763,299788,He is eating.,Hij eet. | Hij is aan het eten.,Hän syö. | Hän syö parhaillaan.,Il est en train de manger. | Il mange.,Er isst. | Er speist.,הוא אוכל.,Ő éppen eszik. | Éppen eszik. | Eszik.,Sta mangiando. | Lui sta mangiando.,彼は食事中だ。 | 彼は食べています。,他在吃饭。,On je.,Ele está comendo. | Ele está a comer. | Está comendo. | Ele come.,Он ест. | Он кушает. | Он принимает пищу.,Está comiendo. | Él come. | Él está comiendo.,O yiyor. | O yemek yiyor.,Він їсть.
111790,299819,Is he sleeping?,Slaapt hij?,Nukkuuko hän? | Nukkuukse? | Onko hän nukkumassa?,Est-il en train de dormir ? | Dort-il ? | Il dort ? | Est-ce qu'il dort ?,Schläft er?,האם הוא ישֵן? | הוא ישן?,Alszik?,Sta dormendo?,彼は寝ているのですか。 | 彼寝てる？ | 彼は寝ていますか。 | 寝てるの？,他在睡觉吗?,Czy on śpi?,Ele está dormindo?,Он спит? | Спит?,¿Está durmiendo? | ¿Está dormido?,O uyuyor mu? | Uyuyor mu?,Він спить?
111946,299984,He told the truth.,Hij heeft de waarheid verteld. | Hij vertelde de waarheid.,Hän sanoi totuuden.,Il dit la vérité. | Il disait la vérité. | Il a dit la vérité.,Er sagte die Wahrheit. | Er hat die Wahrheit gesagt.,הוא אמר את האמת. | הוא דיבר אמת.,Elmondta az igazságot. | Az igazat mondta. | Igazat beszélt. | Igazat mondott.,Ha detto la verità. | Lui ha detto la verità. | Disse la verità. | Lui disse la verità. | Diceva la verità.,彼は真実を話した。 | 彼は真実を言っていた。,他說了實話。,Powiedział prawdę.,Ele disse a verdade.,Он сказал правду.,Él decía la verdad. | Él dijo la verdad. | Dijo la verdad.,O gerçeği söyledi. | O doğruyu söyledi.,Він сказав правду.
113611,301814,He's talking on the telephone.,Hij zit aan de telefoon. | Hij is aan de telefoon.,Hän puhuu puhelimessa.,Il parle au téléphone.,Er telefoniert.,הוא משוחח בטלפון.,Telefonál.,Sta parlando al telefono. | Lui sta parlando al telefono.,彼は電話で話している。,他正在打电话。,On rozmawia przez telefon.,Ele está ao telefone. | Ele está falando no telefone.,Он говорит по телефону. | Он разговаривает по телефону.,Él está hablando por teléfono.,"Telefonda konuşuyor. | O, telefonda konuşuyor.",Він розмовляє по телефону. | Він говорить по телефону.
114148,302395,He is not stupid.,Hij is niet gek. | Hij is niet dom.,Hän ei ole tyhmä.,Il n'est pas idiot.,Er ist nicht dumm.,הוא לא טיפש. | הוא אינו טיפש.,Nem ostoba. | Ő nem hülye.,Non è stupido. | Lui non è stupido.,彼は馬鹿ではない。,他不蠢。 | 他不是傻子。,On nie jest głupi. | On nie jest durniem.,Ele não é burro. | Ele não é bobo.,Он не тупой. | Он не глупый.,Él no es estúpido. | Él no es idiota. | No es tonto. | No es un tonto. | No es estúpido.,O aptal değil.,Він не дурень. | Він не дурний. | Він не ідіот.
114157,302406,Is he tall?,Is hij lang? | Is hij groot?,Onko hän pitkä?,Est-il grand ?,Ist er groß?,הוא גבוה?,Ő magas?,È alto? | Lui è alto?,彼は背が高いですか。,他长得高吗？,Czy on jest wysoki?,Ele é alto? | É alto?,Он высокий?,¿Es alto?,O uzun mu? | O uzun boylu mu?,Він високий?
114194,302443,He is a friendly person.,Hij is een vriendelijk persoon.,Hän on ystävällinen ihminen.,C'est une personne sympathique.,Er ist ein freundlicher Mensch.,הוא אדם ידידותי.,Ő egy barátságos ember.,È una persona simpatica. | È una persona amichevole. | Lui è una persona amichevole.,彼はとっつきやすい人だ。 | 彼は親しみやすい人だ。 | フレンドリーな方よ。,他是一個友善的人。,On jest przyjazną osobą.,Ele é uma pessoa amigável.,Он дружелюбный человек.,Él es una persona simpática.,O dost bir kişidir.,Він дружелюбна людина.
115351,303714,He likes adventure.,Hij houdt van avontuur.,Hän pitää seikkailusta.,Il aime l'aventure.,Er liebt das Abenteuer.,הוא אוהב הרפתקאות.,Szereti a kalandokat. | Szereti a kalandot.,Gli piace l'avventura. | A lui piace l'avventura.,彼は冒険が好きです。,他喜欢冒险。,On lubi przygodę. | Lubi przygodę.,Ele gosta de aventura.,Он любит приключения.,Le gustan las aventuras. | A él le gusta la aventura.,O macera sever.,Він любить пригоди. | Йому подобаються пригоди.
115573,303959,He is asleep.,Hij slaapt.,Hän nukkuu.,Il est endormi.,Er schläft.,הוא ישן.,Ő alszik.,Sta dormendo. | Lui sta dormendo.,彼は眠っている。,他睡着了。,On śpi. | Śpi.,Ele está dormindo.,Он спит.,Está dormido.,O uyuyor.,Він спить.
115912,304339,He's an excellent brain surgeon.,Hij is een uitstekende hersenchirurg.,Hän on erinominen aivokirurgi.,C'est un excellent chirurgien du cerveau.,Er ist ein großartiger Hirnchirurg.,הוא מנתח מח מצוין. | הוא מנתח מח נהדר.,Ő egy kiváló agysebész.,È un eccellente chirurgo cerebrale. | Lui è un eccellente chirurgo cerebrale.,彼は優秀な脳外科医だ。,他是一個優秀的腦外科醫生。,On jest wspaniałym chirurgiem mózgu.,Ele é um excelente neurocirurgião.,Он прекрасный нейрохирург.,Él es un excelente neurocirujano.,"O, mükemmel bir beyin cerrahıdır.",Він чудовий нейрохірург.
116868,305382,They are actors.,Zij zijn acteurs.,He ovat näyttelijöitä.,Ils sont acteurs.,Sie sind Schauspieler. | Das sind Schauspieler.,הם שחקנים.,Ők színészek. | Színészek.,Sono attori. | Loro sono attori.,彼らは俳優です。,他们是演员。,Oni są aktorami.,Eles são atores. | São atores.,Они актёры.,Son actores. | Ellos son actores.,Onlar aktördür.,Вони актори.
116995,305514,They don't always obey their parents.,Zij gehoorzamen hun ouders niet altijd.,He eivät aina tottele vanhempiaan.,Ils n'obéissent pas toujours à leurs parents.,Sie gehorchen nicht immer ihren Eltern. | Ihren Eltern gehorchen sie nicht immer. | Sie sind ihren Eltern nicht immer gehorsam.,הם לא תמיד שומעים בקול הוריהם. | הם לא תמיד מצייתים להוריהם.,Nem mindig engedelmeskednek a szüleiknek.,Non sempre obbediscono ai loro genitori. | Non sempre ubbidiscono ai loro genitori. | Non obbediscono sempre ai loro genitori. | Non ubbidiscono sempre ai loro genitori.,彼らはいつも両親に従うとは限らない。,他們並不總是服從他們的父母。 | 他们并不总是服从父母。,Oni nie zawsze słuchają się swoich rodziców.,Eles nem sempre obedecem os pais. | Eles nem sempre obedecem a seus pais.,Они не всегда слушаются родителей.,No siempre obedecen a sus padres.,Onlar her zaman anne ve babalarına itaat etmiyorlar. | Ebeveynlerine her zaman itaat etmezler.,Вони не завжди слухаються своїх батьків.
117401,305951,They hated Tom.,Zij haatten Tom.,He vihasivat Tomia.,Ils haïssaient Tom.,Sie hassten Tom. | Sie konnten Tom nicht leiden.,הם שנאו את טום.,Gyűlölték Tomit.,Odiavano Tom. | Loro odiavano Tom.,彼らはトムを嫌っていた。,他們恨湯姆。,Oni nienawidzili Toma.,Elas odiavam o Tom. | Eles odiavam o Tom.,Они ненавидели Тома.,Ellos odiaban a Tom. | Ellas odiaban a Tom. | Odiaban a Tom.,Onlar Tom'dan nefret ediyorlardı.,Вони ненавиділи Тома.
